"","id","state","county","population","housingUnits","totalArea","waterArea","landArea"
"769","0100000US","Indiana","Newton County","14244","6030",403.44,1.68,401.76
"770","0100000US","Indiana","Noble County","47536","20109",417.43,6.59,410.84
"771","0100000US","Indiana","Ohio County","6128","2784",87.43,1.29,86.14
"772","0100000US","Indiana","Orange County","19840","9176",408.19,9.8,398.39
"773","0100000US","Indiana","Owen County","21575","10091",387.83,2.54,385.29
"774","0100000US","Indiana","Parke County","17339","8085",449.98,5.32,444.66
"775","0100000US","Indiana","Perry County","19338","8495",386.29,4.56,381.73
"776","0100000US","Indiana","Pike County","12845","5735",341.09,6.86,334.24
"777","0100000US","Indiana","Porter County","164343","66179",521.78,103.63,418.15
"778","0100000US","Indiana","Posey County","25910","11207",419.33,9.75,409.57
"779","0100000US","Indiana","Pulaski County","13402","6060",434.53,0.88,433.65
"780","0100000US","Indiana","Putnam County","37963","14706",482.69,2.16,480.53
"781","0100000US","Indiana","Randolph County","26171","11743",453.31,0.93,452.38
"782","0100000US","Indiana","Ripley County","28818","11952",448.06,1.64,446.43
"783","0100000US","Indiana","Rush County","17392","7508",408.46,0.34,408.12
"784","0100000US","Indiana","St. Joseph County","266931","114849",461.39,3.54,457.85
"785","0100000US","Indiana","Scott County","24181","10440",192.75,2.35,190.4
"786","0100000US","Indiana","Shelby County","44436","19080",412.76,1.61,411.15
"787","0100000US","Indiana","Spencer County","20952","8872",401.43,4.68,396.74
"788","0100000US","Indiana","Starke County","23363","10962",312.21,3.07,309.13
"789","0100000US","Indiana","Steuben County","34185","19377",322.47,13.53,308.94
"790","0100000US","Indiana","Sullivan County","21475","8939",454.12,6.97,447.14
"791","0100000US","Indiana","Switzerland County","10613","4969",223.44,2.81,220.63
"792","0100000US","Indiana","Tippecanoe County","172780","71096",503.24,3.44,499.81
"793","0100000US","Indiana","Tipton County","15936","6998",260.57,0.03,260.54
"794","0100000US","Indiana","Union County","7516","3239",165.18,3.95,161.22
"795","0100000US","Indiana","Vanderburgh County","179703","83003",236.33,2.85,233.48
"796","0100000US","Indiana","Vermillion County","16212","7488",259.93,3.05,256.88
"797","0100000US","Indiana","Vigo County","107848","46006",410.45,7.14,403.31
"798","0100000US","Indiana","Wabash County","32888","14171",420.98,8.54,412.43
"799","0100000US","Indiana","Warren County","8508","3680",366.41,1.72,364.68
"800","0100000US","Indiana","Warrick County","59689","24203",391.05,6.24,384.82
"801","0100000US","Indiana","Washington County","28262","12220",516.6,2.87,513.73
"802","0100000US","Indiana","Wayne County","68917","31242",404.34,2.6,401.74
"803","0100000US","Indiana","Wells County","27636","11659",370.25,2.16,368.09
"804","0100000US","Indiana","White County","24643","12970",508.68,3.55,505.12
"805","0100000US","Indiana","Whitley County","33292","14281",337.91,2.34,335.57
"807","0100000US","Iowa","Adair County","7682","3698",570.27,1,569.27
"808","0100000US","Iowa","Adams County","4029","2010",425.51,2.07,423.44
"809","0100000US","Iowa","Allamakee County","14330","7617",658.77,19.69,639.08
"810","0100000US","Iowa","Appanoose County","12887","6633",516.24,18.95,497.29
"811","0100000US","Iowa","Audubon County","6119","2972",443.41,0.44,442.96
"812","0100000US","Iowa","Benton County","26076","11095",718.49,2.22,716.26
"813","0100000US","Iowa","Black Hawk County","131090","55887",572.68,6.91,565.77
"814","0100000US","Iowa","Boone County","26306","11756",573.64,2.07,571.57
"815","0100000US","Iowa","Bremer County","24276","9915",439.4,3.93,435.48
"816","0100000US","Iowa","Buchanan County","20958","8968",573.12,2.1,571.02
"817","0100000US","Iowa","Buena Vista County","20260","8237",580.23,5.31,574.91
"818","0100000US","Iowa","Butler County","14867","6682",581.76,1.63,580.13
"819","0100000US","Iowa","Calhoun County","9670","5108",572.11,2.15,569.97
"820","0100000US","Iowa","Carroll County","20816","9376",570.27,0.83,569.44
"821","0100000US","Iowa","Cass County","13956","6591",564.95,0.68,564.27
"822","0100000US","Iowa","Cedar County","18499","8064",581.9,2.47,579.44
"823","0100000US","Iowa","Cerro Gordo County","44151","22163",575.12,6.81,568.31
"824","0100000US","Iowa","Cherokee County","12072","5777",577.07,0.16,576.91
"825","0100000US","Iowa","Chickasaw County","12439","5679",505.66,1.28,504.38
"826","0100000US","Iowa","Clarke County","9286","4086",431.76,0.59,431.17
"827","0100000US","Iowa","Clay County","16667","8062",572.59,5.35,567.24
"828","0100000US","Iowa","Clayton County","18129","8999",792.66,14.13,778.54
"829","0100000US","Iowa","Clinton County","49116","21733",710.18,15.26,694.91
"830","0100000US","Iowa","Crawford County","17096","6943",715.04,0.85,714.19
"831","0100000US","Iowa","Dallas County","66135","27260",591.7,3.25,588.45
"832","0100000US","Iowa","Davis County","8753","3600",504.85,2.67,502.19
"833","0100000US","Iowa","Decatur County","8457","3834",533.48,1.6,531.88
"834","0100000US","Iowa","Delaware County","17764","8028",578.95,1.19,577.76
"835","0100000US","Iowa","Des Moines County","40325","18535",429.75,13.63,416.12
"836","0100000US","Iowa","Dickinson County","16667","12849",403.96,23.36,380.61
"837","0100000US","Iowa","Dubuque County","93653","38951",616.63,8.33,608.3
"838","0100000US","Iowa","Emmet County","10302","4758",402.52,6.64,395.88
"839","0100000US","Iowa","Fayette County","20880","9558",731.33,0.52,730.81
"840","0100000US","Iowa","Floyd County","16303","7526",501.38,0.75,500.63
"841","0100000US","Iowa","Franklin County","10680","4894",582.52,0.55,581.97
"842","0100000US","Iowa","Fremont County","7441","3431",516.64,5.49,511.15
"843","0100000US","Iowa","Greene County","9336","4546",571.21,1.64,569.57
"844","0100000US","Iowa","Grundy County","12453","5530",501.89,0.04,501.86
"845","0100000US","Iowa","Guthrie County","10954","5756",593.07,2.45,590.62
"846","0100000US","Iowa","Hamilton County","15673","7219",577.51,0.76,576.75
"847","0100000US","Iowa","Hancock County","11341","5330",573.04,2.03,571
"848","0100000US","Iowa","Hardin County","17534","8224",569.99,0.68,569.31
"849","0100000US","Iowa","Harrison County","14928","6731",701.64,4.79,696.85
"850","0100000US","Iowa","Henry County","20145","8280",436.56,2.23,434.33
"851","0100000US","Iowa","Howard County","9566","4367",473.61,0.36,473.25
"852","0100000US","Iowa","Humboldt County","9815","4684",435.67,1.32,434.35
"853","0100000US","Iowa","Ida County","7089","3426",432.05,0.54,431.51
"854","0100000US","Iowa","Iowa County","16355","7258",587.49,1.04,586.46
"855","0100000US","Iowa","Jackson County","19848","9415",649.61,13.57,636.04
"856","0100000US","Iowa","Jasper County","36842","16181",732.96,2.54,730.42
"857","0100000US","Iowa","Jefferson County","16843","7594",436.88,1.37,435.51
"858","0100000US","Iowa","Johnson County","130882","55967",623.15,9.11,614.04
"859","0100000US","Iowa","Jones County","20638","8911",577,1.38,575.62
"860","0100000US","Iowa","Keokuk County","10511","4931",579.92,0.74,579.18
"861","0100000US","Iowa","Kossuth County","15543","7486",974.32,1.6,972.72
"862","0100000US","Iowa","Lee County","35862","16205",538.87,21.35,517.52
"863","0100000US","Iowa","Linn County","211226","92251",724.5,7.62,716.88
"864","0100000US","Iowa","Louisa County","11387","5002",417.52,15.75,401.77
"865","0100000US","Iowa","Lucas County","8898","4238",434.4,3.8,430.59
"866","0100000US","Iowa","Lyon County","11581","4848",587.78,0.13,587.65
"867","0100000US","Iowa","Madison County","15679","6554",562.16,1.15,561.01
"868","0100000US","Iowa","Mahaska County","22381","9766",573.4,2.53,570.86
"869","0100000US","Iowa","Marion County","33309","13914",570.51,15.97,554.53
"870","0100000US","Iowa","Marshall County","40648","16831",573.2,0.7,572.5
"871","0100000US","Iowa","Mills County","15059","6109",440.64,3.21,437.44
"872","0100000US","Iowa","Mitchell County","10776","4850",469.56,0.43,469.13
"873","0100000US","Iowa","Monona County","9243","4697",698.93,4.86,694.07
"874","0100000US","Iowa","Monroe County","7970","3884",434.3,0.59,433.72
"875","0100000US","Iowa","Montgomery County","10740","5239",425.03,0.93,424.1
"876","0100000US","Iowa","Muscatine County","42745","17910",449.13,11.66,437.47
"877","0100000US","Iowa","O'Brien County","14398","6649",573.21,0.17,573.04
"878","0100000US","Iowa","Osceola County","6462","2990",399.39,0.71,398.68
"879","0100000US","Iowa","Page County","15932","7181",535.47,0.52,534.94
"880","0100000US","Iowa","Palo Alto County","9421","4628",569.43,5.59,563.84
"881","0100000US","Iowa","Plymouth County","24986","10550",863.73,0.84,862.89
"882","0100000US","Iowa","Pocahontas County","7310","3794",578.66,1.42,577.24
"883","0100000US","Iowa","Polk County","430640","182262",591.53,17.74,573.79
"884","0100000US","Iowa","Pottawattamie County","93158","39330",959.13,8.85,950.28
"885","0100000US","Iowa","Poweshiek County","18914","8949",586.07,1.13,584.93
"886","0100000US","Iowa","Ringgold County","5131","2613",538.87,3.37,535.5
"887","0100000US","Iowa","Sac County","10350","5429",578.33,3.32,575.01
"888","0100000US","Iowa","Scott County","165224","71835",468.21,10.12,458.09
"889","0100000US","Iowa","Shelby County","12167","5542",591.35,0.57,590.78
"890","0100000US","Iowa","Sioux County","33704","12279",768.99,0.66,768.33
"891","0100000US","Iowa","Story County","89542","36789",573.65,0.83,572.82
"892","0100000US","Iowa","Tama County","17767","7766",722.08,1.07,721.01
"893","0100000US","Iowa","Taylor County","6317","3107",534.66,2.75,531.9
"894","0100000US","Iowa","Union County","12534","5937",425.8,2.15,423.65
"895","0100000US","Iowa","Van Buren County","7570","3670",490.52,5.73,484.79
"896","0100000US","Iowa","Wapello County","35625","16098",436.02,4.19,431.83
"897","0100000US","Iowa","Warren County","46225","18371",573.35,3.52,569.83
"898","0100000US","Iowa","Washington County","21704","9516",570.92,2.08,568.84
"899","0100000US","Iowa","Wayne County","6403","3212",527.15,1.71,525.44
"900","0100000US","Iowa","Webster County","38013","17035",718.43,2.81,715.62
"901","0100000US","Iowa","Winnebago County","10866","5194",401.72,1.23,400.49
"902","0100000US","Iowa","Winneshiek County","21056","8721",690.14,0.27,689.87
"903","0100000US","Iowa","Woodbury County","102172","41484",877.77,4.94,872.83
"904","0100000US","Iowa","Worth County","7598","3548",401.94,1.82,400.12
"905","0100000US","Iowa","Wright County","13229","6529",582.24,1.82,580.42
"907","0100000US","Kansas","Allen County","13371","6226",505.33,5.02,500.3
"908","0100000US","Kansas","Anderson County","8102","3720",583.73,4.09,579.65
"909","0100000US","Kansas","Atchison County","16924","6990",433.82,2.65,431.17
"910","0100000US","Kansas","Barber County","4861","2765",1136.17,2.09,1134.07
"911","0100000US","Kansas","Barton County","27674","12696",900.63,5.23,895.4
"912","0100000US","Kansas","Bourbon County","15173","7167",639.09,3.62,635.47
"913","0100000US","Kansas","Brown County","9984","4779",572.11,1.23,570.87
"914","0100000US","Kansas","Butler County","65880","26058",1446.53,16.66,1429.86
"915","0100000US","Kansas","Chase County","2790","1503",777.73,4.67,773.06
"916","0100000US","Kansas","Chautauqua County","3669","2150",644.77,5.89,638.88
"917","0100000US","Kansas","Cherokee County","21603","9890",591.02,3.46,587.57
"918","0100000US","Kansas","Cheyenne County","2726","1518",1020.94,1.06,1019.89
"919","0100000US","Kansas","Clark County","2215","1135",977.18,2.55,974.63
"920","0100000US","Kansas","Clay County","8535","4042",655.6,10.3,645.3
"921","0100000US","Kansas","Cloud County","9533","4659",717.99,2.65,715.34
"922","0100000US","Kansas","Coffey County","8601","3964",654.09,27.15,626.95
"923","0100000US","Kansas","Comanche County","1891","1044",789.69,1.39,788.3
"924","0100000US","Kansas","Cowley County","36311","16030",1132.43,6.68,1125.75
"925","0100000US","Kansas","Crawford County","39134","17801",595.01,5.26,589.76
"926","0100000US","Kansas","Decatur County","2961","1818",894.15,0.63,893.52
"927","0100000US","Kansas","Dickinson County","19754","8972",851.95,4.88,847.07
"928","0100000US","Kansas","Doniphan County","7945","3576",398.28,4.87,393.41
"929","0100000US","Kansas","Douglas County","110826","46731",474.64,18.77,455.87
"930","0100000US","Kansas","Edwards County","3037","1636",621.97,0.08,621.89
"931","0100000US","Kansas","Elk County","2882","1760",650.47,6.2,644.26
"932","0100000US","Kansas","Ellis County","28452","12872",900.37,0.46,899.91
"933","0100000US","Kansas","Ellsworth County","6497","3239",723.29,7.44,715.85
"934","0100000US","Kansas","Finney County","36776","13276",1302.67,0.7,1301.97
"935","0100000US","Kansas","Ford County","33848","12005",1099.08,0.81,1098.27
"936","0100000US","Kansas","Franklin County","25992","11147",577.14,5.38,571.76
"937","0100000US","Kansas","Geary County","34362","14517",404.49,19.87,384.62
"938","0100000US","Kansas","Gove County","2695","1373",1071.76,0.09,1071.66
"939","0100000US","Kansas","Graham County","2597","1484",898.75,0.23,898.52
"940","0100000US","Kansas","Grant County","7829","2945",575.14,0.34,574.8
"941","0100000US","Kansas","Gray County","6006","2340",869.3,0.43,868.87
"942","0100000US","Kansas","Greeley County","1247","629",778.45,0,778.45
"943","0100000US","Kansas","Greenwood County","6689","4068",1152.63,9.33,1143.3
"944","0100000US","Kansas","Hamilton County","2690","1236",997.63,1.12,996.51
"945","0100000US","Kansas","Harper County","6034","3116",802.78,1.51,801.27
"946","0100000US","Kansas","Harvey County","34684","14527",540.72,0.97,539.75
"947","0100000US","Kansas","Haskell County","4256","1666",577.87,0.35,577.52
"948","0100000US","Kansas","Hodgeman County","1916","973",860.31,0.32,859.99
"949","0100000US","Kansas","Jackson County","13462","5779",658.02,1.8,656.22
"950","0100000US","Kansas","Jefferson County","19126","8160",556.68,24.1,532.57
"951","0100000US","Kansas","Jewell County","3077","2032",914.36,4.58,909.78
"952","0100000US","Kansas","Johnson County","544179","226571",479.9,6.52,473.37
"953","0100000US","Kansas","Kearny County","3977","1556",870.98,0.44,870.54
"954","0100000US","Kansas","Kingman County","7858","3818",866.66,3.3,863.36
"955","0100000US","Kansas","Kiowa County","2553","1220",722.87,0.23,722.64
"956","0100000US","Kansas","Labette County","21607","10092",653.12,7.82,645.29
"957","0100000US","Kansas","Lane County","1750","990",717.67,0.21,717.46
"958","0100000US","Kansas","Leavenworth County","76227","28697",468.97,6.14,462.83
"959","0100000US","Kansas","Lincoln County","3241","1864",720.46,1.06,719.4
"960","0100000US","Kansas","Linn County","9656","5446",606.4,12.34,594.06
"961","0100000US","Kansas","Logan County","2756","1441",1073.1,0.11,1072.99
"962","0100000US","Kansas","Lyon County","33690","15237",855.42,7.94,847.47
"963","0100000US","Kansas","McPherson County","29180","12721",900.6,2.33,898.27
"964","0100000US","Kansas","Marion County","12660","5946",953.73,9.44,944.29
"965","0100000US","Kansas","Marshall County","10117","4866",905.11,4.92,900.18
"966","0100000US","Kansas","Meade County","4575","1998",979.35,1.26,978.09
"967","0100000US","Kansas","Miami County","32787","13190",590.26,14.59,575.66
"968","0100000US","Kansas","Mitchell County","6373","3296",719.16,17.37,701.79
"969","0100000US","Kansas","Montgomery County","35471","16578",651.48,7.95,643.53
"970","0100000US","Kansas","Morris County","5923","3206",702.89,7.61,695.28
"971","0100000US","Kansas","Morton County","3233","1467",729.93,0.2,729.73
"972","0100000US","Kansas","Nemaha County","10178","4562",719.44,2.01,717.43
"973","0100000US","Kansas","Neosho County","16512","7513",577.79,6.32,571.47
"974","0100000US","Kansas","Ness County","3107","1740",1075.01,0.26,1074.75
"975","0100000US","Kansas","Norton County","5671","2542",881.3,3.16,878.13
"976","0100000US","Kansas","Osage County","16295","7503",719.85,14.33,705.52
"977","0100000US","Kansas","Osborne County","3858","2206",894.36,1.86,892.5
"978","0100000US","Kansas","Ottawa County","6091","2779",721.34,0.6,720.73
"979","0100000US","Kansas","Pawnee County","6973","3152",754.65,0.38,754.26
"980","0100000US","Kansas","Phillips County","5642","3049",894.56,8.68,885.88
"981","0100000US","Kansas","Pottawatomie County","21604","8626",861.91,20.89,841.02
"982","0100000US","Kansas","Pratt County","9656","4514",735.72,0.68,735.04
"983","0100000US","Kansas","Rawlins County","2519","1458",1069.58,0.16,1069.42
"984","0100000US","Kansas","Reno County","64511","28274",1272.11,16.76,1255.35
"985","0100000US","Kansas","Republic County","4980","2877",720.45,3.08,717.37
"986","0100000US","Kansas","Rice County","10083","4548",727.96,1.73,726.24
"987","0100000US","Kansas","Riley County","71115","28212",621.96,12.18,609.77
"988","0100000US","Kansas","Rooks County","5181","2768",895.15,4.62,890.53
"989","0100000US","Kansas","Rush County","3307","1869",717.97,0.21,717.76
"990","0100000US","Kansas","Russell County","6970","3910",899.44,13.18,886.26
"991","0100000US","Kansas","Saline County","55606","24101",721.31,1.08,720.22
"992","0100000US","Kansas","Scott County","4936","2193",717.66,0.12,717.54
"993","0100000US","Kansas","Sedgwick County","498365","211593",1009.12,11.61,997.51
"994","0100000US","Kansas","Seward County","22952","8061",640.49,0.99,639.5
"995","0100000US","Kansas","Shawnee County","177934","79140",555.73,11.71,544.02
"996","0100000US","Kansas","Sheridan County","2556","1265",896.21,0.25,895.96
"997","0100000US","Kansas","Sherman County","6010","3148",1056.28,0.21,1056.07
"998","0100000US","Kansas","Smith County","3853","2232",896.96,1.5,895.46
"999","0100000US","Kansas","Stafford County","4437","2319",794.92,2.87,792.05
"1000","0100000US","Kansas","Stanton County","2235","990",680.41,0.07,680.35
"1001","0100000US","Kansas","Stevens County","5724","2306",727.47,0.18,727.29
"1002","0100000US","Kansas","Sumner County","24132","10865",1184.95,3.01,1181.94
"1003","0100000US","Kansas","Thomas County","7900","3536",1074.8,0.11,1074.69
"1004","0100000US","Kansas","Trego County","3001","1682",899.63,10.15,889.48
"1005","0100000US","Kansas","Wabaunsee County","7053","3227",799.62,5.32,794.3
"1006","0100000US","Kansas","Wallace County","1485","781",913.71,0.05,913.65
"1007","0100000US","Kansas","Washington County","5799","2955",898.67,3.92,894.76
"1008","0100000US","Kansas","Wichita County","2234","1054",718.59,0.02,718.57
"1009","0100000US","Kansas","Wilson County","9409","4682",575.07,4.66,570.42
"1010","0100000US","Kansas","Woodson County","3309","2022",505.25,7.43,497.82
"1011","0100000US","Kansas","Wyandotte County","157505","66747",156.19,4.59,151.6
"1013","0100000US","Kentucky","Adair County","18656","8568",412.4,7.12,405.28
"1014","0100000US","Kentucky","Allen County","19956","9307",351.86,7.53,344.34
"1015","0100000US","Kentucky","Anderson County","21421","9127",204.27,2.44,201.83
"1016","0100000US","Kentucky","Ballard County","8249","3885",273.69,27.03,246.66
"1017","0100000US","Kentucky","Barren County","42173","19188",500,12.46,487.54
"1018","0100000US","Kentucky","Bath County","11591","5405",284,5.21,278.79
"1019","0100000US","Kentucky","Bell County","28691","13154",361.12,2.12,359
"1020","0100000US","Kentucky","Boone County","118811","46154",256.46,10.11,246.36
"1021","0100000US","Kentucky","Bourbon County","19985","8927",291.59,1.87,289.72
"1022","0100000US","Kentucky","Boyd County","49542","21803",162.02,2.16,159.86
"1023","0100000US","Kentucky","Boyle County","28432","12312",182.66,2.49,180.17
"1024","0100000US","Kentucky","Bracken County","8488","3840",208.95,3.33,205.61
"1025","0100000US","Kentucky","Breathitt County","13878","6231",495.27,2.85,492.41
"1026","0100000US","Kentucky","Breckinridge County","20059","10630",585.62,18.45,567.17
"1027","0100000US","Kentucky","Bullitt County","74319","29318",300.26,3.24,297.02
"1028","0100000US","Kentucky","Butler County","12690","5877",431.47,5.39,426.09
"1029","0100000US","Kentucky","Caldwell County","12984","6292",348.15,3.36,344.79
"1030","0100000US","Kentucky","Calloway County","37191","18065",410.7,25.67,385.02
"1031","0100000US","Kentucky","Campbell County","90336","39523",159.42,8.11,151.31
"1032","0100000US","Kentucky","Carlisle County","5104","2441",198.98,9.55,189.43
"1033","0100000US","Kentucky","Carroll County","10811","4696",137.31,8.75,128.57
"1034","0100000US","Kentucky","Carter County","27720","12311",412.12,2.63,409.5
"1035","0100000US","Kentucky","Casey County","15955","7487",445.74,1.51,444.23
"1036","0100000US","Kentucky","Christian County","73955","29459",724.04,6.54,717.5
"1037","0100000US","Kentucky","Clark County","35613","15706",255.16,2.69,252.46
"1038","0100000US","Kentucky","Clay County","21730","8875",471.09,1.84,469.25
"1039","0100000US","Kentucky","Clinton County","10272","5311",205.42,8.17,197.25
"1040","0100000US","Kentucky","Crittenden County","9315","4569",371.14,11.19,359.95
"1041","0100000US","Kentucky","Cumberland County","6856","3690",310.91,5.73,305.18
"1042","0100000US","Kentucky","Daviess County","96656","41452",476.57,18.23,458.35
"1043","0100000US","Kentucky","Edmonson County","12161","6467",308,5.12,302.88
"1044","0100000US","Kentucky","Elliott County","7852","3371",235.32,1.01,234.32
"1045","0100000US","Kentucky","Estill County","14672","6865",255.61,2.53,253.08
"1046","0100000US","Kentucky","Fayette County","295803","135160",285.55,1.9,283.65
"1047","0100000US","Kentucky","Fleming County","14348","6623",351.32,2.77,348.54
"1048","0100000US","Kentucky","Floyd County","39451","18175",395.71,2.36,393.34
"1049","0100000US","Kentucky","Franklin County","49285","23164",212.01,4.26,207.75
"1050","0100000US","Kentucky","Fulton County","6813","3372",230.62,25.11,205.5
"1051","0100000US","Kentucky","Gallatin County","8589","3786",104.72,3.48,101.23
"1052","0100000US","Kentucky","Garrard County","16912","7463",233.95,3.87,230.08
"1053","0100000US","Kentucky","Grant County","24662","9942",260.77,2.8,257.96
"1054","0100000US","Kentucky","Graves County","37121","16777",556.79,5.05,551.74
"1055","0100000US","Kentucky","Grayson County","25746","13561",511.03,14.33,496.7
"1056","0100000US","Kentucky","Green County","11258","5324",288.79,2.76,286.03
"1057","0100000US","Kentucky","Greenup County","36910","16330",354.45,10.05,344.4
"1058","0100000US","Kentucky","Hancock County","8565","3734",198.89,11.23,187.65
"1059","0100000US","Kentucky","Hardin County","105543","43261",630.14,6.86,623.28
"1060","0100000US","Kentucky","Harlan County","29278","13513",468.15,2.32,465.83
"1061","0100000US","Kentucky","Harrison County","18846","8208",309.86,3.5,306.36
"1062","0100000US","Kentucky","Hart County","18199","8559",417.85,5.76,412.09
"1063","0100000US","Kentucky","Henderson County","46250","20320",466.28,29.61,436.67
"1064","0100000US","Kentucky","Henry County","15416","6640",291.12,4.85,286.28
"1065","0100000US","Kentucky","Hickman County","4902","2342",253.04,10.77,242.27
"1066","0100000US","Kentucky","Hopkins County","46920","21180",554.42,12.42,542
"1067","0100000US","Kentucky","Jackson County","13494","6523",346.51,1.31,345.2
"1068","0100000US","Kentucky","Jefferson County","741096","337616",397.68,17.27,380.42
"1069","0100000US","Kentucky","Jessamine County","48586","19331",174.5,2.38,172.12
"1070","0100000US","Kentucky","Johnson County","23356","10624",264.14,2.18,261.95
"1071","0100000US","Kentucky","Kenton County","159720","68975",164.35,4.1,160.25
"1072","0100000US","Kentucky","Knott County","16346","7461",352.85,1.33,351.52
"1073","0100000US","Kentucky","Knox County","31883","14485",387.75,1.45,386.3
"1074","0100000US","Kentucky","Larue County","14193","6172",263.63,2.11,261.52
"1075","0100000US","Kentucky","Laurel County","58849","25446",443.69,9.74,433.95
"1076","0100000US","Kentucky","Lawrence County","15860","7286",420.07,4.47,415.6
"1077","0100000US","Kentucky","Lee County","7887","3436",211.26,2.4,208.86
"1078","0100000US","Kentucky","Leslie County","11310","5278",404.45,3.6,400.84
"1079","0100000US","Kentucky","Letcher County","24519","11601",339.03,1.12,337.91
"1080","0100000US","Kentucky","Lewis County","13870","6481",495.38,12.55,482.84
"1081","0100000US","Kentucky","Lincoln County","24742","10819",336.58,2.48,334.09
"1082","0100000US","Kentucky","Livingston County","9519","4824",342.33,29.21,313.13
"1083","0100000US","Kentucky","Logan County","26835","12339",557.03,4.9,552.13
"1084","0100000US","Kentucky","Lyon County","8314","4791",256.53,42.69,213.84
"1085","0100000US","Kentucky","McCracken County","65565","31079",268.17,19.43,248.74
"1086","0100000US","Kentucky","McCreary County","18306","7507",430.95,4.14,426.8
"1087","0100000US","Kentucky","McLean County","9531","4264",256.23,3.76,252.47
"1088","0100000US","Kentucky","Madison County","82916","35043",443.26,5.96,437.29
"1089","0100000US","Kentucky","Magoffin County","13333","5950",309.16,0.71,308.44
"1090","0100000US","Kentucky","Marion County","19820","8182",346.86,3.85,343.01
"1091","0100000US","Kentucky","Marshall County","31448","15748",340.17,38.92,301.25
"1092","0100000US","Kentucky","Martin County","12929","5164",230.6,0.99,229.6
"1093","0100000US","Kentucky","Mason County","17490","8105",246.41,6.29,240.13
"1094","0100000US","Kentucky","Meade County","28602","11762",324.5,19.08,305.42
"1095","0100000US","Kentucky","Menifee County","6306","3744",205.93,2.35,203.58
"1096","0100000US","Kentucky","Mercer County","21331","9941",253.31,4.51,248.8
"1097","0100000US","Kentucky","Metcalfe County","10099","4681",291.19,1.54,289.65
"1098","0100000US","Kentucky","Monroe County","10963","5204",332.06,2.68,329.37
"1099","0100000US","Kentucky","Montgomery County","26499","11699",198.86,1.49,197.37
"1100","0100000US","Kentucky","Morgan County","13923","5830",383.79,2.66,381.13
"1101","0100000US","Kentucky","Muhlenberg County","31499","13699",479.4,12.32,467.08
"1102","0100000US","Kentucky","Nelson County","43437","18075",424.08,6.56,417.51
"1103","0100000US","Kentucky","Nicholas County","7135","3261",196.83,1.66,195.17
"1104","0100000US","Kentucky","Ohio County","23842","10219",596.23,8.95,587.27
"1105","0100000US","Kentucky","Oldham County","60316","20688",196.43,9.22,187.22
"1106","0100000US","Kentucky","Owen County","10841","5634",354.25,3.14,351.1
"1107","0100000US","Kentucky","Owsley County","4755","2328",198.29,0.88,197.41
"1108","0100000US","Kentucky","Pendleton County","14877","6339",281.92,4.76,277.16
"1109","0100000US","Kentucky","Perry County","28712","12791",342.61,2.94,339.67
"1110","0100000US","Kentucky","Pike County","65024","30304",788.67,1.84,786.83
"1111","0100000US","Kentucky","Powell County","12613","5598",180.12,1.14,178.98
"1112","0100000US","Kentucky","Pulaski County","63063","31443",677.15,18.75,658.41
"1113","0100000US","Kentucky","Robertson County","2282","1095",100.1,0.19,99.91
"1114","0100000US","Kentucky","Rockcastle County","17056","7703",318.1,1.55,316.54
"1115","0100000US","Kentucky","Rowan County","23333","10102",286.27,6.47,279.8
"1116","0100000US","Kentucky","Russell County","17565","9993",282.88,29.22,253.66
"1117","0100000US","Kentucky","Scott County","47173","19303",285.43,3.67,281.77
"1118","0100000US","Kentucky","Shelby County","42074","16606",385.67,6.04,379.64
"1119","0100000US","Kentucky","Simpson County","17327","7435",236.47,2.26,234.2
"1120","0100000US","Kentucky","Spencer County","17061","6704",191.66,4.98,186.68
"1121","0100000US","Kentucky","Taylor County","24512","10864",276.82,10.49,266.33
"1122","0100000US","Kentucky","Todd County","12460","5286",377.06,2.56,374.5
"1123","0100000US","Kentucky","Trigg County","14339","7810",481.33,39.9,441.43
"1124","0100000US","Kentucky","Trimble County","8809","3930",156.22,4.57,151.65
"1125","0100000US","Kentucky","Union County","15007","6141",363.38,20.53,342.85
"1126","0100000US","Kentucky","Warren County","113792","47223",547.56,5.96,541.6
"1127","0100000US","Kentucky","Washington County","11717","5044",301.2,3.93,297.27
"1128","0100000US","Kentucky","Wayne County","20813","10942",484.16,25.99,458.17
"1129","0100000US","Kentucky","Webster County","13621","5936",335.66,3.71,331.94
"1130","0100000US","Kentucky","Whitley County","35637","15166",445.12,7.29,437.83
"1131","0100000US","Kentucky","Wolfe County","7355","3660",222.75,0.58,222.17
"1132","0100000US","Kentucky","Woodford County","24939","10711",192.04,3.25,188.78
"1134","0100000US","Louisiana","Acadia Parish","61773","25387",657.45,2.34,655.12
"1135","0100000US","Louisiana","Allen Parish","25764","9733",765.95,4.11,761.85
"1136","0100000US","Louisiana","Ascension Parish","107215","40784",302.79,12.8,289.98
"1137","0100000US","Louisiana","Assumption Parish","23421","10351",364.53,25.87,338.66
"1138","0100000US","Louisiana","Avoyelles Parish","42073","18042",865.74,33.31,832.43
"1139","0100000US","Louisiana","Beauregard Parish","35654","15040",1165.84,8.49,1157.34
"1140","0100000US","Louisiana","Bienville Parish","14353","7718",822.07,10.8,811.27
"1141","0100000US","Louisiana","Bossier Parish","116979","49351",867.22,27.16,840.06
