"","species","traitname","strength.of.selection","sample.size","authors","year","journal","volume.pages"
"253","Aquarius remigis","profemoral width (univariate)",-0.287,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"254","Aquarius remigis","profemoral width (univariate)",-0.238,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"255","Aquarius remigis","profemoral width (univariate)",0.112,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"256","Aquarius remigis","profemoral width (multivariate)",-0.094,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"257","Aquarius remigis","profemoral width (multivariate)",-0.075,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"258","Aquarius remigis","profemoral width (multivariate)",1.427,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"259","Aquarius remigis","profemoral width (multivariate)",-0.289,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"260","Aquarius remigis","profemoral width (multivariate)",-0.71,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"261","Aquarius remigis","profemoral width (multivariate)",-0.017,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"262","Aquarius remigis","profemoral width (multivariate)",-0.4,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"263","Aquarius remigis","profemoral width (multivariate)",-0.222,30,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"264","Aquarius remigis","profemoral width (multivariate)",-0.223,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"265","Aquarius remigis","profemoral width (multivariate)",0.019,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"266","Aquarius remigis","profemoral width (multivariate)",-0.221,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"267","Aquarius remigis","profemoral width (multivariate)",-0.141,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"268","Aquarius remigis","mesofemoral length (univariate)",-0.174,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"269","Aquarius remigis","mesofemoral length (univariate)",-0.003,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"270","Aquarius remigis","mesofemoral length (univariate)",0.322,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"271","Aquarius remigis","mesofemoral length (univariate)",-0.123,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"272","Aquarius remigis","mesofemoral length (univariate)",-0.409,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"273","Aquarius remigis","mesofemoral length (univariate)",-0.137,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"274","Aquarius remigis","mesofemoral length (univariate)",-0.394,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"275","Aquarius remigis","mesofemoral length (univariate)",0.015,30,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"276","Aquarius remigis","mesofemoral length (univariate)",-0.014,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"277","Aquarius remigis","mesofemoral length (univariate)",-0.33,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"278","Aquarius remigis","mesofemoral length (univariate)",-0.326,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"279","Aquarius remigis","mesofemoral length (univariate)",0.283,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"280","Aquarius remigis","mesofemoral length (multivariate)",-0.507,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"281","Aquarius remigis","mesofemoral length (multivariate)",-1.352,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"282","Aquarius remigis","mesofemoral length (multivariate)",-0.942,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"283","Aquarius remigis","mesofemoral length (multivariate)",-0.432,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"284","Aquarius remigis","mesofemoral length (multivariate)",-1.034,10,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"285","Aquarius remigis","mesofemoral length (multivariate)",-0.595,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"286","Aquarius remigis","mesofemoral length (multivariate)",-0.802,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"287","Aquarius remigis","mesofemoral length (multivariate)",0.412,30,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"288","Aquarius remigis","mesofemoral length (multivariate)",-0.326,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"289","Aquarius remigis","mesofemoral length (multivariate)",-0.038,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"290","Aquarius remigis","mesofemoral length (multivariate)",-0.401,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"291","Aquarius remigis","mesofemoral length (multivariate)",0.155,25,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"292","Aquarius remigis","wing form (univariate)",-0.22,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"293","Aquarius remigis","wing form (univariate)",-0.373,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"294","Aquarius remigis","wing form (univariate)",-0.978,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"295","Aquarius remigis","wing form (univariate)",0.1,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"296","Aquarius remigis","wing form (univariate)",-0.288,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"297","Aquarius remigis","wing form (univariate)",-1.031,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"298","Aquarius remigis","wing form (multivariate)",-0.892,90,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"299","Aquarius remigis","wing form (multivariate)",-1.054,14,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"300","Aquarius remigis","wing form (multivariate)",-2.046,18,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"301","Aquarius remigis","wing form (multivariate)",0.066,15,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"302","Aquarius remigis","wing form (multivariate)",0.561,13,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"303","Aquarius remigis","wing form (multivariate)",-1.435,32,"Fairbairn, DJ and Preziosi, R.F.",1996,"Evolution","50:1549-1559"
"304","Aquarius remigis","total body length (univariate)",0.222,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"305","Aquarius remigis","thorax length (univariate)",0.114,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"306","Aquarius remigis","thorax length (multivariate)",-0.081,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"307","Aquarius remigis","abdomen length (univariate)",0.335,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"308","Aquarius remigis","abdomen length (multivariate)",0.391,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"309","Aquarius remigis","genital length (univariate)",-0.036,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"310","Aquarius remigis","genital length (multivariate)",-0.044,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"311","Aquarius remigis","total body length (univariate)",0.197,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"312","Aquarius remigis","thorax length (univariate)",0.149,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"313","Aquarius remigis","thorax length (multivariate)",0.008,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"314","Aquarius remigis","abdomen length (univariate)",0.286,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"315","Aquarius remigis","abdomen length (multivariate)",0.287,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"316","Aquarius remigis","genital length (univariate)",-0.047,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"317","Aquarius remigis","genital length (multivariate)",-0.069,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"318","Aquarius remigis","total body length (univariate)",0.158,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"319","Aquarius remigis","thorax length (univariate)",0.026,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"320","Aquarius remigis","thorax length (multivariate)",-0.148,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"321","Aquarius remigis","abdomen length (univariate)",0.32,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"322","Aquarius remigis","abdomen length (multivariate)",0.312,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"323","Aquarius remigis","genital length (univariate)",0.221,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"324","Aquarius remigis","genital length (multivariate)",0.217,19,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"325","Aquarius remigis","total body length (univariate)",0.198,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"326","Aquarius remigis","thorax length (univariate)",0.063,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"327","Aquarius remigis","thorax length (multivariate)",-0.094,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"328","Aquarius remigis","abdomen length (univariate)",0.306,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"329","Aquarius remigis","abdomen length (multivariate)",0.348,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"330","Aquarius remigis","genital length (univariate)",-0.029,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"331","Aquarius remigis","genital length (multivariate)",-0.002,66,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"332","Aquarius remigis","total body length (univariate)",-0.135,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"333","Aquarius remigis","thorax length (univariate)",-0.089,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"334","Aquarius remigis","thorax length (multivariate)",0.065,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"335","Aquarius remigis","abdomen length (univariate)",-0.164,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"336","Aquarius remigis","abdomen length (multivariate)",-0.21,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"337","Aquarius remigis","genital length (univariate)",-0.112,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"338","Aquarius remigis","genital length (multivariate)",-0.134,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"339","Aquarius remigis","total body length (univariate)",0.046,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"340","Aquarius remigis","thorax length (univariate)",0.06,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"341","Aquarius remigis","thorax length (multivariate)",0.046,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"342","Aquarius remigis","abdomen length (univariate)",0.118,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"343","Aquarius remigis","abdomen length (multivariate)",0.082,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"344","Aquarius remigis","genital length (univariate)",-0.165,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"345","Aquarius remigis","genital length (multivariate)",-0.169,50,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"346","Aquarius remigis","total body length (univariate)",0.145,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"347","Aquarius remigis","thorax length (univariate)",0.149,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"348","Aquarius remigis","thorax length (multivariate)",0.119,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"349","Aquarius remigis","abdomen length (univariate)",0.168,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"350","Aquarius remigis","abdomen length (multivariate)",0.163,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"351","Aquarius remigis","genital length (univariate)",-0.011,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"352","Aquarius remigis","genital length (multivariate)",-0.054,45,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"353","Aquarius remigis","total body length (univariate)",0.159,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"354","Aquarius remigis","thorax length (univariate)",0.032,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"355","Aquarius remigis","thorax length (multivariate)",0.02,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"356","Aquarius remigis","abdomen length (univariate)",0.161,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"357","Aquarius remigis","abdomen length (multivariate)",0.18,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"358","Aquarius remigis","genital length (univariate)",0.074,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"359","Aquarius remigis","genital length (multivariate)",-0.035,28,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"360","Aquarius remigis","total body length (univariate)",0.151,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"361","Aquarius remigis","thorax length (univariate)",0.075,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"362","Aquarius remigis","thorax length (multivariate)",0.058,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"363","Aquarius remigis","abdomen length (univariate)",0.144,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"364","Aquarius remigis","abdomen length (multivariate)",0.155,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"365","Aquarius remigis","genital length (univariate)",-0.004,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"366","Aquarius remigis","genital length (multivariate)",-0.051,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"367","Aquarius remigis","total body length (univariate)",-0.279,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"368","Aquarius remigis","thorax length (univariate)",-0.184,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"369","Aquarius remigis","thorax length (multivariate)",-0.179,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"370","Aquarius remigis","abdomen length (univariate)",-0.078,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"371","Aquarius remigis","abdomen length (multivariate)",-0.046,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"372","Aquarius remigis","genital length (univariate)",-0.049,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"373","Aquarius remigis","genital length (multivariate)",-0.037,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"374","Aquarius remigis","total body length (univariate)",-0.033,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"375","Aquarius remigis","thorax length (univariate)",-0.086,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"376","Aquarius remigis","thorax length (multivariate)",-0.105,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"377","Aquarius remigis","abdomen length (univariate)",0.138,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"378","Aquarius remigis","abdomen length (multivariate)",0.163,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"379","Aquarius remigis","genital length (univariate)",0.011,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"380","Pontia occidentalis","genital length (multivariate)",-0.04,60,"Preziosi, R.F. and Fairbairn, D.J.",1997,"Evolution","51:467-474"
"381","Pontia occidentalis","fwl - length of forewing (all-traits)",-0.08,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"382","Pontia occidentalis","hb - gray level of basal dorsal hindwing (all-traits)",-0.588,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"383","Pontia occidentalis","ds - gray level of middle discal cell (all-traits)",0.211,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"384","Pontia occidentalis","pv - gray level of posterior ventral hindwing (all-traits)",0.049,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"385","Pontia occidentalis","ft4 - length of spot in cell M3 on DFW (all-traits)",0.105,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"386","Pontia occidentalis","fm2 - length of spot along vein M1 on DFW (all-traits)",0.075,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"387","Pontia occidentalis","hb - gray level of basal dorsal hindwing (best)",-0.375,289,"Kingsolver, JG",1995,"Evolution","49:932-941"
"388","Pontia occidentalis","fwl - length of forewing (all-traits)",0.038,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"389","Pontia occidentalis","hb - gray level of basal dorsal hindwing (all-traits)",-0.117,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"390","Pontia occidentalis","ds - gray level of middle discal cell (all-traits)",-0.115,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"391","Pontia occidentalis","pv - gray level of posterior ventral hindwing (all-traits)",0.15,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"392","Pontia occidentalis","ft4 - length of spot in cell M3 on DFW (all-traits)",0.051,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"393","Pontia occidentalis","fm2 - length of spot along vein M1 on DFW (all-traits)",0.115,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"394","Pontia occidentalis","hb - gray level of basal dorsal hindwing (best)",-0.242,247,"Kingsolver, JG",1995,"Evolution","49:932-941"
"395","Pontia occidentalis","fwl - length of forewing (all-traits)",-0.344,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"396","Pontia occidentalis","hb - gray level of basal dorsal hindwing (all-traits)",0.233,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"397","Pontia occidentalis","ds - gray level of middle discal cell (all-traits)",-0.172,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"398","Pontia occidentalis","pv - gray level of posterior ventral hindwing (all-traits)",-0.136,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"399","Pontia occidentalis","ft4 - length of spot in cell M3 on DFW (all-traits)",0.031,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"400","Pontia occidentalis","fm2 - length of spot along vein M1 on DFW (all-traits)",0.295,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"401","Pontia occidentalis","fwl - length of forewing (best)",-0.307,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"402","Pontia occidentalis","fm2 - length of spot along vein M1 on DFW (best)",0.26,403,"Kingsolver, JG",1995,"Evolution","49:932-941"
"403","Pontia occidentalis","fwl - length of forewing (all-traits)",-0.185,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"404","Pontia occidentalis","hb - gray level of basal dorsal hindwing (all-traits)",0.382,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"405","Pontia occidentalis","ds - gray level of middle discal cell (all-traits)",-0.353,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"406","Pontia occidentalis","pv - gray level of posterior ventral hindwing (all-traits)",-0.61,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"407","Pontia occidentalis","ft4 - length of spot in cell M3 on DFW (all-traits)",-0.152,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"408","Pontia occidentalis","fm2 - length of spot along vein M1 on DFW (all-traits)",-0.005,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"409","Pontia occidentalis","hb - gray level of basal dorsal hindwing (best)",0.285,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"410","Plathhemis lydia","pv - gray level of posterior ventral hindwing (best)",-0.608,147,"Kingsolver, JG",1995,"Evolution","49:932-941"
"411","Plathhemis lydia","date marked (time of first reproduction)",-0.31,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"412","Plathhemis lydia","date marked (time of first reproduction)",-0.29,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"413","Plathhemis lydia","body mass",0.22,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"414","Plathhemis lydia","body mass",0.16,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"415","Plathhemis lydia","hind wing length",-0.47,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"416","Plathhemis lydia","hind wing length",-0.21,40,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"417","Plathhemis lydia","date marked (time of first reproduction)",0.06,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"418","Plathhemis lydia","date marked (time of first reproduction)",-0.07,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"419","Plathhemis lydia","body mass",0.07,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"420","Plathhemis lydia","body mass",0.1,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"421","Plathhemis lydia","hind wing length",-0.09,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"422","Drosophila buzzatii","hind wing length",-0.06,15,"Koenig, W.D. and Albano, S.S.",1987,"Evolution","41:22-36"
"423","Hetaerina americana","body size factor PC:MO",0.23,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"424","Hetaerina americana","wing spot factor PC:MO",0.29,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"425","Hetaerina americana","body size factor PC:MO",0.08,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"426","Hetaerina americana","wing spot factor PC:MO",0.1,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"427","Hetaerina americana","body size factor PC:MO",0.18,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"428","Hetaerina americana","wing spot factor PC:MO",0.23,51,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"429","Hetaerina americana","body size factor PC:MO",0.33,72,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"430","Hetaerina americana","body size factor PC:MO",0.17,72,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"431","Hetaerina americana","body size factor PC:MO",0.27,72,"Grether, G.F.",1996,"Evolution","50:1939-1948"
"432","Hetaerina americana","body size factor PC:MO",0.18,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"433","Hetaerina americana","wing spot factor PC:MO",0.23,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"434","Hetaerina americana","body size factor PC:MO",-0.06,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"435","Hetaerina americana","wing spot factor PC:MO",0.31,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"436","Hetaerina americana","body size factor PC:MO",0.51,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"437","Hetaerina americana","wing spot factor PC:MO",-0.08,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"438","Hetaerina americana","body size factor PC:MO",0.12,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"439","Hetaerina americana","wing spot factor PC:MO",0.21,51,"Grether, G.F.",1996,"Evolution","50:1949-1957"
"440","Libellula luctuosa","body size",0.128,108,"Moore, AJ",1990,"Evolution","44:315-331"
"441","Libellula luctuosa","body size",-0.293,108,"Moore, AJ",1990,"Evolution","44:315-331"
"442","Libellula luctuosa","body size",-0.202,85,"Moore, AJ",1990,"Evolution","44:315-331"
"443","Libellula luctuosa","body size",-0.223,108,"Moore, AJ",1990,"Evolution","44:315-331"
"444","Libellula luctuosa","body size",0.186,32,"Moore, AJ",1990,"Evolution","44:315-331"
"445","Libellula luctuosa","body size",-0.27,108,"Moore, AJ",1990,"Evolution","44:315-331"
"446","Libellula luctuosa","wing length",0.057,108,"Moore, AJ",1990,"Evolution","44:315-331"
"447","Libellula luctuosa","wing length",0.157,108,"Moore, AJ",1990,"Evolution","44:315-331"
"448","Libellula luctuosa","wing length",0.15,85,"Moore, AJ",1990,"Evolution","44:315-331"
"449","Libellula luctuosa","wing length",0.3,108,"Moore, AJ",1990,"Evolution","44:315-331"
"450","Libellula luctuosa","wing length",0.196,32,"Moore, AJ",1990,"Evolution","44:315-331"
"451","Libellula luctuosa","wing length",0.353,108,"Moore, AJ",1990,"Evolution","44:315-331"
"452","Libellula luctuosa","brown patch size",-0.03,108,"Moore, AJ",1990,"Evolution","44:315-331"
"453","Libellula luctuosa","brown patch size",0.497,108,"Moore, AJ",1990,"Evolution","44:315-331"
"454","Libellula luctuosa","brown patch size",0.476,85,"Moore, AJ",1990,"Evolution","44:315-331"
"455","Libellula luctuosa","brown patch size",0.299,108,"Moore, AJ",1990,"Evolution","44:315-331"
"456","Libellula luctuosa","brown patch size",0.009,32,"Moore, AJ",1990,"Evolution","44:315-331"
"457","Libellula luctuosa","brown patch size",0.471,108,"Moore, AJ",1990,"Evolution","44:315-331"
"458","Libellula luctuosa","white patch size",0.188,108,"Moore, AJ",1990,"Evolution","44:315-331"
"459","Libellula luctuosa","white patch size",0.778,108,"Moore, AJ",1990,"Evolution","44:315-331"
"460","Libellula luctuosa","white patch size",0.598,85,"Moore, AJ",1990,"Evolution","44:315-331"
"461","Libellula luctuosa","white patch size",0.781,108,"Moore, AJ",1990,"Evolution","44:315-331"
"462","Libellula luctuosa","white patch size",0.172,32,"Moore, AJ",1990,"Evolution","44:315-331"
"463","Libellula luctuosa","white patch size",0.879,108,"Moore, AJ",1990,"Evolution","44:315-331"
