"","X19.66","X21.72","X26.09","X34","X35.12","X39.22","X41.34","X43.75","X47.44","X49.34","X51.3","X55.38","X57.47","X59.04","X61.4","X70.28","X74.24","X78.97","X81.02","X85.02","X88.9","X91","X93.53","X99.44","X102.44","X104.74","X106.8","X108.69","X111","X112.88","X120.43","X124.42","X128.2","X132.43","X136.37","X141.34","X143.02","X145.16","X149.14","X151.1","X155.06","X157.14","X161.18","X163.18","X167.44","X169.47","X173.44","X175.44","X179.08","X180.97","X183.16","X187.22","X191.04","X193.12","X197.08","X198.87","X203.3","X205.21","X209.44","X213.44","X215.44","X218.44","X220.18","X224.28","X228.09","X232.36","X236.44","X240.22","X244.12","X248.42","X252.66","X258.88","X263.12","X269.2","X271.36","X272.92","X275.07","X279.18","X281.24","X285.69","X287.46","X291.54","X293.46","X295.61","X300.08","X302.17","X304.11","X306.34","X308.43","X312.43","X314.56","X316.68","X318.56","X320.31","X324.42","X326.59","X330.34","X332.3","X334.44","X336.47","X338.65","X340.58","X342.48","X344.89","X347.17","X349.05","X350.93","X353.04","X357.05","X359.44","X361.49","X363.5","X367.44"
"Matonisporites sp.","","","","","1","","","","","3","4","","","","","","","1","","","2","","","","","","2","","","","1","","","","1","","","","","1","","","","","1","1","","","","","","","","5","","","","8","","","","","","","","","","","","","","1","1","4","","1","1","","","","","","","","","1","","","","","","","3","","","","","","1","","","","","","","","","","","","2","",""
"Mauritiidites franc. var. pach ","","","","","","","1","","","","9","","1","","","","","","","","","","","","","1","1","","","","","","","2","","1","","","","","","","3","","","","2","2","","3","","1","4","14","","1","","","1","","","1","","","","","","","","7","7","85","2","1","3","6","4","","","2","2","","","1","","10","2","","","","","","","","","","","1","","9","1","2","","","","","","1","4","1","1","","1"
"Mauritiidites franciscoi var. franciscoi","","","","","8","11","2","","","","","3","10","7","3","1","","","5","","","1","2","","","1","","","4","","","2","2","2","","2","","1","","2","6","5","12","9","","","19","16","4","14","","4","1","2","","3","3","","3","6","2","2","3","1","1","","1","1","1","12","10","4","2","2","3","1","3","3","","16","20","10","3","4","8","7","21","10","","","","","4","","","","","2","","2","20","2","3","","1","1","1","1","4","2","1","","5"
"Mauritiidites franciscoi var. minutus","2","1","","","","","","","","","1","4","3","4","5","","","","2","","","","","","","1","","1","","1","","","2","","1","","","","1","1","1","","3","","","","2","","","3","1","6","","","","","1","","1","1","","","","","1","","","","3","5","7","7","","","4","","","","","3","13","11","1","2","3","5","9","6","","","","","","","","","","","","","","","","","","","","","1","2","","",""
"Momipites aff. africanus","","","","","","","","","","","","1","","","","","","","","","","","","","","","","27","","","2","","","","15","","","8","22","1","","2","","2","","","1","1","","","","2","","","","2","1","","","","","3","","","3","","","","3","1","1","","","1","","","","","","","","","","","","","","","","","","","","","2","3","","1","","","","1","","","","1","1","1","1","","","","2"
"Momipites sp.","","","","","","","1","1","","","2","","","","","","","2","1","","","","","","","","","","1","","3","","","3","","","","","3","2","1","1","","4","","","1","2","2","2","2","4","2","","","2","3","1","","","4","1","1","1","1","","","","","1","1","2","","3","1","","","","","3","2","","","","4","8","3","","","20","2","1","","","","","","","","","","1","","1","","1","","","2","","","","2"
"Monocolpopollenites ovatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16","","1","2","","","","","1","2","","","","","","1","1","","","","","","","","","1","","1","","","4","","","","",""
"Monoporopollenites annulatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Palaeocystodinium sp.","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pediastrum (Compacto)","","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","25","","","","","","","4","2","","1","","","1","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Pediastrum (Perforado)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"Perfotricolpites? sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Planisporites? sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"Podocarpidites sp.","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","3","","","","","","","","1","","","","","","","","","","","","","","","1","1","2","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Poloretitricolpites aff. absolutus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Polypodiaceoisporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
"Polypodiaceoisporites? fossulatus","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","2","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","",""
"Polypodiisporites sp.","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
"Proteacidites sp.","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","3","","","","1","","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
"Proxapertites aff. operculatus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites aff. tertiaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites aff. verrucatus","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites cursus","","","","4","125","18","14","","","","","25","27","41","42","2","","","2","","","1","1","","","1","","1","1","","","","1","1","","1","","1","","2","18","7","26","5","","","33","35","6","29","5","8","","","2","15","2","","","9","13","5","","2","1","1","","","24","23","17","1","","2","2","","","","1","61","24","24","8","","2","10","11","7","","","","","","","1","1","","","","","51","1","17","1","110","2","","16","","","","",""
"Proxapertites humbertoides","","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","1","","",""
"Proxapertites minutus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites operculatus","14","18","5","183","52","82","76","15","3","","1","59","89","105","83","81","21","14","45","","","30","42","","68","22","4","9","102","72","40","155","97","41","2","30","","31","4","5","59","34","65","35","","","61","72","10","47","10","23","1","2","8","26","7","","","19","27","8","30","17","3","4","8","1","14","31","21","4","1","3","15","1","6","140","7","39","69","56","25","6","35","31","45","43","","","","","5","117","1","1","1","3","","","56","4","146","1","6","1","","17","26","15","","1","2"
"Proxapertites psilatus","","2","2","2","1","9","7","2","2","","","4","2","1","","1","","1","3","","","","2","","","3","","","5","","9","3","2","2","","2","","","","","1","2","1","4","","1","","","","","","","","","","2","","","","","1","1","1","","","1","","","","","2","","","","","","","","","3","3","3","1","1","","2","2","2","","","","","","2","","","","","","","","","1","","3","","","","","","","",""
"Proxapertites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites sp. (magnus?)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","1","","","","","1","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","",""
"Proxapertites tertiaria","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Proxapertites verrucatus","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilabrevitricolporites annulatus?","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilabrevitricolporites simpliformis","3","","2","","","","","2","","","","1","1","1","","","","1","1","","1","","1","","","4","","","2","1","1","1","2","3","3","","","3","2","","2","","1","1","","","2","1","1","1","","4","","","1","1","2","","","","1","","","","","","","","","","","","","","","","","4","","","2","","","","","","3","","","","","","","","","1","","1","","","14","6","3","","6","1","1","","3","","","","1"
"Psilabrevitricolporites sp.","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilamonocolpites aff. operculatus","","","","","","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilamonocolpites grandis","","","","","","1","","","","1","1","3","","","","","","","1","1","","","","","1","","1","","22","","2","","","","","3","","","1","","","1","1","2","","","3","2","1","3","","1","9","","1","","1","","","3","","","1","","","1","","","","4","1","8","","2","","2","","3","","1","3","3","","1","1","3","1","","","","","","3","","","","","","","","","","","","1","","1","3","3","","","","1"
"Psilamonocolpites medius","3","","6","5","3","11","16","10","10","","2","36","26","15","17","32","8","8","42","","2","5","10","","","32","","40","15","3","30","28","47","82","14","18","","59","36","12","60","42","48","104","","","51","51","25","66","56","125","59","11","28","42","14","1","1","41","26","20","29","8","7","5","4","5","14","26","16","36","3","22","23","3","2","26","4","26","35","28","15","4","30","12","66","66","1","","","","6","3","4","8","","1","2","1","41","9","13","2","40","4","3","20","19","7","2","","15"
"Psilamonocolpites minutus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilamonocolpites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilastephanocolpites globulus","","","","","","","","","","","13","1","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","1","1","5","","","","","","","1","","1","","","1","","","","","1","","","","","","","","3","","1","","","","","","","","","43","","","4","","","","","","","","","","",""
"Psilastephanocolpites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilastephanocolporites fissilis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilastephanoporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Psilatricolpites sp.","","","","","","","","","1","","","","1","","","","","","","","","","","","","1","","2","1","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","1","","1","2","","1","","","","","","","","","","","","","","","","","","","1","","","","1"
"Psilatricolporites marginatus","","","","","","","","","","","","2","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","1","2","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","1","","","","1","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Psilatricolporites pachyexinatus","","","","","","","","","","2","8","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4","","1","31","1","","","","3","2","","","","","","","","","","","2","2","8","1","","","4","2","","","4","","1","","","","3","","4","2","1","11","","","","","","","","14","4","1","","","","","","","","","","2","",""
"Psilatricolporites sp.","2","","","","","1","","","1","","3","","1","","","2","1","","3","1","","","2","1","","2","","2","1","","1","","1","2","1","1","","2","6","1","","","3","1","","1","","2","","2","2","2","4","","","1","1","","1","","1","2","3","2","","","1","","1","2","","7","","1","2","6","","","","3","3","1","","3","1","3","3","5","","","","","","","1","1","","2","1","","2","5","1","1","9","1","","1","4","","","1","5"
"Psilatriletes < 25 mic.","4","1","","","","","2","","","","","8","1","","","","","1","9","","1","","","","","1","","4","1","","9","3","1","4","","1","","","2","1","4","1","1","3","","","","","","","","3","","","2","1","1","","","2","1","2","","","2","","","","","","1","","","","","","","","","2","1","2","","","","","7","4","","","","","","","","3","","","","","","36","4","2","3","6","1","2","3","","","","3"
"Psilatriletes > 50 mic.","","1","","","","","2","","","","4","","","","","","","","1","2","2","","","","","","1","","1","","","","","","","1","","","","","","","","","","1","","","","","","","1","4","","","","","","","","","","","","","","","","","","","","5","","3","","","","","1","","","","","","2","","","","","","17","","","","","","1","3","","2","1","","","2","","","","","2","",""
"Psilatriletes 25 - 50 mic","24","17","2","","5","5","34","2","3","2","7","18","23","16","4","17","1","7","21","4","","3","14","","5","30","1","23","22","2","65","2","23","10","33","28","","17","50","5","17","7","17","11","","1","19","21","19","20","12","21","7","10","5","20","7","1","2","9","15","15","36","15","6","5","8","1","13","12","12","14","4","72","14","5","2","10","4","12","18","8","2","3","5","7","12","5","2","","","","17","2","4","2","","1","18","2","9","95","7","","14","26","2","18","16","","2","1","15"
"Retibrevitricolpites sp.","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retibrevitricolporites sp.","","","","","","","","","","","","","3","","","","","","1","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retidiporites botulus","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retidiporites magdalenensis","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retimonocolpites aff. claris","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retimonocolpites regio","","","","","","","","","","","","3","6","4","3","8","","3","5","","","","","","","1","","5","","","4","1","3","4","","","","4","1","1","12","6","2","9","","","4","8","1","11","3","6","","","1","4","","","1","1","","2","1","","","","","","1","2","1","","","","","","","","","2","3","2","","","1","","","4","","","","","","1","1","","","","","","3","","","","1","","","","3","","","","1"
"Retimonocolpites retifossulatus","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","",""
"Retimonocolpites sp.","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","1","1","2","","","","","","","","","","","","","","","","","","","","","1","","","",""
"Retipollenites sp. ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retistephanocolpites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","",""
"Retistephanocolporites sp.","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retistephanoporites sp.","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retitrescolpites definidus","","","","","","","","","","","","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retitricolpites sp.","","","","","","","","","","","1","1","1","","","1","","","1","","","","","","","","","","1","1","","","","1","","","","","","","","","","","","","","","1","","1","","2","","","","","","","1","1","1","","","","","","","1","1","","1","","1","","","","","","1","","","","","","1","1","","","","","","","","","","","","","","","1","1","","1","","","","","","","",""
"Retitricolporites sp.","1","","1","1","","","1","1","","","1","3","1","","","1","","","3","1","2","","1","","","2","","","","","3","","3","","","1","","3","1","1","1","","4","","1","","","","1","3","","1","7","","1","1","","1","1","","","2","3","","1","","1","1","1","1","2","1","1","2","1","2","","","","1","2","1","","","1","1","1","","1","","","","","","","1","1","","2","","2","1","","1","3","1","","","4","","","1","1"
"Retitriletes cristatus","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","2","","1","","","","","","","","",""
"Retitriporites simplex","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Retitriporites sp.","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","1","","","",""
"Rousea? ""polopsilatus""","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rugulatisporites ""maculosus""","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scabratricolpites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Scabratriporites annellus","","","","","","","","","","","","2","","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","1","1","","","2","1","1","","","2","","","53","13","","","","2","2","1","","","","","","","3","","","","","1","1","","","","5","6","1","","2","","2","2","1","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spiniferites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Spinizonocolpites? sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
"Striatricolporites digitatus","","","","","","","","","","","11","","","","","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Striatricolporites guajiraensis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","3","1","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Striatriletes elegantis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","2","","","","","","","","","","",""
"Striatriletes sp.","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Syncolporites lisamae","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7","","","","","","1","","","1","","","","","","1","","","1"
"Syncolporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetracolporopollenites ""binocularis""","","","","","","","4","","","","","","","1","","","","","","","","","","","","1","","","1","","2","","2","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetracolporopollenites aff. transversalis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetracolporopollenites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetracolporopollenites? semispongiosus ","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tetradites aff. umirensis","","","","","","","","","","","2","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","",""
"Ulmoideipites krempii","","","","","","1","","","1","","","","1","","","1","","1","6","","","","","","","","","2","","","2","1","","3","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verrustephanocolporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verrutricolpites ""gemmatus""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1"
"Verrutricolporites sp.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verrutriletes ""echinatus""","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verrutriletes ""radialis""","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Verrutriletes sp. ","2","1","1","","1","","3","","","","","","","","","","","1","1","","","","2","","","1","","3","1","","1","","","","","","","1","2","","","","3","","","","","","","","","","1","","","1","","","","1","","","1","2","1","","","","","1","1","","1","3","","","","","","1","","","","","","","","","","","","","","","","1","","2","","","","4","1","","","2","","1","1","","","1",""
"Verrutriletes virueloides","","","","","1","5","2","","","","","","","","","","1","","1","","","","1","","","","","","","","2","","","","","","","1","1","","1","","2","","","","1","","","","","","","","","","","","","","","","1","","","","","","3","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","1","","","","","","","","3","","","","1",""
"Very small Psilatricolporites ","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17","4","","","","","","","","","","","","","","","","","","4","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","1","",""
