"","name","rating","genre","creative.type","time","year","production.method","sequel","budget","revenue.all","revenue.dom","revenue.int","revenue.inf"
"1328","Di Renjie zhi shendu longwang","Not Rated","Adventure","Fantasy",134,2013,"Live Action",1,0,96.487783,0.087783,96.4,0.090371
"1329","Christmas with the Kranks","PG","Comedy","Contemporary Fiction",NA,2004,"Live Action",0,50,96.469187,73.701902,22.767285,99.311063
"1330","13 Going On 30","PG-13","Comedy","Contemporary Fiction",98,2004,"Live Action",0,30,96.439723,57.139723,39.3,77.014412
"1331","8MM","R","Thriller/Suspense","Contemporary Fiction",NA,1999,"Live Action",0,40,96.238885,36.283501,59.955384,59.782064
"1332","The Stepford Wives","PG-13","Comedy","Contemporary Fiction",NA,2004,"Live Action",0,100,96.221971,59.475623,36.746348,80.162796
"1333","Think Like a Man","PG-13","Romantic Comedy","Contemporary Fiction",122,2012,"Live Action",0,12,96.155124,91.547205,4.607919,96.262575
"1334","The Manchurian Candidate","R","Thriller/Suspense","Historical Fiction",130,2004,"Live Action",0,80,96.148711,65.948711,30.2,88.887391
"1335","The Tigger Movie","G","Adventure","Kids Fiction",NA,2000,"Hand Animation",0,20,96.147688,45.542421,50.605267,70.721721
"1336","TMNT","PG","Action","Science Fiction",86,2007,"Digital Animation",0,35,96.096018,54.149098,41.94692,65.856081
"1337","Dolphin Tale","PG","Drama","Dramatization",112,2011,"Live Action",0,37,96.068724,72.286779,23.781945,76.296358
"1338","The 6th Day","PG-13","Action","Science Fiction",NA,2000,"Live Action",0,82,96.024898,34.543701,61.481197,53.625326
"1339","Scream 4","R","Horror","Contemporary Fiction",NA,2010,"Live Action",1,40,95.98959,38.180928,57.808662,40.299416
"1340","Poltergeist","PG-13","Horror","Fantasy",93,2014,"Live Action",0,35,95.825125,47.425125,48.4,47.425125
"1341","Underworld","R","Action","Contemporary Fiction",121,2003,"Live Action",0,22,95.708457,51.97069,43.737767,72.135288
"1342","Shooter","R","Thriller/Suspense","Contemporary Fiction",126,2007,"Live Action",0,60,95.703582,47.003582,48.7,57.183137
"1343","The Butterfly Effect","R","Thriller/Suspense","Science Fiction",NA,2004,"Live Action",0,13,95.638592,57.924679,37.713913,78.072397
"1344","P.K.","Not Rated","Comedy","Fantasy",153,2014,"Live Action",0,0,95.616104,10.616104,85,10.858351
"1345","Killers","PG-13","Action","Contemporary Fiction",NA,2009,"Live Action",0,75,95.572749,47.059963,48.512786,49.922924
"1346","Star Trek II: The Wrath of Khan","PG","Adventure","Science Fiction",NA,1982,"Live Action",1,12,95.520578,78.633541,16.887037,223.864874
"1347","Peter Pan","PG","Adventure","Fantasy",113,2003,"Live Action",0,100,95.255485,48.41785,46.837635,66.633997
"1348","Harlem Nights","R","Comedy","Historical Fiction",NA,1989,"Live Action",0,0,95.135854,60.135854,35,125.564924
"1349","Old Dogs","PG","Comedy","Contemporary Fiction",NA,2009,"Live Action",0,35,95.104304,49.49206,45.612244,55.108884
"1350","40 Days and 40 Nights","R","Romantic Comedy","Contemporary Fiction",NA,2002,"Live Action",0,17,95.092667,37.939782,57.152885,54.656795
"1351","Be Cool","PG-13","Comedy","Contemporary Fiction",NA,2005,"Live Action",1,75,94.944017,55.849401,39.094616,72.873505
"1352","HouseSitter","PG","Comedy","Contemporary Fiction",NA,1992,"Live Action",0,0,94.900635,58.500635,36.4,86.40967
"1353","1941","PG","Comedy","Historical Fiction",116,1979,"Live Action",0,32,94.875,34.175,60.7,34.175
"1354","The Lovely Bones","PG-13","Drama","Fantasy",135,2009,"Live Action",0,95,94.808454,44.028238,50.780216,46.727894
"1355","Riddick","R","Action","Science Fiction",119,2011,"Live Action",1,38,94.763758,42.025135,52.738623,43.265727
"1356","The Wedding Planner","PG-13","Romantic Comedy","Contemporary Fiction",NA,2001,"Live Action",0,28,94.728529,60.400856,34.327673,89.320698
"1357","Silent Hill","R","Horror","Contemporary Fiction",NA,2006,"Live Action",0,50,94.704227,46.982632,47.721595,60.037349
"1358","Saat po long 2","Not Rated","Action","Contemporary Fiction",0,2015,"Live Action",1,0,94.693927,0,94.693927,0
"1359","Predator","R","Action","Science Fiction",107,1987,"Live Action",0,18,94.604507,56.072497,38.53201,120.032429
"1360","Role Models","R","Comedy","Contemporary Fiction",99,2008,"Live Action",0,28,94.494141,67.29427,27.199871,78.41812
"1361","The Hundred-Foot Journey","PG","Romantic Comedy","Contemporary Fiction",122,2014,"Live Action",0,22,94.270488,54.235441,40.035047,55.563107
"1362","Nim's Island","PG","Adventure","Fantasy",96,2008,"Live Action",0,37,94.081683,48.006762,46.074921,55.963318
"1363","Safe Haven","PG-13","Drama","Contemporary Fiction",115,2011,"Live Action",0,28,94.050951,71.39912,22.651831,73.506838
"1364","Cong cong na nian","Not Rated","Drama","Historical Fiction",119,2014,"Live Action",0,0,94.036853,0.566853,93.47,0.580619
"1365","Forces of Nature","PG-13","Romantic Comedy","Contemporary Fiction",102,1999,"Live Action",0,0,93.90068,52.90068,41,87.161162
"1366","The River Wild","PG-13","Action","Contemporary Fiction",NA,1994,"Live Action",0,45,93.851705,46.451705,47.4,95.156479
"1367","Jin lng sh san chai","R","Drama","Historical Fiction",141,2011,"Live Action",0,100,93.721434,0.311434,93.41,0.327468
"1368","The Internship","PG-13","Comedy","Contemporary Fiction",119,2013,"Live Action",0,58,93.672764,44.672764,49,45.991509
"1369","Downfall","R","Drama","Dramatization",NA,2005,"Live Action",0,13.5,93.631744,5.50194,88.129804,7.184281
"1370","Lady and the Tramp","G","Drama","Kids Fiction",NA,1955,"Hand Animation",0,0,93.6,93.6,0,1573.156625
"1371","The Color Purple","PG-13","Drama","Historical Fiction",152,1985,"Live Action",0,15,93.589701,93.589701,0,211.867257
"1372","Speed Racer","PG","Action","Science Fiction",135,2008,"Live Action",0,120,93.394462,43.945766,49.448696,51.229255
"1373","The Poseidon Adventure","PG",NA,NA,NA,1972,NA,0,0,93.3,93.3,0,93.3
"1374","Calendar Girls","PG-13","Comedy","Contemporary Fiction",NA,2003,"Live Action",0,0,93.074616,31.011616,62.063,42.078016
"1375","Michael Clayton","R","Drama","Contemporary Fiction",120,2007,"Live Action",0,21.5,92.987651,49.033882,43.953769,59.15161
"1376","Deuce Bigalow: Male Gigolo","R","Comedy","Contemporary Fiction",NA,1999,"Live Action",0,18,92.935067,65.535067,27.4,106.160376
"1377","House of Flying Daggers","PG-13","Action","Historical Fiction",NA,2004,"Live Action",0,12,92.863945,11.050094,81.813851,14.592149
"1378","Syriana","R","Thriller/Suspense","Contemporary Fiction",127,2005,"Live Action",0,50,92.690959,50.82462,41.866339,66.021003
"1379","The Last Song","PG","Drama","Contemporary Fiction",NA,2009,"Live Action",0,20,92.678948,62.950384,29.728564,66.780062
"1380","Friday the 13th","R","Horror","Fantasy",97,2009,"Live Action",1,17,92.670237,65.002019,27.668218,72.542254
"1381","Gwoemul","R","Action","Science Fiction",119,2007,"Live Action",0,12,92.618117,2.201923,90.416194,2.678793
"1382","I Am Sam","PG-13","Drama","Contemporary Fiction",NA,2001,"Live Action",0,22,92.542418,40.270895,52.271523,58.017609
"1383","Four Brothers","R","Drama","Contemporary Fiction",109,2005,"Live Action",0,30,92.494381,74.494381,18,97.259358
"1384","The Family Stone","PG-13","Comedy","Contemporary Fiction",NA,2005,"Live Action",0,18,92.357499,60.062868,32.294631,78.043847
"1385","The Skeleton Key","PG-13","Horror","Contemporary Fiction",NA,2005,"Live Action",0,40,92.155498,47.806295,44.349203,62.42413
"1386","Secret Window","PG-13","Thriller/Suspense","Fantasy",95,2004,"Live Action",0,40,92.111551,47.958031,44.15352,64.639083
"1387","Tammy","R","Comedy","Contemporary Fiction",96,2014,"Live Action",0,20,92.025432,84.525432,7.5,86.594597
"1388","No Reservations","PG","Romantic Comedy","Contemporary Fiction",NA,2007,"Live Action",0,28,91.943956,43.107979,48.835977,52.443867
"1389","White Noise","PG-13","Drama","Contemporary Fiction",NA,2005,"Live Action",0,10,91.865715,55.865715,36,72.947898
"1390","Treasure Planet","PG","Adventure","Kids Fiction",95,2002,"Hand Animation",0,100,91.8,38.120554,53.679446,54.640189
"1391","When Harry Met Sally","R","Romantic Comedy","Contemporary Fiction",NA,1989,"Live Action",0,16,91.744616,91.744616,0,192.45675
"1392","I Love You, Man","R","Comedy","Contemporary Fiction",105,2009,"Live Action",0,40,91.729503,71.440011,20.289492,80.366522
"1393","Masquerade",NA,"Thriller/Suspense","Contemporary Fiction",NA,1988,"Live Action",0,0,91.593744,15.855828,75.737916,21.672876
"1394","Drag Me To Hell","PG-13","Horror","Fantasy",NA,2009,"Live Action",0,30,91.388487,42.100625,49.287862,46.9843
"1395","Get Him to the Greek","R","Comedy","Contemporary Fiction",108,2010,"Live Action",0,40,91.276824,60.974475,30.302349,64.683946
"1396","Season of the Witch","PG-13","Thriller/Suspense","Fantasy",98,2010,"Live Action",0,40,91.1266,24.827228,66.299372,26.204771
"1397","Romeo Must Die","R","Action","Contemporary Fiction",NA,2000,"Live Action",0,25,91.03676,55.973336,35.063424,86.919629
"1398","The Purge","R","Thriller/Suspense","Science Fiction",85,2013,"Live Action",0,3,91.000512,64.473115,26.527397,66.376377
"1399","Gwanghae, Wangyidoen namja","Not Rated","Drama","Dramatization",131,2012,"Live Action",0,0,90.913144,0.922921,89.990223,0.970033
"1400","Assassination","Not Rated","Thriller/Suspense","Historical Fiction",140,2015,"Live Action",0,0,90.904682,1.904682,89,1.904682
"1401","The Karate Kid","PG","Action","Contemporary Fiction",126,1984,"Live Action",0,8,90.815558,90.815558,0,226.228043
"1402","White Men Can't Jump","R","Comedy","Contemporary Fiction",116,1992,"Live Action",0,0,90.753806,76.253806,14.5,138.293944
"1403","Kangaroo Jack","PG","Comedy","Kids Fiction",NA,2003,"Live Action",0,60,90.723216,66.723216,24,92.615808
"1404","Autumn in New York","PG-13","Drama","Contemporary Fiction",NA,2000,"Live Action",0,40,90.717684,37.752931,52.964753,58.625606
"1405","King Kong",NA,"Action","Science Fiction",NA,1976,"Live Action",0,23,90.614445,52.614445,38,52.614445
"1406","Galaxy Quest","PG","Comedy","Science Fiction",NA,1999,"Live Action",0,45,90.523726,71.423726,19.1,113.500305
"1407","Madea Goes To Jail","PG-13","Comedy","Contemporary Fiction",103,2009,"Live Action",0,17.5,90.508336,90.508336,0,101.007302
"1408","The Tale of Despereaux","G","Adventure","Kids Fiction",93,2008,"Digital Animation",0,60,90.482317,50.877145,39.605172,58.950546
"1409","Bring it On","PG-13","Comedy","Contemporary Fiction",NA,2000,"Live Action",0,10,90.45355,68.35355,22.1,106.144565
"1410","Veteran","Not Rated","Action","Contemporary Fiction",123,2015,"Live Action",0,0,90.405163,1.155652,89.249511,1.155652
"1411","Final Destination 2","R","Horror","Fantasy",NA,2003,"Live Action",1,26,90.396664,46.896664,43.5,65.095373
"1412","Bedazzled","PG-13","Comedy","Contemporary Fiction",NA,2000,"Live Action",0,48,90.376224,37.879996,52.496228,58.796203
"1413","Red Riding Hood","PG-13","Thriller/Suspense","Fantasy",120,2010,"Live Action",0,42,90.300442,37.662162,52.63828,39.751859
"1414","This is 40","R","Comedy","Contemporary Fiction",134,2011,"Live Action",0,35,90.221182,67.544505,22.676677,70.731355
"1415","Mysteries of Egypt","Not Rated","Documentary","Factual",NA,1998,"Live Action",0,0,90,40.593286,49.406714,72.444735
"1416","Rien a declarer",NA,"Comedy","Contemporary Fiction",0,2010,"Live Action",0,0,89.934733,0.182295,89.752438,0.19241
"1417","Sucker Punch","R","Action","Fantasy",110,2011,"Live Action",0,75,89.758389,36.392502,53.365887,38.411755
"1418","Ender's Game","PG-13","Adventure","Science Fiction",114,2012,"Live Action",0,110,89.737191,61.737191,28,63.559277
"1419","Burlesque","PG-13","Drama","Contemporary Fiction",116,2010,"Live Action",0,55,89.657398,39.440655,50.216743,41.830942
"1420","Anchorman: The Legend of Ron Burgundy","PG-13","Comedy","Historical Fiction",95,2004,"Live Action",0,25,89.476265,84.136909,5.339356,113.401924
"1421","Stigmata","R","Horror","Contemporary Fiction",103,1999,"Live Action",0,32,89.441732,50.041732,39.4,82.448107
"1422","Racing Stripes","PG","Comedy","Kids Fiction",NA,2005,"Animation/Live Action",0,30,89.369889,49.186871,40.183018,64.226852
"1423","Father of the Bride","PG","Comedy","Contemporary Fiction",105,1991,"Live Action",0,0,89.32578,89.32578,0,153.183681
"1424","Fracture","R","Thriller/Suspense","Contemporary Fiction",NA,2007,"Live Action",0,0,89.2047,39.0047,50.2,47.451941
"1425","About Time","R","Romantic Comedy","Science Fiction",123,2013,"Live Action",0,12,89.177486,15.323921,73.853565,15.776287
"1426","Underworld 3: Rise of the Lycans","R","Action","Fantasy",NA,2009,"Live Action",1,35,89.102315,45.802315,43.3,51.115381
"1427","The Trial of Billy Jack","PG",NA,NA,NA,1974,NA,0,0,89,89,0,398.35829
"1428","The Transporter 2","PG-13","Action","Contemporary Fiction",NA,2005,"Live Action",1,32,88.978202,43.0956,45.882602,56.273042
"1429","Steel Magnolias","PG","Comedy","Contemporary Fiction",NA,1989,"Live Action",0,0,88.961388,77.568541,11.392847,158.949422
"1430","Rumor Has It","PG-13","Comedy","Contemporary Fiction",96,2005,"Live Action",0,0,88.933562,42.99614,45.937422,55.692976
"1431","State of Play","PG-13","Thriller/Suspense","Contemporary Fiction",127,2009,"Live Action",0,60,88.83221,37.017955,51.814255,41.312035
"1432","Trading Places","R","Comedy","Contemporary Fiction",NA,1983,"Live Action",0,0,88.621914,88.621914,0,235.481086
"1433","La Mme","PG-13","Drama","Dramatization",NA,2007,"Live Action",0,15.5,88.611837,10.299782,78.312055,12.518674
"1434","The Cider House Rules","PG-13","Drama","Historical Fiction",NA,1999,"Live Action",0,0,88.547209,57.547209,31,89.761805
"1435","Brave Hearts Umizaru",NA,"Action","Contemporary Fiction",116,2012,"Live Action",1,0,88.331372,0,88.331372,0
"1436","Shanghai Knights","PG-13","Adventure","Historical Fiction",NA,2003,"Live Action",1,50,88.316835,60.47022,27.846615,83.936277
"1437","The Hand That Rocks the Cradle","R","Thriller/Suspense","Contemporary Fiction",110,1992,"Live Action",0,0,88.036683,88.036683,0,157.502174
"1438","Match Point","R","Thriller/Suspense","Contemporary Fiction",NA,2005,"Live Action",0,15,87.989926,23.089926,64.9,29.526163
"1439","Deliver Us from Evil","R","Horror","Fantasy",118,2014,"Live Action",0,30,87.956618,30.577122,57.379496,31.325637
"1440","Spawn","PG-13","Action","Contemporary Fiction",NA,1997,"Live Action",0,40,87.937226,54.967359,32.969867,100.234592
"1441","Deep Sea 3D","G","Documentary","Factual",40,2006,"Live Action",0,0,87.848873,46.070691,41.778182,56.06272
"1442","Sinister","R","Thriller/Suspense","Fantasy",110,2012,"Live Action",0,3,87.727807,48.086903,39.640904,50.563739
"1443","Ali","R","Drama","Dramatization",158,2001,"Live Action",0,109,87.683966,58.183966,29.5,85.350095
"1444","Bicentennial Man","PG","Drama","Science Fiction",131,1999,"Live Action",0,90,87.420776,58.220776,29.2,94.147794
"1445","Peter Pan","PG","Adventure","Fantasy",NA,1953,"Hand Animation",0,4,87.4,87.4,0,1219.230003
"1446","The Visit","PG-13","Thriller/Suspense","Fantasy",94,2015,"Live Action",0,5,87.282305,63.082305,24.2,63.082305
"1447","R.V.","PG","Comedy","Contemporary Fiction",98,2006,"Live Action",0,55,87.252035,71.452035,15.8,91.305886
"1448","Southpaw","R","Drama","Contemporary Fiction",124,2015,"Live Action",0,30,87.236099,52.371926,34.864173,52.371926
"1449","Volver","R","Comedy","Contemporary Fiction",NA,2006,"Live Action",0,9.4,87.226613,12.899867,74.326746,15.984917
"1450","Hall Pass","R","Comedy","Contemporary Fiction",106,2010,"Live Action",0,68,87.173475,45.060734,42.112741,47.560943
"1451","The Lincoln Lawyer","R","Thriller/Suspense","Contemporary Fiction",119,2010,"Live Action",0,40,87.145086,58.0092,29.135886,61.227864
"1452","The Shaggy Dog","PG","Comedy","Fantasy",98,2006,"Live Action",0,60,87.123569,61.123569,26,78.093908
"1453","Sabrina","PG","Romantic Comedy","Contemporary Fiction",125,1995,"Live Action",0,58,87.1,53.458319,33.641681,102.170372
"1454","El Laberinto del Fauno","R","Horror","Historical Fiction",NA,2006,"Live Action",0,16,87.041569,37.634615,49.406954,45.819983
"1455","Wolf Warriors","Not Rated","Action","Contemporary Fiction",90,2014,"Live Action",0,0,87.024061,0,87.024061,0
"1456","The Guardian","PG-13","Action","Contemporary Fiction",139,2006,"Live Action",0,0,87.011732,55.011732,32,70.294784
"1457","Dodookdeul","Not Rated","Action","Contemporary Fiction",136,2012,"Live Action",0,0,86.960532,0.532699,86.427833,0.560129
"1458","Epic Movie","PG-13","Comedy","Contemporary Fiction",NA,2007,"Live Action",0,20,86.858578,39.739367,47.119211,48.345714
"1459","Dinner for Schmucks","PG-13","Comedy","Contemporary Fiction",114,2010,"Live Action",0,69,86.796502,73.026337,13.770165,77.469004
"1460","Oceans","G","Documentary","Factual",NA,2010,"Live Action",0,80,86.78753,19.422319,67.365211,20.603902
"1461","Old School","R","Comedy","Contemporary Fiction",90,2003,"Live Action",0,24,86.765463,75.155,11.610463,104.319629
"1462","A Million Ways to Die in The West","R","Comedy","Historical Fiction",115,2014,"Live Action",0,40,86.760995,42.720965,44.04003,43.766763
"1463","Abduction","PG-13","Thriller/Suspense","Contemporary Fiction",106,2010,"Live Action",0,35,86.648359,28.087155,58.561204,29.645577
"1464","Back to School","PG-13","Comedy","Contemporary Fiction",NA,1986,"Live Action",0,0,86.611121,86.611121,0,195.400295
"1465","Rat Race","PG-13","Comedy","Contemporary Fiction",112,2001,"Live Action",0,48,86.607223,56.607223,30,83.71068
"1466","The Kingdom","R","Action","Contemporary Fiction",111,2007,"Live Action",0,72.5,86.509602,47.46725,39.042352,57.747225
"1467","The Amityville Horror","R","Horror",NA,NA,1979,"Live Action",0,0,86.43252,86.43252,0,86.43252
"1468","Paranormal Activity: The Marked Ones","R","Horror","Fantasy",84,2013,"Live Action",1,5,86.362372,32.462372,53.9,33.349495
"1469","Jing cha gu shi er ling yi san",NA,NA,"Contemporary Fiction",108,2013,"Live Action",1,0,86.34,0,86.34,0
"1470","The Constant Gardener","R","Drama","Historical Fiction",129,2005,"Live Action",0,25.5,86.301599,33.579798,52.721801,43.828735
"1471","Young Frankenstein","PG","Comedy","Science Fiction",NA,1974,"Live Action",0,2.8,86.3,86.3,0,386.273265
"1472","Alexander and the Terrible, Horrible, No Good, Very Bad Day","PG","Comedy","Kids Fiction",81,2013,"Live Action",0,28,86.254149,66.954149,19.3,68.570606
"1473","The Inbetweeners","R","Comedy","Contemporary Fiction",96,2011,"Live Action",0,5.7,86.05132,0.035955,86.015365,0.037799
"1474","The Cell","R","Thriller/Suspense","Science Fiction",108,2000,"Live Action",0,35,85.911226,61.280963,24.630263,95.161719
"1475","Max Payne","PG-13","Action","Contemporary Fiction",NA,2008,"Live Action",0,35,85.761789,40.687294,45.074495,47.432572
"1476","The Naked Gun 2_: The Smell of Fear","PG-13","Comedy","Contemporary Fiction",NA,1991,"Live Action",1,23,85.748264,85.748264,0,170.478143
"1477","Tears of the Sun","R","Action","Contemporary Fiction",109,2003,"Live Action",0,75,85.632458,43.632458,42,60.564458
"1478","The Whole Nine Yards","R","Comedy","Contemporary Fiction",NA,2000,"Live Action",0,24,85.527867,57.262492,28.265375,88.921532
"1479","Rookies",NA,"Drama","Contemporary Fiction",NA,2009,"Live Action",0,0,85.40551,0,85.40551,NA
"1480","Jackass: Number Two","R","Comedy","Factual",NA,2006,"Live Action",1,11,85.278712,72.778712,12.5,93.001196
"1481","Date Movie","PG-13","Comedy","Contemporary Fiction",NA,2006,"Live Action",0,20,85.146165,48.548426,36.597739,62.035854
"1482","Final Fantasy: The Spirits Within","PG-13","Adventure","Science Fiction",NA,2001,"Digital Animation",0,137,85.13183,32.13183,53,47.516507
"1483","Long men fei jia","R","Action","Historical Fiction",122,2011,"Live Action",0,0,85.130718,0.170276,84.960442,0.179043
"1484","7beonbangui Seonmool",NA,"Comedy","Contemporary Fiction",127,2013,"Live Action",0,0,85.000227,0,85.000227,0
"1485","Das Boot","R","Drama","Historical Fiction",NA,1982,"Live Action",0,12,84.915795,11.433134,73.482661,20.884874
"1486","Meet the Spartans","PG-13","Comedy","Historical Fiction",NA,2008,"Live Action",0,30,84.646831,38.233676,46.413155,44.570459
"1487","J. Edgar","R","Drama","Dramatization",137,2011,"Live Action",0,35,84.60603,37.30603,47.3,39.373049
"1488","Du cheng feng yun",NA,"Drama","Contemporary Fiction",0,2014,"Live Action",0,0,84.57,0,84.57,0
"1489","The Grey","R","Thriller/Suspense","Contemporary Fiction",117,2011,"Animation/Live Action",0,25,84.339696,51.580136,32.75956,54.236897
"1490","Pinocchio","G","Adventure","Kids Fiction",NA,1940,"Hand Animation",0,0,84.3,84.3,0,2927.763484
"1491","The Second Best Exotic Marigold Hotel","PG","Comedy","Contemporary Fiction",122,2015,"Live Action",0,0,84.278266,33.078266,51.2,33.078266
"1492","Priest","PG-13","Horror","Fantasy",87,2010,"Live Action",0,60,84.154026,29.136626,55.0174,30.75328
"1493","Marmaduke","PG","Comedy","Kids Fiction",88,2010,"Digital Animation",0,50,84.023611,33.644788,50.378823,35.691613
"1494","The Parent Trap","PG","Comedy","Contemporary Fiction",128,1998,"Live Action",0,0,83.972995,66.304095,17.6689,118.329486
"1495","Les Bronzs 3: amis pour la vie",NA,"Comedy","Contemporary Fiction",NA,2006,"Live Action",1,42,83.833602,0,83.833602,NA
"1496","The Illusionist","PG-13","Drama","Historical Fiction",NA,2006,"Live Action",0,16.5,83.792062,39.868642,43.92342,50.940615
"1497","The Goodbye Girl","PG","Romantic Comedy","Contemporary Fiction",NA,1977,"Live Action",0,0,83.7,83.7,0,83.7
"1498","Piranha 3D","R","Horror","Science Fiction",88,2010,"Live Action",0,24,83.66016,25.003155,58.657005,26.524254
"1499","Snatch","R","Black Comedy","Contemporary Fiction",103,2000,"Live Action",0,10,83.593107,30.093107,53.5,44.504428
"1500","Point Break","R","Action","Contemporary Fiction",120,1991,"Live Action",0,0,83.531958,43.218387,40.313571,51.294022
"1501","Les Choristes","PG-13","Drama","Historical Fiction",NA,2004,"Live Action",0,5.5,83.529758,3.629758,79.9,4.816257
"1502","Airplane!","PG","Comedy",NA,NA,1980,"Live Action",0,3.5,83.453539,83.453539,0,259.667699
"1503","Stripes","R","Comedy","Contemporary Fiction",NA,1981,"Live Action",0,10,83.339362,83.339362,0,250.917434
"1504","Fantasia","G","Musical","Multiple Creative Types",NA,1940,"Hand Animation",0,2.28,83.32,83.32,0,2893.7278
"1505","Blow","R","Drama","Dramatization",124,2001,"Live Action",0,30,83.282296,52.990775,30.291521,78.32384
"1506","Assassins","R","Action","Contemporary Fiction",NA,1995,"Live Action",0,50,83.272938,30.272938,53,58.224382
"1507","In & Out","PG-13","Comedy","Contemporary Fiction",NA,1997,"Live Action",0,35,83.226569,63.826569,19.4,116.373718
"1508","The War of the Roses","R","Black Comedy","Contemporary Fiction",116,1989,"Live Action",0,0,83.216475,83.216475,0,170.005774
"1509","Sky High","PG","Adventure","Super Hero",100,2005,"Live Action",0,35,83.109359,63.939454,19.169905,83.490365
"1510","Dead Man Walking","R","Drama","Dramatization",NA,1995,"Live Action",0,11,83.080768,39.379757,43.701011,74.575679
"1511","Zodiac","R","Thriller/Suspense","Dramatization",158,2007,"Live Action",0,85,83.080084,33.080084,50,40.244232
"1512","The Strangers","R","Thriller/Suspense","Contemporary Fiction",NA,2008,"Live Action",0,9,83.051676,52.59761,30.454066,61.315038
"1513","B_ij_ng y shng xi y_ t",NA,"Romantic Comedy","Contemporary Fiction",121,2013,"Live Action",0,0,82.984614,0,82.984614,0
"1514","28 Days Later...","R","Horror","Science Fiction",NA,2003,"Live Action",0,8,82.955633,45.064915,37.890718,62.55137
"1515","The Possession","PG-13","Horror","Fantasy",93,2011,"Live Action",0,14,82.925064,49.130588,33.794476,51.66118
"1516","Edge of Darkness","R","Drama","Contemporary Fiction",NA,2010,"Live Action",0,60,82.812456,43.31389,39.498566,45.948948
"1517","Firewall","PG-13","Thriller/Suspense","Contemporary Fiction",105,2006,"Live Action",0,50,82.751189,48.751189,34,62.289607
"1518","Shaun the Sheep","PG","Adventure","Kids Fiction",86,2015,"Stop-Motion Animation",0,0,82.619813,19.369813,63.25,19.369813
"1519","Act of Valor","R","Action","Contemporary Fiction",101,2011,"Live Action",0,12,82.497035,70.012847,12.484188,73.61903
"1520","Carrie","R","Horror","Fantasy",99,2013,"Live Action",0,30,82.40952,35.266619,47.142901,36.307696
"1521","Paper Towns","PG-13","Drama","Contemporary Fiction",109,2015,"Live Action",0,0,82.400304,32.000304,50.4,32.000304
"1522","Men of Honor","R","Drama","Dramatization",128,2000,"Live Action",0,32,82.339483,48.814909,33.524574,75.707002
"1523","Big Mommas: Like Father, Like Son","PG-13","Comedy","Contemporary Fiction",107,2010,"Live Action",1,32,82.33245,37.915414,44.417036,40.019163
"1524","Hostel","R","Horror","Contemporary Fiction",95,2006,"Live Action",0,4.8,82.24111,47.326473,34.914637,60.413923
"1525","In Her Shoes","PG-13","Drama","Contemporary Fiction",130,2005,"Live Action",0,0,82.20303,32.880591,49.322439,42.933304
"1526","Identity","R","Thriller/Suspense","Contemporary Fiction",88,2003,"Live Action",0,28,82.183683,52.131264,30.052419,72.361303
"1527","Reign of Fire","PG-13","Action","Fantasy",NA,2002,"Animation/Live Action",0,60,82.150183,43.061982,39.088201,62.033895
"1528","Letters to Juliet","PG","Drama","Contemporary Fiction",105,2010,"Live Action",0,30,82.148538,53.032453,29.116085,56.258754
"1529","Catwoman","PG-13","Action","Super Hero",101,2004,"Live Action",0,100,82.145379,40.202379,41.943,54.180868
"1530","Elizabeth","R","Drama","Dramatization",NA,1998,"Live Action",0,25,82.080933,30.01299,52.067943,51.71263
"1531","On Her Majesty's Secret Service",NA,"Action",NA,NA,1969,"Live Action",1,8,82,22.8,59.2,134.391549
"1532","The Land Before Time","G","Adventure","Historical Fiction",69,1988,"Hand Animation",0,12.3,81.972846,48.092846,33.88,87.828444
"1533","Hitman: Agent 47","R","Action","Contemporary Fiction",96,2014,"Live Action",0,0,81.96745,22.46745,59.5,22.46745
"1534","Star Trek III: The Search for Spock","PG","Adventure","Science Fiction",NA,1984,"Live Action",1,18,81.802739,71.273785,10.528954,177.548089
"1535","Hot Fuzz","R","Comedy","Contemporary Fiction",NA,2007,"Live Action",0,16,81.742618,23.618786,58.123832,28.7339
"1536","Midnight Run",NA,"Action","Contemporary Fiction",NA,1988,"Live Action",0,30,81.613606,38.413606,43.2,59.227794
"1537","M*A*S*H","R",NA,NA,NA,1970,NA,0,3.5,81.6,81.6,0,440.639998
"1538","Premonition","PG-13","Thriller/Suspense","Contemporary Fiction",97,2007,"Live Action",0,20,81.461343,47.852604,33.608739,58.216028
"1539","Tinker Tailor Soldier Spy","R","Thriller/Suspense","Historical Fiction",128,2011,"Live Action",0,21,81.452811,24.149393,57.303418,25.409002
"1540","Hope Floats","PG-13","Drama","Contemporary Fiction",115,1998,"Live Action",0,30,81.452467,60.03378,21.418687,107.139181
"1541","Vampires Suck","PG-13","Comedy","Contemporary Fiction",82,2010,"Live Action",0,20,81.424988,36.661504,44.763484,38.891858
"1542","Waiting to Exhale","R","Drama","Contemporary Fiction",NA,1995,"Live Action",0,0,81.347948,66.947948,14.4,127.874759
"1543","Yi bu zhi yao",NA,"Action","Historical Fiction",0,2014,"Live Action",0,0,81.3,0,81.3,0
"1544","Pain & Gain","R","Action","Contemporary Fiction",129,2012,"Live Action",0,26,81.275291,49.875291,31.4,51.347623
"1545","Dying Young","R","Drama","Contemporary Fiction",NA,1991,"Live Action",0,0,81.264473,32.669178,48.595295,48.805236
