"","ID","V","BV","Para","Uncert"
"1552",1380,4.65,1.05,0.0437,92
"1553",1381,5.22,0.01,0.0054,73
"1554",1383,5.03,0.19,0.0117,73
"1555",1383.01,14.45,1.91,0.1077,26
"1556",1383.02,11.33,1.68,0.1862,101
"1557",1384,10.06,1.24,0.0221,185
"1558",1386,4.53,1.22,0.0228,61
"1559",1386.01,10.67,1.26,0.0226,177
"1560",1388,6.1,0.97,0.0142,72
"1561",1389,3.96,1.14,0.0183,117
"1562",1390,6.24,0.42,0.0282,84
"1563",1391.1,8.6,0.63,0.0469,150
"1564",1392,8.28,1.14,0.0507,108
"1565",1393,4.12,0.16,0.0237,33
"1566",1393.1,8.49,0.56,0.0149,150
"1567",1393.11,14.54,0.65,0.0054,99
"1568",1393.2,9.75,1.25,0.051,150
"1569",1395,9.32,0.62,0.0159,22
"1570",1396,13.67,1.65,0.0476,223
"1571",1397,11.04,1.26,0.0367,150
"1572",1398,4.16,0.82,0.0126,48
"1573",1399,4.63,0.28,0.0245,150
"1574",1401,8.71,0.64,0.0171,150
"1575",1402,6.12,0.6,0.0465,139
"1576",1403,5.36,0.25,0.0014,84
"1577",1404,9.42,0.88,0.0205,83
"1578",1404.01,13.54,0.83,0.0133,32
"1579",1405,4.93,0.24,0.0063,84
"1580",1405.02,5.65,-0.19,0.0044,150
"1581",1406,6.76,0.81,0.0631,12
"1582",1407,5.36,1.09,0.0105,84
"1583",1408,10.85,0.99,0.0135,52
"1584",1409,4.67,0.05,0.0112,161
"1585",1410,6.35,0.52,0.0414,109
"1586",1411,5.93,0.49,0.0308,112
"1587",1411,5.99,0.46,0.0308,112
"1588",1412.1,8.09,0.49,0.0304,150
"1589",1415,6.58,0.72,0.0176,150
"1590",1415,7.19,0.73,0.0176,150
"1591",1416,12.15,1.45,0.0389,109
"1592",1417,5.47,0.08,0.0128,127
"1593",1418,5.32,1.34,0.0033,84
"1594",1419,13.34,1.5,0.0406,241
"1595",1419.01,9.68,1.22,0.0342,160
"1596",1420,6.82,-0.18,0.0029,111
"1597",1421,7.43,0.77,0.0381,76
"1598",1421.1,11.55,1.46,0.0328,96
"1599",1422,12.26,1.41,0.024,114
"1600",1423,5.5,-0.01,0.01,127
"1601",1424,5.5,0,0.0148,149
"1602",1425,8.46,0.85,0.0407,97
"1603",1426,10.48,1.4,0.0979,39
"1604",1426.01,12.77,1.39,0.0198,24
"1605",1427,5.05,1.25,0.0114,173
"1606",1427.02,15.8,-0.1,0.0078,54
"1607",1428,6.39,2.24,0.0024,121
"1608",1430,8.14,1.5,0.1726,56
"1609",1431,6.87,0.63,0.0448,50
"1610",1435,6.45,0.67,0.0566,65
"1611",1436,4.8,0.03,0.0109,60
"1612",1438.01,14.65,1.59,0.0301,31
"1613",1440,9.29,0.95,0.0437,150
"1614",1441,9.09,0.91,0.0337,97
"1615",1442,7.38,0.96,0.0062,82
"1616",1443,4.98,1.83,0.0051,84
"1617",1444,3.28,1.6,0.0156,80
"1618",1448,4.35,1.02,0.025,88
"1619",1449,5.2,0.44,0.0379,111
"1620",1450,9.22,0.78,0.0288,103
"1621",1450.01,13.2,1.53,0.0378,33
"1622",1450.02,13.39,-0.17,0.0277,22
"1623",1451,9.1,0.8,0.0265,105
"1624",1452,3.98,1.32,0.013,66
"1625",1455,9.37,1.07,0.0327,101
"1626",1456,5.65,0.5,0.0361,66
"1627",1457,11.35,1.46,0.0426,106
"1628",1458,4.48,0.01,0.0364,75
"1629",1459,5.04,0.42,0.043,98
"1630",1460,5.01,1.62,0.0063,75
"1631",1460.01,15.04,1.55,0.0226,31
"1632",1461,5.39,0.1,0.0145,76
"1633",1462,8.8,0.72,0.0158,150
"1634",1463,5.71,0.61,0.05,96
"1635",1463.1,6.83,0.46,0.0096,106
"1636",1465,6.07,0.56,0.0165,150
"1637",1466,4.37,1,0.0243,137
"1638",1467,5.14,1.3,0.0159,137
"1639",1468,5.09,0.72,0.1143,110
"1640",1468.1,8.64,0.93,0.0256,150
"1641",1468.2,5.36,0.43,0.0246,84
"1642",1469,7.27,0.24,0.0031,85
"1643",1469.01,9.94,1.18,0.0193,96
"1644",1470.01,15.69,1.66,0.0241,45
"1645",1470.1,13.06,1.7,0.0682,89
"1646",1471,6.43,0.59,0.042,150
"1647",1472,4.9,1.6,0.0019,65
"1648",1472.01,16.37,0.55,0.0442,42
"1649",1473,10.16,4.25,0.0024,169
"1650",1474,3.02,-0.19,0.0027,150
"1651",1475,2.88,1.64,0.0186,53
"1652",1476,4.91,1.97,0.0035,84
"1653",1476.1,8.51,0.9,0.0332,150
"1654",1476.11,14.59,1.78,0.0448,47
"1655",1477,6.6,0.66,0.0394,150
"1656",1477.1,10.76,1.44,0.0219,101
"1657",1477.2,8.37,0.74,0.0251,150
"1658",1478.01,13,0.99,0.0175,33
"1659",1479,5.64,0.24,0.0227,72
"1660",1480,5.21,1.53,0.005,60
"1661",1481,1.98,-0.23,0.018,106
"1662",1482,4.44,0.18,0.0264,65
"1663",1483,3.85,0.88,0.0175,78
"1664",1484,13.06,1.76,0.1194,23
"1665",1485,5.22,1.24,0.0159,72
"1666",1487,5.98,1.22,0.0057,56
"1667",1488,5.87,0.56,0.0263,150
"1668",1489,6.76,0.94,0.0664,45
"1669",1492,9.49,0.55,0.0344,110
"1670",1493,7.88,0.7,0.0147,150
"1671",1495,6.67,0.68,0.0361,97
"1672",1497,-0.72,0.15,0.0178,65
"1673",1498,7.12,0.62,0.0348,111
"1674",1499,5.88,0.94,0.0241,86
"1675",1500,5.55,0.68,0.0077,45
"1676",1501,5.2,1.18,0.0039,62
"1677",1502,5.9,1.44,0.0155,150
"1678",1503.01,6.58,0.51,0.024,285
"1679",1504,8.63,0.92,0.0275,98
"1680",1505,4.15,-0.13,0.0055,46
"1681",1507,6.07,0.53,0.0437,150
"1682",1508,4.6,-0.1,0.0218,93
"1683",1509,11.14,1.69,0.2442,37
"1684",1510,4.48,-0.17,0.0123,150
"1685",1511,7.79,0.65,0.0351,105
"1686",1512,5.73,1.47,0.0171,141
"1687",1512.01,9.32,1.01,0.0209,96
"1688",1513,6.59,0.33,0.0038,134
"1689",1514,6.24,0.38,0.0373,120
"1690",1514.01,6.2,1.16,0.008,50
"1691",1514.1,10.75,1.35,0.0383,150
"1692",1515,5.23,0.15,0.0116,84
"1693",1516,7.72,0.79,0.0029,150
"1694",1517,5.38,0.97,0.0057,149
"1695",1518,10.07,0.85,0.0188,76
"1696",1519,10.19,0.45,0.0185,150
"1697",1520,5.15,1.27,0.0218,161
"1698",1523,5.27,0.41,0.0255,161
"1699",1524,4.5,0,0.0066,51
"1700",1525,5.22,1.09,0.0079,149
"1701",1525.1,11.41,1.37,0.0672,150
"1702",1526,5.94,0.89,0.0341,118
"1703",1527,5.24,1,0.015,137
"1704",1528,10.59,1.48,0.0583,150
"1705",1530,5.45,0.5,0.0471,61
"1706",1531,6.54,0.71,0.0112,64
"1707",1533,5.29,2.61,0.005,124
"1708",1535,6.89,0.65,0.0239,38
"1709",1535,7.14,0.57,0.0239,38
"1710",1536,5.42,1.44,0.029,161
"1711",1536.01,14.22,1.65,0.0547,24
"1712",1537,4.54,-0.05,0.0232,149
"1713",1537.01,10.18,1.2,0.0349,114
"1714",1537.02,14.79,1.58,0.0294,35
"1715",1537.03,10.18,1.2,0.0134,72
"1716",1538,9.63,1.5,0.1017,39
"1717",1539,1.93,0,0.036,37
"1718",1541.01,15.43,1.53,0.0262,56
"1719",1541.02,13.45,1.46,0.0245,24
"1720",1542,4.79,1.23,0.0035,60
"1721",1543,3.95,1.06,0.0547,81
"1722",1544,11.62,1.5,0.071,150
"1723",1545,8.27,0.79,0.0291,113
"1724",1546,10.95,1.48,0.0414,67
"1725",1548,7.66,0.69,0.0294,150
"1726",1549,4.43,1.15,0.0114,149
"1727",1551,5.27,1.18,0.0175,101
"1728",1552,11.14,0.75,0.0016,150
"1729",1553,9.91,0.79,0.0043,150
"1730",1556,9.62,1.46,0.0697,150
"1731",1558,8.12,1.04,0.0591,39
"1732",1561,5.02,1.48,0.0182,72
"1733",1561.1,5.71,1.14,0.0182,150
"1734",1562,4.93,0.87,0.0109,186
"1735",1562.01,12.44,1.59,0.0523,42
"1736",1565,5.19,1.53,0.0303,127
"1737",1566,6.84,1.59,2e-04,81
"1738",1567,2.98,1.4,0.01,96
"1739",1567.1,10.32,0.43,0.0116,79
"1740",1569,4.49,1.16,0.0059,65
"1741",1570,10.53,0.4,0.0156,150
"1742",1571,5.25,0.56,0.0682,83
"1743",1572,8.77,0.96,0.0407,127
"1744",1573,3.36,0.43,0.0534,96
"1745",1574,6.28,0.47,0.0312,83
"1746",1575,5.14,-0.17,0.0093,120
"1747",1577,-1.46,0,0.3816,22
"1748",1579,12.05,-0.09,0.0662,21
"1749",1580,6.45,0.54,0.0604,150
"1750",1581,8.52,0.69,0.0134,150
"1751",1581.01,8.58,1.24,0.0524,36
"1752",1584,5.32,0.07,0.0236,149
"1753",1585,6.15,0.07,0.0147,222
"1754",1586,5.92,0.48,0.0483,97
"1755",1587,10.37,1.11,0.0299,150
"1756",1588,4.77,1.4,0.0097,64
"1757",1588.01,13.34,1.35,0.0443,56
"1758",1588.02,15.68,0.32,0.0542,55
"1759",1588.03,13.77,1.66,0.075,22
"1760",1588.04,9.8,0.77,0.0223,67
"1761",1589,4.47,1.11,0.0154,93
"1762",1591,5.12,-0.13,2e-04,107
"1763",1592,7.93,0.6,0.0161,133
"1764",1593.01,16.64,0.52,0.03,52
"1765",1593.1,9,1.23,0.0483,48
"1766",1594,5.33,0.65,0.0032,141
"1767",1596,5.4,1.34,0.0155,127
"1768",1596.01,11.06,1.54,0.084,48
"1769",1597,4.55,1.36,0.0245,95
"1770",1598,5.27,-0.02,0.0124,84
"1771",1599,5.77,0.39,0.0335,73
"1772",1601,3.6,0.1,0.0222,102
"1773",1603,9.74,0.9,0.0055,150
"1774",1604,5.14,0.45,0.0448,114
"1775",1605.1,3.27,0.21,0.0508,150
"1776",1606,6.59,1.06,0.1111,21
"1777",1607,4.4,0.92,0.0231,161
"1778",1608.01,12.47,1.6,0.058,69
"1779",1609,9.87,1.57,0.1745,32
"1780",1611,4.35,0.85,0.0162,50
"1781",1611.01,13.69,1.71,0.0874,23
"1782",1612.01,10.92,1.25,0.0228,120
"1783",1613,4.65,0.3,0.041,89
"1784",1613.02,5.73,0.57,0.0527,117
"1785",1614,10.55,1.24,0.0402,88
"1786",1615,5.45,0.18,0.0075,173
"1787",1616,9.12,1.12,0.0372,42
"1788",1617,4.07,1.43,0.0159,25
"1789",1619,6.04,0.71,0.0411,101
"1790",1621,3.87,1.73,0.0015,137
"1791",1621.01,14.93,1.32,0.0133,54
"1792",1623,4.9,0.03,0.0083,84
"1793",1624,9.72,1.36,0.0727,178
"1794",1625,7.12,0.56,0.0095,74
"1795",1626,4.68,0.37,0.0335,108
"1796",1627,7.42,0.69,0.0315,54
"1797",1630,4.37,-0.07,0.0044,150
"1798",1630.01,16.22,0.09,0.026,37
"1799",1632,6.1,0.46,0.024,84
"1800",1632.1,8.17,0.78,0.0696,150
"1801",1632.11,16,0.7,0.0144,65
"1802",1633,10.26,0.79,0.0224,150
"1803",1634,5.46,0.36,0.0148,137
"1804",1635,9.05,0.57,0.0293,85
"1805",1635.01,14.83,1.93,0.1288,35
"1806",1637,5.07,1.63,0.0016,160
"1807",1638,6.23,0.46,0.0683,150
"1808",1638.01,9.15,1.16,0.0339,86
"1809",1639,11.96,1.53,0.0669,78
"1810",1640,8,0.99,0.0354,68
"1811",1641,7.43,0.59,0.0327,117
"1812",1641.01,16.67,0.96,0.0535,9
"1813",1641.1,10.84,1.67,0.1183,100
"1814",1641.2,10.16,1.02,0.0255,150
"1815",1642,6.94,0.46,0.0255,150
"1816",1642.01,13.3,1.84,0.1085,21
"1817",1643,7.65,0.53,0.0409,150
"1818",1645,5.18,0.94,0.0125,72
"1819",1645.01,15.27,0.88,0.081,242
"1820",1646.1,6.71,0.9,0.0674,150
"1821",1647,5.93,0.6,0.041,47
"1822",1648.01,11.97,1.07,0.0127,120
"1823",1649,3.47,1.73,0.0222,161
"1824",1649.01,10.49,1.27,0.0178,120
"1825",1649.02,8.38,1.08,0.0627,52
"1826",1650,5.13,1.39,0.0057,84
"1827",1652,7.46,0.14,0.0336,150
"1828",1654.1,6.81,0.8,0.0615,150
"1829",1655,8.22,0.74,0.0143,47
"1830",1656,10.22,1.32,0.0361,63
"1831",1657,5.55,0.91,0.0358,134
"1832",1658,11.3,1.54,0.06,76
"1833",1659,5.17,1.4,0.0354,101
"1834",1660,8.66,1.17,0.0549,150
"1835",1661,5.2,0.2,0.0231,127
"1836",1662,5.54,0.64,0.0541,75
"1837",1664,4.93,0.13,0.0188,137
"1838",1664.01,9.84,1.29,0.0448,72
"1839",1667,5.44,1.03,0.0051,66
"1840",1668,11.47,1.72,0.1652,21
"1841",1669,7.09,0.7,0.0284,125
"1842",1670,10.54,1.17,0.0394,150
"1843",1670.01,8.86,0.96,0.0352,101
"1844",1670.03,14.57,1.69,0.0412,24
"1845",1671,10.71,1.08,0.0304,163
"1846",1671.01,12.21,1.43,0.0305,32
"1847",1672,6.43,0.89,0.0253,66
"1848",1674,9.55,0.5,0.0248,92
"1849",1675,4.9,1.45,0.0228,98
"1850",1676,4.41,1.26,0.0078,60
"1851",1677,4.92,1.03,0.025,67
"1852",1678,5.47,1.67,0.0039,104
"1853",1679,9.94,1.35,0.0365,101
"1854",1679.1,5.45,0.29,0.0224,72
"1855",1681,6.43,0.49,0.027,68
"1856",1682,4.15,-0.01,0.0181,52
"1857",1683,5.2,1.07,0.0344,98
"1858",1683.01,14.93,1.7,0.0246,45
"1859",1684,5,1.66,0.009,98
"1860",1685,8.41,0.85,0.0366,77
"1861",1686,5.14,1.24,0.0325,110
"1862",1687,5.58,0.58,0.0406,88
"1863",1688,10.74,0.72,0.0191,150
"1864",1689,7.53,0.71,0.0257,113
"1865",1690,5.31,0.06,0.0089,122
"1866",1690.01,16.64,0.52,0.0167,33
"1867",1692,3.78,1.04,0.0158,89
"1868",1693,5.71,1.63,0.0077,128
"1869",1694,4.49,0.32,0.0461,127
"1870",1695.01,14.48,1.75,0.0669,41
"1871",1695.02,10.83,1.54,0.0876,80
"1872",1695.03,12.38,0.49,0.0102,108
"1873",1696,4.96,1.66,0.0011,61
"1874",1698,4.89,-0.02,0.0087,127
"1875",1698.01,15.47,1.73,0.0177,30
"1876",1699,5.1,1.56,0.0181,113
"1877",1699.01,12.8,1.56,0.0229,184
"1878",1701,5.05,0.08,0.011,72
"1879",1702,8.96,0.62,0.0034,107
"1880",1705,7.74,0.62,0.0408,77
"1881",1706.12,12.8,1.56,0.0471,22
"1882",1707,5.46,0.08,0.0222,110
"1883",1707.2,10.08,1.14,0.0217,150
"1884",1707.3,9.1,1.25,0.0529,97
"1885",1708,3.58,0.11,0.0455,66
"1886",1709,4.79,1.71,0.0176,161
"1887",1710,6.8,0.49,0.0076,137
"1888",1711,4.64,1.6,0.0097,161
"1889",1712,9.09,0.66,0.0454,150
"1890",1713,7.65,0.61,0.0145,150
"1891",1714,12.1,1.44,0.0436,163
"1892",1715,9.17,1.4,0.0604,74
"1893",1716,2.7,1.62,0.016,76
"1894",1718,3.53,0.34,0.0579,59
"1895",1722,6.68,0.99,0.0817,97
"1896",1722,7.15,0.99,0.0817,97
"1897",1725,5.28,0.96,0.0155,117
"1898",1726,5.7,0.35,0.0276,74
"1899",1727,5.25,0.01,0.013,127
"1900",1728,5.13,1.08,0.0211,82
"1901",1729.01,11.92,1.28,0.0078,81
"1902",1729.02,10.53,1.59,0.0619,38
"1903",1729.03,10.84,1.41,0.0249,85
"1904",1730,5.1,1.52,0.0013,72
"1905",1730.1,7.15,0.51,0.0097,150
"1906",1730.21,13.34,1.5,0.0422,33
"1907",1731,10.03,1.07,0.0285,73
"1908",1732,3.98,0.79,0.003,127
"1909",1733,5.19,1.23,0.0052,60
"1910",1734,8.72,0.76,0.0171,84
"1911",1735,5.03,0.9,0.0225,72
"1912",1735.01,15.07,1.37,0.007,41
"1913",1738,9.16,0.82,0.0167,100
"1914",1739,6.05,0.42,0.0369,106
"1915",1741,4.64,-0.02,0.0122,73
"1916",1743,5.3,0.1,0.0126,72
"1917",1745,5.38,1.53,0.0107,149
"1918",1747,5.64,1.11,0.0093,95
"1919",1748,5.78,0.42,0.0355,137
"1920",1749,6.54,0.46,0.0295,37
"1921",1750.01,11.03,1.17,0.007,120
"1922",1751.01,11.2,1.49,0.0517,24
"1923",1752,7.37,0.92,0.0138,150
"1924",1753,2.9,-0.09,0.0222,86
"1925",1753.1,10.79,1.59,0.053,150
"1926",1754,5.22,0.39,0.0308,72
"1927",1755,9.82,1.56,0.2654,26
"1928",1756,10.18,0.92,0.0245,150
"1929",1757,5.36,0.45,0.0447,98
"1930",1758,7.74,0.94,0.0484,64
"1931",1760,4.18,0.32,0.0597,59
"1932",1762,4.32,1.43,0.0177,58
"1933",1763,5.25,0.22,0.0105,63
"1934",1764,5.05,0.11,0.0078,72
"1935",1766,7.03,0.48,0.0236,106
"1936",1766.01,13.56,1.71,0.09,10
"1937",1767,5.01,1.11,0.0162,84
"1938",1767.02,11.48,1.42,0.0916,27
"1939",1769,5.1,1.06,0.0057,199
"1940",1770,4.54,1.28,0.0266,96
"1941",1771,8.51,0.51,0.0078,150
"1942",1772,6.05,0.47,0.0303,106
"1943",1773,6.74,0.7,0.0565,150
"1944",1774,10.48,1.48,0.0849,25
"1945",1774.01,10.49,1.55,0.0705,51
"1946",1774.02,8.98,1.1,0.0462,60
"1947",1777,5.82,1.18,8e-04,84
"1948",1778,3.25,1.51,0.0176,101
"1949",1778.1,10.81,1.07,0.0183,150
"1950",1778.11,11.02,1.38,0.0404,61
"1951",1779,4.65,0.93,0.0204,149
"1952",1780,5.25,0.22,0.0137,72
"1953",1780.01,11.09,0.77,0.0052,165
"1954",1783.01,16.46,1.6,0.0402,10
"1955",1784,5.25,0.05,0.0122,72
"1956",1785,1.58,0.03,0.0747,25
"1957",1785,1.98,0.03,0.0747,25
"1958",1785.01,13.08,1.47,0.0281,33
"1959",1785.02,11.93,1.47,0.0687,26
"1960",1787,8.87,0.7,0.0258,150
"1961",1788,4.06,1.54,0.0134,107
"1962",1789,4.45,0.51,0.0487,106
"1963",1790,11.09,0.65,0.0189,87
"1964",1791,5.83,0.44,0.022,110
"1965",1791.01,14.16,0.11,0.0107,105
"1966",1791.02,13.67,1.1,0.0148,30
"1967",1792,7.16,0.57,0.0391,150
"1968",1794,10.47,0.61,0.0345,150
"1969",1794.11,5.91,0.6,0.0266,98
"1970",1795,10.18,0.88,0.0052,55
"1971",1795.01,13.1,1.33,0.0182,28
"1972",1796,13.85,1.48,0.0399,212
"1973",1797,11.26,1.33,0.0118,150
"1974",1798,5.13,0.44,0.0274,66
"1975",1800,4.9,0.4,0.0192,87
"1976",1801.01,11.81,1.47,0.028,21
"1977",1802,4.94,1.4,0.0102,149
"1978",1802.01,13.09,1.69,0.0803,30
"1979",1803,5.05,1.56,0.0028,72
"1980",1803.01,9.61,1.44,0.0705,41
"1981",1804,5.56,1.01,0.0092,98
"1982",1805,0.38,0.42,0.2867,21
"1983",1805.01,9.73,1.19,0.0465,167
"1984",1806,4.99,0.08,0.0189,84
"1985",1807,9.25,0.82,0.019,106
"1986",1808,6.02,-0.04,0.0126,137
"1987",1809,7.2,0.96,0.0738,43
"1988",1812,4.94,1.56,0.0035,127
"1989",1813,13.04,0.24,0.1124,27
"1990",1814,8.25,0.48,0.0204,150
"1991",1815,5.56,1.64,0.0057,141
"1992",1816,5.27,0,0.0161,72
"1993",1817,3.93,1.02,0.0226,20
"1994",1818,8.66,0.64,0.0252,163
"1995",1819,7.09,0.67,0.0327,88
"1996",1822,5.31,1.54,0.0052,72
"1997",1823,6.77,0.54,0.0244,72
"1998",1824,3.57,0.93,0.0246,77
"1999",1825,8.64,0.34,0.0127,150
"2000",1826,1.14,1,0.0976,42
"2001",1827,11.2,1.59,0.1647,44
"2002",1827.1,7.68,0.6,0.0328,150
"2003",1828,4.59,1.63,0.0163,137
"2004",1829,6.56,0.73,0.0656,59
"2005",1830,3.96,0.18,0.0241,173
"2006",1830.01,10.2,1.37,0.0362,117
"2007",1831,5.06,0.78,0.0542,110
"2008",1833,4.88,1.45,0.0153,65
"2009",1834,5.17,1.1,0.024,97
"2010",1835,8.89,1.1,0.0258,91
"2011",1836,5.3,0.01,0.0204,84
"2012",1837,5.14,1.6,0.014,65
"2013",1838,5.04,0.33,0.0286,127
"2014",1839,6.64,0.52,0.027,106
"2015",1840,3.61,1.73,0.004,132
"2016",1840.01,12.06,1.41,0.0144,120
"2017",1841,5.37,0.6,0.064,94
"2018",1844,11.42,1.51,0.0668,23
"2019",1845,11.5,1.41,0.0464,69
"2020",1845.01,11.87,1.12,0.0154,120
"2021",1847,3.95,1.04,0.0163,186
"2022",1848,7.93,0.54,0.0291,150
"2023",1849,5.33,0.76,0.0337,137
"2024",1850,7.54,0.65,0.027,150
"2025",1850.01,16.69,1.12,0.0547,7
"2026",1850.1,7.39,0.76,0.0124,150
"2027",1851,3.34,1.24,0.001,127
"2028",1852,4.71,1.06,0.0046,137
"2029",1853,8.1,0.75,0.0242,150
"2030",1855,5.14,-0.12,0.0101,98
"2031",1855.01,14.75,1.82,0.0627,31
"2032",1855.1,9.76,0.8,0.0132,150
"2033",1855.11,13.26,1.68,0.114,33
"2034",1856,5.17,0.6,0.0602,31
"2035",1856,5.72,0.57,0.0602,31
"2036",1857,8.34,0.61,0.0395,20
"2037",1859,7.5,0.68,0.0423,163
"2038",1859.01,15.08,0.08,0.0284,38
"2039",1861,5.41,1.42,0.0209,120
"2040",1863,10.06,1.22,0.0465,150
"2041",1864,5.01,0.44,0.0697,77
"2042",1864,5.06,0.43,0.0697,77
"2043",1867,3.73,1.04,0.0291,149
"2044",1867.01,16.07,0.26,0.0295,43
"2045",1868,5.42,-0.06,0.0188,76
"2046",1869,7.78,0.95,0.0358,44
"2047",1869.1,4.49,-0.19,0.0112,150
"2048",1871,5.43,1.16,0.0334,161
"2049",1872,7.44,0.73,0.0462,64
"2050",1873,5.35,-0.04,0.0076,72
"2051",1875.01,12.04,1.63,0.1242,30
"2052",1877,7.54,0.69,0.0137,150
"2053",1877.1,9.36,0.84,0.0273,150
"2054",1877.2,6.35,0.5,0.0111,47
"2055",1879,7.99,0.63,0.0289,150
"2056",1880,11.15,0.74,0.0098,97
"2057",1881,4.2,0.72,0.0204,101
"2058",1882,14.09,0.66,0.1412,84
"2059",1883,5.63,1.3,0.0079,149
"2060",1883.01,8.06,1.04,0.0529,70
"2061",1884,5.29,0.92,0.0259,93
"2062",1885,8.17,0.82,0.0366,150
"2063",1886,7.69,0.81,0.0299,92
"2064",1887,4.79,0.15,0.0242,137
"2065",1888,8.42,1.05,0.0544,78
"2066",1888.1,3.47,-0.18,0.0024,150
"2067",1889,7,0.71,0.0542,39
"2068",1891,6.49,0.62,0.0348,148
"2069",1892,10.3,1.28,0.056,163
"2070",1893,4.93,1.21,0.01,70
"2071",1894,5.17,1.27,0.0077,127
"2072",1896,10.07,0.5,8e-04,122
"2073",1897,7.95,0.74,0.0414,97
"2074",1898,7,0.98,0.0189,150
"2075",1899,4.61,0.08,0.0192,127
"2076",1899.01,11.35,1.49,0.0288,50
"2077",1900,8.5,0.56,0.0136,150
"2078",1903,5.24,0.39,0.0364,127
"2079",1903.01,17.93,1.68,0.0129,7
"2080",1904,4.68,1.49,0.0081,73
"2081",1905,9.66,1.32,0.0582,110
"2082",1906,8.28,0.6,0.0247,150
"2083",1906.1,10.16,1.1,0.0126,178
"2084",1906.11,15.12,1.79,0.0285,39
"2085",1908,4.39,1.25,0.0218,76
"2086",1909,8.2,0.62,0.0297,65
"2087",1911,9.83,1.27,0.0193,208
"2088",1912,4.94,1.12,0.0144,84
"2089",1913,6.33,0.62,0.0044,208
"2090",1915,9.29,0.79,0.0081,80
"2091",1916,7.78,0.85,0.0329,38
"2092",1916.01,15.56,0.06,0.024,30
"2093",1916.02,10.14,1.35,0.0545,120
"2094",1917,7.53,0.66,0.0223,150
"2095",1917.1,5.12,0.01,0.0219,84
"2096",1918,6.57,0.58,0.046,107
"2097",1919,5.31,1.91,0.022,108
"2098",1922.01,10.25,1.22,0.0354,60
"2099",1923,5.3,0.63,0.0328,73
"2100",1924,5.53,1.34,0.0188,149
"2101",1925,10.03,1.33,0.0354,150
"2102",1926,5.32,1.04,0.0212,72
"2103",1928,6.81,0.6,0.0513,97
"2104",1930,2.81,0.43,0.0363,90
"2105",1933,6.61,0.53,0.022,72
"2106",1935,6.73,0.96,0.0243,150
"2107",1936,5.73,0.81,0.0265,85
"2108",1937,6.81,0.69,0.0438,70
"2109",1938,9.62,0.6,0.0099,110
"2110",1939,5.54,0.49,0.0481,56
"2111",1940.01,1.78,-0.22,0.0153,117
"2112",1941,5.44,0.54,0.0417,25
"2113",1942,12.83,1.77,0.1463,31
"2114",1943,4.72,0.95,0.0302,73
"2115",1944,5.36,0.89,0.0106,161
"2116",1946,4.76,0.43,0.0532,84
"2117",1947,8.78,0.91,0.0191,150
"2118",1948,11.77,1.5,0.0436,123
"2119",1951,7.93,0.9,0.0414,193
"2120",1952,7.5,0.75,0.0197,81
"2121",1953,4.75,0.18,0.0027,137
"2122",1953.1,12.1,1.6,0.1699,150
"2123",1954,9.38,1.42,0.0484,45
"2124",1954.01,14.34,1.57,0.017,29
"2125",1955,8.5,0.6,3e-04,93
"2126",1956,4.99,1.07,0.0264,137
"2127",1957,8.38,0.84,0.0148,85
"2128",1958,8.19,0.62,0.0262,150
"2129",1960,9.39,0.82,0.0414,150
"2130",1961,6.75,0.61,0.024,150
"2131",1962,6.35,1.06,0.0029,120
"2132",1962.01,13.28,1.46,0.0198,17
"2133",1963,4.44,1.17,0.0077,173
"2134",1964,5.51,1.61,0.0032,186
"2135",1965.1,6.7,0.28,0.0319,150
"2136",1965.12,10.1,1.53,0.1125,56
"2137",1966,7.13,1.56,0.0119,94
"2138",1967,3.52,1.48,0.0127,45
"2139",1968,10.29,1.1,0.0043,150
"2140",1969,9.76,0.48,0.011,116
"2141",1973,8.83,1.14,0.0466,63
"2142",1974,7.73,0.39,0.0028,197
"2143",1974.1,7.69,0.58,0.0068,137
"2144",1974.12,14.98,1.65,0.0301,40
"2145",1975.1,7.45,0.86,0.0063,150
"2146",1976.01,13.12,1.52,0.0252,25
"2147",1977,5.98,0.76,0.0799,73
"2148",1978,5.16,0.09,0.0298,137
"2149",1978,5.27,0.08,0.0298,137
"2150",1979,5.14,0.47,0.0641,99
"2151",1980,6.4,0.98,0.0121,104
"2152",1980.01,9.75,1.71,0.0158,120
"2153",1981,4.45,0.22,0.0552,127
"2154",1982,9.85,1.26,0.0358,178
"2155",1984,4.25,1.55,0.0194,89
"2156",1984.01,15.67,2.09,0.0798,44
"2157",1986,5.51,0.11,0.0284,84
"2158",1987,8.91,0.88,0.0267,54
"2159",1989,5.07,1.15,0.0111,127
"2160",1990,4.83,1.45,0.0271,127
"2161",1991,9.54,1.18,0.0441,80
"2162",1992,5.95,0.17,0.0101,72
"2163",1994,7.17,0.71,0.0591,150
"2164",1996,10.04,1.07,0.0409,122
"2165",1996.1,8.66,0.61,0.0233,150
"2166",1996.11,9.75,1.06,0.038,89
"2167",1997,7.05,0.6,0.0376,82
"2168",1998,5.61,0.46,0.0554,59
"2169",1998.01,10.37,1.07,0.0191,120
"2170",1999,6.14,0.41,0.0356,125
"2171",1999.01,12.92,1.57,0.0818,108
"2172",2000,5.13,0.94,0.0162,96
"2173",2001,6.32,0.62,0.0471,86
"2174",2002,8.67,1.26,0.0035,150
"2175",2003,3.9,-0.02,0.0227,68
