"","YEAR","MON","SSN","DEV"
"930",1826,6,37.1,20.7
"931",1826,7,52.5,21.6
"932",1826,8,39.6,31
"933",1826,9,18.9,18.7
"934",1826,10,50.6,16.3
"935",1826,11,39.5,31.9
"936",1826,12,68.1,37.4
"937",1827,1,34.6,23
"938",1827,2,47.4,23.7
"939",1827,3,57.8,22.6
"940",1827,4,46,15.7
"941",1827,5,56.3,21.1
"942",1827,6,56.7,28.1
"943",1827,7,42.3,20.7
"944",1827,8,53.7,17.6
"945",1827,9,49.6,19.2
"946",1827,10,56.1,20.5
"947",1827,11,48.3,26.6
"948",1827,12,46.1,17.6
"949",1828,1,52.8,29.7
"950",1828,2,64.4,12.2
"951",1828,3,65,26.7
"952",1828,4,61.1,31.3
"953",1828,5,89.1,28.3
"954",1828,6,98,44.2
"955",1828,7,54.2,29.3
"956",1828,8,76.5,25.3
"957",1828,9,50.4,20.1
"958",1828,10,54.7,28.7
"959",1828,11,57,22.3
"960",1828,12,46.9,22.8
"961",1829,1,43,12
"962",1829,2,49.4,22.3
"963",1829,3,72.3,22.1
"964",1829,4,95,28.3
"965",1829,5,67.4,34.1
"966",1829,6,73.9,41.8
"967",1829,7,90.9,26.1
"968",1829,8,77.6,30.6
"969",1829,9,52.8,26.4
"970",1829,10,57.2,17.5
"971",1829,11,67.6,27.4
"972",1829,12,56.5,22.3
"973",1830,1,52.2,33.9
"974",1830,2,72.1,25.4
"975",1830,3,84.7,23.1
"976",1830,4,106.3,30.5
"977",1830,5,66.3,25.3
"978",1830,6,65.1,18.8
"979",1830,7,43.9,16.9
"980",1830,8,50.7,24.3
"981",1830,9,62.1,16.9
"982",1830,10,84.4,22.6
"983",1830,11,81.3,17.7
"984",1830,12,82.2,17
"985",1831,1,47.5,36.6
"986",1831,2,50.1,32.7
"987",1831,3,93.4,24.5
"988",1831,4,54.5,20.8
"989",1831,5,38.1,20.9
"990",1831,6,33.4,21.1
"991",1831,7,45.2,29.8
"992",1831,8,55,23.1
"993",1831,9,37.9,17.2
"994",1831,10,46.3,20
"995",1831,11,43.5,13.2
"996",1831,12,28.9,17.5
"997",1832,1,30.9,24.3
"998",1832,2,55.6,22.5
"999",1832,3,55.1,20.4
"1000",1832,4,26.9,16.5
"1001",1832,5,41.3,15.9
"1002",1832,6,26.7,10.7
"1003",1832,7,14,12.9
"1004",1832,8,8.9,10.6
"1005",1832,9,8.2,9.7
"1006",1832,10,21.1,10
"1007",1832,11,14.3,11.9
"1008",1832,12,27.5,19.9
"1009",1833,1,11.3,17.1
"1010",1833,2,15,15.9
"1011",1833,3,11.8,12.1
"1012",1833,4,2.8,6
"1013",1833,5,12.9,10.6
"1014",1833,6,1,3.8
"1015",1833,7,7,9.2
"1016",1833,8,5.7,9
"1017",1833,9,11.6,17.2
"1018",1833,10,7.5,11.4
"1019",1833,11,5.9,7.2
"1020",1833,12,9.9,8.1
"1021",1834,1,4.9,8.7
"1022",1834,2,18.1,12.9
"1023",1834,3,3.9,8.4
"1024",1834,4,1.4,5.1
"1025",1834,5,8.8,9.9
"1026",1834,6,7.8,8.8
"1027",1834,7,8.7,10.9
"1028",1834,8,4,7.2
"1029",1834,9,11.5,7.8
"1030",1834,10,24.8,19.8
"1031",1834,11,30.5,28.7
"1032",1834,12,34.5,25.8
"1033",1835,1,7.5,11
"1034",1835,2,24.5,12
"1035",1835,3,19.7,14.6
"1036",1835,4,61.5,19
"1037",1835,5,43.6,32
"1038",1835,6,33.2,14.4
"1039",1835,7,59.8,23.1
"1040",1835,8,59,5.7
"1041",1835,9,100.8,26
"1042",1835,10,95.2,44.8
"1043",1835,11,100,33
"1044",1835,12,77.5,29.6
"1045",1836,1,88.6,27.1
"1046",1836,2,107.6,34
"1047",1836,3,98.2,42.4
"1048",1836,4,142.9,30.2
"1049",1836,5,111.4,22.1
"1050",1836,6,124.7,33.8
"1051",1836,7,116.7,35.1
"1052",1836,8,107.8,26.2
"1053",1836,9,95.1,45
"1054",1836,10,137.4,70.7
"1055",1836,11,120.9,39.7
"1056",1836,12,206.3,10.8
"1057",1837,1,188,36
"1058",1837,2,175.6,47.7
"1059",1837,3,134.6,18
"1060",1837,4,138.2,39
"1061",1837,5,111.7,37.7
"1062",1837,6,158,34.5
"1063",1837,7,162.8,35.5
"1064",1837,8,134,27.6
"1065",1837,9,96.3,22.8
"1066",1837,10,123.7,36.3
"1067",1837,11,107,36.2
"1068",1837,12,129.8,53.8
"1069",1838,1,144.9,71.2
"1070",1838,2,84.8,45.7
"1071",1838,3,140.8,46.9
"1072",1838,4,126.6,44.2
"1073",1838,5,137.6,20.7
"1074",1838,6,94.5,32.3
"1075",1838,7,108.2,26.8
"1076",1838,8,78.8,26.9
"1077",1838,9,73.6,34.2
"1078",1838,10,90.8,30.6
"1079",1838,11,77.4,25.3
"1080",1838,12,79.8,30.5
"1081",1839,1,105.6,39.4
"1082",1839,2,102.5,21
"1083",1839,3,77.7,35.4
"1084",1839,4,61.8,12.3
"1085",1839,5,53.8,14
"1086",1839,6,54.7,15.9
"1087",1839,7,84.8,40.9
"1088",1839,8,131.2,34.7
"1089",1839,9,132.7,48
"1090",1839,10,90.9,35.8
"1091",1839,11,68.8,34.5
"1092",1839,12,63.7,35.8
"1093",1840,1,81.2,26.9
"1094",1840,2,87.7,43
"1095",1840,3,67.8,26.6
"1096",1840,4,65.9,39.6
"1097",1840,5,69.2,24.6
"1098",1840,6,48.5,13.1
"1099",1840,7,60.7,25.6
"1100",1840,8,57.8,19.4
"1101",1840,9,74,30.7
"1102",1840,10,55.1,27.7
"1103",1840,11,54.3,20.2
"1104",1840,12,53.7,18.8
"1105",1841,1,24.1,22.7
"1106",1841,2,29.9,16.4
"1107",1841,3,29.7,21.4
"1108",1841,4,40.2,17.4
"1109",1841,5,67.5,16.2
"1110",1841,6,55.7,13.4
"1111",1841,7,30.9,19.7
"1112",1841,8,39.3,16.4
"1113",1841,9,36.5,21
"1114",1841,10,28.5,16.9
"1115",1841,11,19.8,10.6
"1116",1841,12,38.8,27.4
"1117",1842,1,20.4,21.6
"1118",1842,2,22.1,18.5
"1119",1842,3,21.7,21.8
"1120",1842,4,26.9,18
"1121",1842,5,24.9,21.2
"1122",1842,6,20.5,8.3
"1123",1842,7,12.6,16
"1124",1842,8,26.6,12.6
"1125",1842,9,18.4,12.5
"1126",1842,10,38.1,12.7
"1127",1842,11,40.5,18.9
"1128",1842,12,17.6,12.3
"1129",1843,1,13.3,13.4
"1130",1843,2,3.5,6.1
"1131",1843,3,8.3,11.7
"1132",1843,4,9.5,10.2
"1133",1843,5,21.1,17.7
"1134",1843,6,10.5,10
"1135",1843,7,9.5,9.9
"1136",1843,8,11.8,12.3
"1137",1843,9,4.2,7.1
"1138",1843,10,5.3,9
"1139",1843,11,19.1,9.8
"1140",1843,12,12.7,18.1
"1141",1844,1,9.5,8.7
"1142",1844,2,14.7,13.3
"1143",1844,3,13.6,10.4
"1144",1844,4,20.8,17.2
"1145",1844,5,11.6,7.7
"1146",1844,6,3.7,8.1
"1147",1844,7,21.2,24.2
"1148",1844,8,23.9,22.7
"1149",1844,9,7,12.4
"1150",1844,10,21.5,23.8
"1151",1844,11,10.8,15.5
"1152",1844,12,21.6,14.6
"1153",1845,1,25.7,13.8
"1154",1845,2,43.6,19.9
"1155",1845,3,43.3,20.8
"1156",1845,4,57,14.9
"1157",1845,5,47.8,28.7
"1158",1845,6,31.1,22.5
"1159",1845,7,30.6,21.8
"1160",1845,8,32.3,23.9
"1161",1845,9,29.6,28.3
"1162",1845,10,40.7,19.7
"1163",1845,11,39.4,21.7
"1164",1845,12,59.7,12.3
"1165",1846,1,38.7,19.4
"1166",1846,2,51,28.8
"1167",1846,3,63.9,24.4
"1168",1846,4,69.3,37.4
"1169",1846,5,60,29.9
"1170",1846,6,65.1,29.1
"1171",1846,7,46.5,15.6
"1172",1846,8,54.8,32.4
"1173",1846,9,107.1,32.3
"1174",1846,10,55.9,23.1
"1175",1846,11,60.4,28.8
"1176",1846,12,65.5,20.7
"1177",1847,1,62.6,46.9
"1178",1847,2,44.9,28.3
"1179",1847,3,85.7,47.9
"1180",1847,4,44.8,24.8
"1181",1847,5,75.5,25.4
"1182",1847,6,85.3,18.9
"1183",1847,7,52.2,28.8
"1184",1847,8,140.6,57.2
"1185",1847,9,160.9,39.8
"1186",1847,10,180.4,36.2
"1187",1847,11,138.9,48.1
"1188",1847,12,109.6,37.1
"1189",1848,1,159.1,22.7
"1190",1848,2,111.8,23.4
"1191",1848,3,108.6,18.7
"1192",1848,4,107.1,16.9
"1193",1848,5,102.2,22.7
"1194",1848,6,129,25.4
"1195",1848,7,139.2,36.5
"1196",1848,8,132.6,31.8
"1197",1848,9,100.3,32
"1198",1848,10,132.4,29.8
"1199",1848,11,114.6,41.8
"1200",1848,12,159.5,29.5
"1201",1849,1,157,24.6
"1202",1849,2,131.8,39.3
"1203",1849,3,96.2,29.4
"1204",1849,4,102.5,43.8
"1205",1849,5,80.6,29
"1206",1849,6,81.1,34.3
"1207",1849,7,78,24.6
"1208",1849,8,67.7,18.8
"1209",1849,9,93.7,22.5
"1210",1849,10,71.5,30.2
"1211",1849,11,99,43.5
"1212",1849,12,97,30.1
"1213",1850,1,78,30.6
"1214",1850,2,89.4,26
"1215",1850,3,82.6,23.9
"1216",1850,4,44.1,25.7
"1217",1850,5,61.6,21.6
"1218",1850,6,70,31.9
"1219",1850,7,39.1,37.1
"1220",1850,8,61.6,14.9
"1221",1850,9,86.2,18.5
"1222",1850,10,71,21.8
"1223",1850,11,54.8,28.7
"1224",1850,12,61,20
"1225",1851,1,75.5,43.8
"1226",1851,2,105.4,22.2
"1227",1851,3,64.6,11.5
"1228",1851,4,56.5,20.6
"1229",1851,5,62.6,24.6
"1230",1851,6,63.2,23.2
"1231",1851,7,36.1,20
"1232",1851,8,57.4,16.2
"1233",1851,9,67.9,21.6
"1234",1851,10,62.5,28.5
"1235",1851,11,51,18.4
"1236",1851,12,71.4,24.8
"1237",1852,1,68.4,23.2
"1238",1852,2,66.4,37
"1239",1852,3,61.2,20.2
"1240",1852,4,65.4,28
"1241",1852,5,54.9,19.2
"1242",1852,6,46.9,21
"1243",1852,7,42.1,16.8
"1244",1852,8,39.7,13.7
"1245",1852,9,37.5,16.6
"1246",1852,10,67.3,32.1
"1247",1852,11,54.3,29.7
"1248",1852,12,45.4,24.4
"1249",1853,1,41.1,23
"1250",1853,2,42.9,16.3
"1251",1853,3,37.7,24
"1252",1853,4,47.6,19.5
"1253",1853,5,34.7,13.1
"1254",1853,6,40,24.4
"1255",1853,7,45.9,19.2
"1256",1853,8,50.5,16.4
"1257",1853,9,33.5,14.7
"1258",1853,10,42.4,11.2
"1259",1853,11,28.8,6.2
"1260",1853,12,23.4,10.6
"1261",1854,1,15.4,9.3
"1262",1854,2,20,14.6
"1263",1854,3,20.7,15.4
"1264",1854,4,26.5,18.7
"1265",1854,5,24,18.9
"1266",1854,6,21.1,9.7
"1267",1854,7,18.7,12.1
"1268",1854,8,15.8,8.5
"1269",1854,9,22.4,17.1
"1270",1854,10,12.6,17.1
"1271",1854,11,28.2,15.4
"1272",1854,12,21.6,12.7
"1273",1855,1,12.3,15.1
"1274",1855,2,11.4,9.7
"1275",1855,3,17.4,11.8
"1276",1855,4,4.4,7.1
"1277",1855,5,9.1,14.5
"1278",1855,6,5.3,8.4
"1279",1855,7,0.4,2
"1280",1855,8,3.1,6.7
"1281",1855,9,0,0
"1282",1855,10,9.6,7.1
"1283",1855,11,4.2,6.7
"1284",1855,12,3.1,7.6
"1285",1856,1,0.5,2.9
"1286",1856,2,4.9,7
"1287",1856,3,0.4,2.2
"1288",1856,4,6.5,8.1
"1289",1856,5,0,0
"1290",1856,6,5.2,9.3
"1291",1856,7,4.6,6.4
"1292",1856,8,5.9,7.4
"1293",1856,9,4.4,7.1
"1294",1856,10,4.5,7.6
"1295",1856,11,7.7,8.5
"1296",1856,12,7.2,8.9
"1297",1857,1,13.7,8.1
"1298",1857,2,7.4,8.2
"1299",1857,3,5.2,6.3
"1300",1857,4,11.1,10.9
"1301",1857,5,28.5,16.7
"1302",1857,6,16,11.2
"1303",1857,7,22.2,13.2
"1304",1857,8,16.9,12.9
"1305",1857,9,42.4,14.1
"1306",1857,10,40.6,18.2
"1307",1857,11,31.4,17.7
"1308",1857,12,37.2,20.1
"1309",1858,1,39,22.8
"1310",1858,2,34.9,16.1
"1311",1858,3,57.5,30.3
"1312",1858,4,38.3,17.1
"1313",1858,5,41.4,21.7
"1314",1858,6,44.5,21.1
"1315",1858,7,56.7,21.6
"1316",1858,8,55.3,25.3
"1317",1858,9,80.1,24.2
"1318",1858,10,91.2,19.8
"1319",1858,11,51.9,21.2
"1320",1858,12,66.9,24.8
"1321",1859,1,83.7,17.4
"1322",1859,2,87.6,30.8
"1323",1859,3,90.3,24.3
"1324",1859,4,85.7,24.5
"1325",1859,5,91,31.7
"1326",1859,6,87.1,25.3
"1327",1859,7,95.2,35.5
"1328",1859,8,106.8,28.6
"1329",1859,9,105.8,24.9
"1330",1859,10,114.6,19.8
"1331",1859,11,97.2,24.8
"1332",1859,12,81,21.7
"1333",1860,1,82.4,22.7
"1334",1860,2,88.3,34.2
"1335",1860,3,98.9,24.5
"1336",1860,4,71.4,19.4
"1337",1860,5,107.1,26.5
"1338",1860,6,108.6,52.1
"1339",1860,7,116.7,43.6
"1340",1860,8,100.3,25
"1341",1860,9,92.2,21.6
"1342",1860,10,90.1,21.9
"1343",1860,11,97.9,23.7
"1344",1860,12,95.6,38.2
"1345",1861,1,62.3,18.5
"1346",1861,2,77.7,35.1
"1347",1861,3,101,32.9
"1348",1861,4,98.5,50.7
"1349",1861,5,56.8,34.3
"1350",1861,6,88.1,38.4
"1351",1861,7,78,17.7
"1352",1861,8,82.5,31.8
"1353",1861,9,79.9,25.6
"1354",1861,10,67.2,32.6
"1355",1861,11,53.7,20.7
"1356",1861,12,80.5,26.4
"1357",1862,1,63.1,16.7
"1358",1862,2,64.5,20.1
"1359",1862,3,43.6,25.4
"1360",1862,4,53.7,17.9
"1361",1862,5,64.4,14.3
"1362",1862,6,84,18.2
"1363",1862,7,73.4,20.5
"1364",1862,8,62.5,25.4
"1365",1862,9,66.6,29.1
"1366",1862,10,41.9,19.5
"1367",1862,11,50.6,20.4
"1368",1862,12,40.9,23.9
"1369",1863,1,48.3,20.7
"1370",1863,2,56.7,20.6
"1371",1863,3,66.4,18
"1372",1863,4,40.6,20.2
"1373",1863,5,53.8,14.1
"1374",1863,6,40.8,24
"1375",1863,7,32.7,17.9
"1376",1863,8,48.1,22.1
"1377",1863,9,22,12.2
"1378",1863,10,39.9,15
"1379",1863,11,37.7,21.2
"1380",1863,12,41.2,21.2
"1381",1864,1,57.7,30.1
"1382",1864,2,47.1,17.5
"1383",1864,3,66.3,16.4
"1384",1864,4,35.8,16.3
"1385",1864,5,40.6,14.7
"1386",1864,6,57.8,38.6
"1387",1864,7,54.7,25
"1388",1864,8,54.8,41.5
"1389",1864,9,28.5,11
"1390",1864,10,33.9,16.8
"1391",1864,11,57.6,18.7
"1392",1864,12,28.6,21.7
"1393",1865,1,48.7,27.9
"1394",1865,2,39.3,23.3
"1395",1865,3,39.5,21.1
"1396",1865,4,29.4,19.2
"1397",1865,5,34.5,18.3
"1398",1865,6,33.6,18.8
"1399",1865,7,26.8,15.6
"1400",1865,8,37.8,19.2
"1401",1865,9,21.6,14.6
"1402",1865,10,17.1,15.8
"1403",1865,11,24.6,15.1
"1404",1865,12,12.8,13.7
"1405",1866,1,31.6,11.3
"1406",1866,2,38.4,26.4
"1407",1866,3,24.5,12.6
"1408",1866,4,17.6,8.7
"1409",1866,5,12.9,8.3
"1410",1866,6,16.5,8.7
"1411",1866,7,9.3,7.9
"1412",1866,8,12.7,7.7
"1413",1866,9,7.3,7.9
"1414",1866,10,14.1,9.6
"1415",1866,11,9,10.8
"1416",1866,12,1.5,4
"1417",1867,1,0,0
"1418",1867,2,0.7,2.6
"1419",1867,3,9.2,8.1
"1420",1867,4,5.1,7.9
"1421",1867,5,2.9,5.6
"1422",1867,6,1.5,3.9
"1423",1867,7,5,6.2
"1424",1867,8,4.8,6.9
"1425",1867,9,9.8,11.8
"1426",1867,10,13.5,15
"1427",1867,11,9.6,8.1
"1428",1867,12,25.2,22.7
"1429",1868,1,15.5,16.8
"1430",1868,2,15.7,10.8
"1431",1868,3,26.5,13.9
"1432",1868,4,36.6,15.1
"1433",1868,5,26.7,14.7
"1434",1868,6,31.1,18
"1435",1868,7,29,24
"1436",1868,8,34.4,15.9
"1437",1868,9,47.2,18.5
"1438",1868,10,61.6,33.3
"1439",1868,11,59.1,23.7
"1440",1868,12,67.6,32.1
"1441",1869,1,60.9,27.8
"1442",1869,2,59.9,28.2
"1443",1869,3,52.7,26.4
"1444",1869,4,41,27.2
"1445",1869,5,103.9,44.6
"1446",1869,6,108.4,35.4
"1447",1869,7,59.2,32
"1448",1869,8,79.6,41
"1449",1869,9,80.6,33.7
"1450",1869,10,59.3,25
"1451",1869,11,78.1,23.8
"1452",1869,12,104.4,33.4
"1453",1870,1,77.3,14.5
"1454",1870,2,114.9,40.7
"1455",1870,3,157.5,25.9
"1456",1870,4,160,48
"1457",1870,5,176,37.3
"1458",1870,6,135.6,44.5
"1459",1870,7,132.4,32.3
"1460",1870,8,153.8,78.9
"1461",1870,9,136,63.7
"1462",1870,10,146.4,30.2
"1463",1870,11,147.5,54.6
"1464",1870,12,130,59.3
"1465",1871,1,88.3,18.4
"1466",1871,2,125.3,37.7
"1467",1871,3,143.2,30.5
"1468",1871,4,162.4,29
"1469",1871,5,145.5,21.9
"1470",1871,6,91.7,31.6
"1471",1871,7,103,31.4
"1472",1871,8,110.1,37
"1473",1871,9,80.3,31.2
"1474",1871,10,89,28.7
"1475",1871,11,105.4,29.5
"1476",1871,12,90.4,30.6
"1477",1872,1,79.5,20.6
"1478",1872,2,120.1,36.1
"1479",1872,3,88.4,43.4
"1480",1872,4,102.1,20.7
"1481",1872,5,107.6,36.4
"1482",1872,6,109.9,28.7
"1483",1872,7,105.5,34.2
"1484",1872,8,92.9,35.7
"1485",1872,9,114.6,27.8
"1486",1872,10,102.6,29
"1487",1872,11,112,30.6
"1488",1872,12,83.9,29.8
"1489",1873,1,86.7,29.6
"1490",1873,2,107,26.8
"1491",1873,3,98.3,37
"1492",1873,4,76.2,21
"1493",1873,5,47.9,32.1
"1494",1873,6,44.8,31.6
"1495",1873,7,66.9,35.5
"1496",1873,8,68.2,28.3
"1497",1873,9,47.1,16
"1498",1873,10,47.1,23.1
"1499",1873,11,55.4,33.8
"1500",1873,12,49.2,21.3
"1501",1874,1,60.8,21.3
"1502",1874,2,64.2,26.5
"1503",1874,3,46.4,17.9
"1504",1874,4,32,20.6
"1505",1874,5,44.6,20.7
"1506",1874,6,38.2,19.5
"1507",1874,7,67.8,25.2
"1508",1874,8,61.3,20.5
"1509",1874,9,28,16
"1510",1874,10,34.3,20.6
"1511",1874,11,28.9,11.8
"1512",1874,12,29.3,19.1
"1513",1875,1,14.6,14.8
"1514",1875,2,21.5,17.3
"1515",1875,3,33.8,10.4
"1516",1875,4,29.1,14
"1517",1875,5,11.5,13.9
"1518",1875,6,23.9,12.2
"1519",1875,7,12.5,10.1
"1520",1875,8,14.6,15.6
"1521",1875,9,2.4,6.2
"1522",1875,10,12.7,10.8
"1523",1875,11,17.7,26.2
"1524",1875,12,9.9,12.6
"1525",1876,1,14.3,19.6
"1526",1876,2,15,15.1
"1527",1876,3,30.6,27
"1528",1876,4,2.3,6.1
"1529",1876,5,5.1,7.5
"1530",1876,6,1.6,4.5
"1531",1876,7,15.2,14.2
"1532",1876,8,8.8,10.9
"1533",1876,9,9.9,9.9
"1534",1876,10,14.3,8.5
"1535",1876,11,9.9,11.5
"1536",1876,12,8.2,11.3
"1537",1877,1,24.4,18.9
"1538",1877,2,8.7,6.7
"1539",1877,3,11.9,13.5
"1540",1877,4,15.8,14.3
"1541",1877,5,21.6,9.4
"1542",1877,6,14.2,8.2
"1543",1877,7,6,8
"1544",1877,8,6.3,7.7
"1545",1877,9,16.9,9.9
"1546",1877,10,6.7,14.1
"1547",1877,11,14.2,13.3
"1548",1877,12,2.2,4.4
"1549",1878,1,3.3,6.1
"1550",1878,2,6.6,12.6
"1551",1878,3,7.8,9.5
"1552",1878,4,0.1,0.5
"1553",1878,5,5.9,11.7
"1554",1878,6,6.4,10.4
"1555",1878,7,0.1,0.7
"1556",1878,8,0,0
"1557",1878,9,5.3,6.8
"1558",1878,10,1.1,3.6
"1559",1878,11,4.1,5.9
"1560",1878,12,0.5,2.9
"1561",1879,1,1,2.8
"1562",1879,2,0.6,2.1
"1563",1879,3,0,0
"1564",1879,4,6.2,8.2
"1565",1879,5,2.4,4.9
"1566",1879,6,4.8,8.5
"1567",1879,7,7.5,9
"1568",1879,8,10.7,12.4
"1569",1879,9,6.1,6.1
"1570",1879,10,12.3,12.1
"1571",1879,11,13.1,12.5
"1572",1879,12,7.3,7.3
"1573",1880,1,24,17.4
"1574",1880,2,27.2,21.4
"1575",1880,3,19.3,12.1
"1576",1880,4,19.5,10.8
"1577",1880,5,23.5,15.2
"1578",1880,6,34.1,16.2
"1579",1880,7,21.9,14.4
"1580",1880,8,48.1,26.8
"1581",1880,9,66,25.6
"1582",1880,10,43,15.3
"1583",1880,11,30.7,18.4
"1584",1880,12,29.6,13
"1585",1881,1,36.4,19.5
"1586",1881,2,53.2,14.3
"1587",1881,3,51.5,41.6
"1588",1881,4,51.6,19.7
"1589",1881,5,43.5,18.6
"1590",1881,6,60.5,19.2
"1591",1881,7,76.9,24.1
"1592",1881,8,58.4,42.5
"1593",1881,9,53.2,19.5
"1594",1881,10,64.4,20
"1595",1881,11,54.8,29.5
"1596",1881,12,47.3,23.5
"1597",1882,1,45,12.5
"1598",1882,2,69.5,23.4
"1599",1882,3,66.8,21.6
"1600",1882,4,95.8,39
"1601",1882,5,64.1,40.4
"1602",1882,6,45.2,19.9
"1603",1882,7,45.4,22.8
"1604",1882,8,40.4,17.9
"1605",1882,9,57.7,21.6
"1606",1882,10,59.2,27.8
"1607",1882,11,84.4,23.4
"1608",1882,12,41.8,21.1
"1609",1883,1,60.6,22.1
"1610",1883,2,46.9,23.6
"1611",1883,3,42.8,22.8
"1612",1883,4,82.1,20.2
"1613",1883,5,31.5,19.1
"1614",1883,6,76.3,25.6
"1615",1883,7,80.6,38.8
"1616",1883,8,46,21.1
"1617",1883,9,52.6,30.8
"1618",1883,10,83.8,40.9
"1619",1883,11,84.5,29.3
"1620",1883,12,75.9,33.5
"1621",1884,1,91.5,24.7
"1622",1884,2,86.9,17.1
"1623",1884,3,87.5,29.1
"1624",1884,4,76.1,14
"1625",1884,5,66.5,20.7
"1626",1884,6,51.2,12.8
"1627",1884,7,53.1,21.6
"1628",1884,8,55.8,19
"1629",1884,9,61.9,21.8
"1630",1884,10,47.8,19.8
"1631",1884,11,36.6,16
"1632",1884,12,47.2,10.5
"1633",1885,1,42.8,26
"1634",1885,2,71.8,21.1
"1635",1885,3,49.8,26.9
"1636",1885,4,55,18.6
"1637",1885,5,73,23.8
"1638",1885,6,83.7,15.9
"1639",1885,7,66.5,13.6
"1640",1885,8,50,19.1
"1641",1885,9,39.6,17.6
"1642",1885,10,38.7,20
"1643",1885,11,30.9,18.4
"1644",1885,12,21.7,16.3
"1645",1886,1,29.9,23.5
"1646",1886,2,25.9,12.3
"1647",1886,3,57.3,28.3
"1648",1886,4,43.7,28.3
"1649",1886,5,30.7,23.2
"1650",1886,6,27.1,15
"1651",1886,7,30.3,18.6
"1652",1886,8,16.9,14.5
"1653",1886,9,21.4,14.7
"1654",1886,10,8.6,8.2
"1655",1886,11,0.3,1
"1656",1886,12,13,13.1
"1657",1887,1,10.3,9
"1658",1887,2,13.2,11.1
"1659",1887,3,4.2,5.8
"1660",1887,4,6.9,7.7
"1661",1887,5,20,13.4
"1662",1887,6,15.7,6.7
"1663",1887,7,23.4,15.7
"1664",1887,8,21.4,20.5
"1665",1887,9,7.4,9.1
"1666",1887,10,6.6,7.8
"1667",1887,11,6.9,8.7
"1668",1887,12,20.7,12.6
"1669",1888,1,12.7,9.6
"1670",1888,2,7.1,8.3
"1671",1888,3,7.8,9.8
"1672",1888,4,5.1,7.2
"1673",1888,5,7,9.1
"1674",1888,6,7.1,7.5
"1675",1888,7,3.1,5
"1676",1888,8,2.8,5.7
"1677",1888,9,8.8,7.2
"1678",1888,10,2.1,4.1
"1679",1888,11,10.7,8.8
"1680",1888,12,6.7,7.2
"1681",1889,1,0.8,3
"1682",1889,2,8.5,9.8
"1683",1889,3,6.7,8
"1684",1889,4,4.3,5.8
"1685",1889,5,2.4,4.9
"1686",1889,6,6.4,8.5
"1687",1889,7,9.4,9.1
"1688",1889,8,20.6,15.3
"1689",1889,9,6.5,6.7
"1690",1889,10,2.1,3.4
"1691",1889,11,0.2,0.6
"1692",1889,12,6.7,8.7
"1693",1890,1,5.3,7
"1694",1890,2,0.6,2.4
"1695",1890,3,5.1,6.8
"1696",1890,4,1.6,3.1
"1697",1890,5,4.8,6.9
"1698",1890,6,1.3,3.1
"1699",1890,7,11.6,10.3
"1700",1890,8,8.5,11.5
"1701",1890,9,17.2,11
"1702",1890,10,11.2,12.1
"1703",1890,11,9.6,9.4
"1704",1890,12,7.8,8.3
"1705",1891,1,13.5,14.4
"1706",1891,2,22.2,13.9
"1707",1891,3,10.4,7
"1708",1891,4,20.5,10.9
"1709",1891,5,41.1,18
"1710",1891,6,48.3,21.8
"1711",1891,7,58.8,28.5
"1712",1891,8,33,19.5
"1713",1891,9,53.8,26.4
"1714",1891,10,51.5,20.7
"1715",1891,11,41.9,15.9
"1716",1891,12,32.5,17.4
"1717",1892,1,69.1,29.3
"1718",1892,2,75.6,34.6
"1719",1892,3,49.9,24.1
"1720",1892,4,69.6,39.2
"1721",1892,5,79.6,26.4
"1722",1892,6,76.3,28
"1723",1892,7,76.5,28.5
"1724",1892,8,101.4,29.2
"1725",1892,9,62.8,19.8
"1726",1892,10,70.5,30.1
"1727",1892,11,65.4,21
"1728",1892,12,78.6,38.3
"1729",1893,1,75,36.4
"1730",1893,2,73,18.9
"1731",1893,3,65.7,24.3
"1732",1893,4,88.1,29.2
"1733",1893,5,84.7,31.1
"1734",1893,6,89.9,30
"1735",1893,7,88.6,48.3
"1736",1893,8,129.2,50.3
"1737",1893,9,77.9,16.9
"1738",1893,10,80,21.3
"1739",1893,11,75.1,33.5
"1740",1893,12,93.8,49.5
"1741",1894,1,83.2,29.8
"1742",1894,2,84.6,21.5
"1743",1894,3,52.3,23.9
"1744",1894,4,81.6,27
"1745",1894,5,101.2,28.9
"1746",1894,6,98.9,30.1
"1747",1894,7,106,33
"1748",1894,8,70.3,26.8
"1749",1894,9,65.9,29.9
"1750",1894,10,75.5,37.2
"1751",1894,11,56.6,16
"1752",1894,12,60,21.6
"1753",1895,1,63.3,29.2
"1754",1895,2,67.2,23.9
"1755",1895,3,61,13.5
"1756",1895,4,76.9,20
"1757",1895,5,67.5,37.5
"1758",1895,6,71.5,14.1
"1759",1895,7,47.8,24.2
"1760",1895,8,68.9,31.3
"1761",1895,9,57.7,22.4
"1762",1895,10,67.9,38.3
"1763",1895,11,47.2,26.7
"1764",1895,12,70.7,23.3
"1765",1896,1,29,16
"1766",1896,2,57.4,28.7
"1767",1896,3,52,25.8
"1768",1896,4,43.8,31.8
"1769",1896,5,27.7,15.3
"1770",1896,6,49,20.8
"1771",1896,7,45,20.2
"1772",1896,8,27.2,14.3
"1773",1896,9,61.3,35.7
"1774",1896,10,28.7,17.3
"1775",1896,11,38,22.2
"1776",1896,12,42.6,12.5
"1777",1897,1,40.6,13.7
