"","RA","Dec","HIP_Num","Vmag","Plx","pmRA","pmDE","e_Plx","B.V"
"705",72.599711,17.202665,22496,7.1,22.96,102.78,-29.7,1.17,0.563
"706",72.638526,-85.375167,22504,8.14,23.2,48.4,-38,0.66,0.614
"707",72.640904,15.083454,22505,7.73,23.64,89.49,-20.65,0.99,0.74
"708",72.802223,11.068026,22550,6.79,20.15,87.6,-8.72,1.14,0.543
"709",72.819688,32.889596,22559,9.25,20.54,-75.46,-261.19,1.47,0.86
"710",72.958285,13.655155,22607,6.3,23.91,106.84,-16,1.04,0.502
"711",72.987719,66.495984,22615,8.09,23.94,60,-99,0.95,0.77
"712",73.233449,75.710097,22703,7.1,22.08,104.6,-174.43,0.98,0.74
"713",73.48148,-20.538918,22772,10.08,23.05,-33.24,240.32,2.73,1.271
"714",73.986346,-30.858641,22921,10.02,22.95,102.74,-209.62,2.13,1.146
"715",74.064907,24.592218,22949,6.33,23.15,-22.3,-14.19,0.88,0.351
"716",74.276777,24.752194,23027,8.6,22.09,-23.64,-7.62,1.58,0.714
"717",74.554145,40.056866,23100,7.21,21.04,59.86,-102.59,1.07,0.496
"718",74.609167,-3.732886,23116,6.97,20.13,78.36,48.37,1.08,0.516
"719",74.649025,-9.334294,23128,7.94,23.13,-33.01,-97.78,0.92,0.581
"720",74.755683,-16.376027,23166,5.65,23.17,-121.61,127.52,0.83,0.447
"721",74.814207,37.890245,23179,4.93,20.5,46.26,-97.81,0.94,0.037
"722",74.902647,25.93585,23204,7.29,20.2,-84.39,-88.04,1.01,0.803
"723",74.93468,15.916734,23214,6.75,23.09,87.21,-29.19,0.83,0.45
"724",75.141389,3.615749,23287,6.65,23.33,10.35,-27.39,12.95,-0.053
"725",75.165867,-2.066032,23296,6.31,20.17,-12.94,-3.1,0.87,0.293
"726",75.175064,30.896918,23302,10.84,24.66,-71.92,-99.37,2.38,1.243
"727",75.217231,61.124733,23317,10.03,22.01,128.94,-221.17,2.26,1.036
"728",75.225069,77.775507,23318,7.71,20.08,-13.5,1.15,0.69,0.56
"729",75.316062,-65.767763,23342,11.98,23.98,132.18,322.9,2.39,1.41
"730",75.43426,20.829845,23396,7.99,24.38,-65.85,-92.74,1.78,0.74
"731",75.773947,21.589962,23497,4.62,20.01,68.94,-40.85,0.91,0.155
"732",76.026025,-0.649056,23575,8.6,20.83,59.94,-143.5,1.22,0.741
"733",76.198187,-11.69903,23627,7.2,23.59,74.83,-217.15,0.89,0.618
"734",76.222935,-69.168893,23641,9.27,24.02,8.45,-3.85,0.95,0.787
"735",76.366083,-33.812734,23686,9.71,21.18,21.72,-125.54,1.66,0.991
"736",76.378194,52.810158,23694,10.02,21.85,14.06,-93.63,2.06,1.04
"737",76.480146,-13.913749,23716,7.87,21.24,87.61,51.84,1.45,1
"738",76.827625,-83.859899,23824,6.8,21.01,58.04,147.61,0.64,0.573
"739",76.948349,69.528536,23869,8.61,23.54,52.41,-179.7,1.19,0.785
"740",77.441314,7.181589,24021,7.41,21.39,51.64,14.61,1.21,0.464
"741",77.508658,-7.07176,24037,8.49,21.8,-58.49,-241.45,1.22,0.681
"742",77.516127,27.556507,24046,6.97,24.88,197.69,-88.54,1.06,0.505
"743",77.678833,46.96207,24109,5.67,21.64,57.35,-150.22,0.87,0.452
"744",77.74177,-2.254114,24130,6.24,20.66,85.61,-150.55,0.84,0.984
"745",77.746295,32.03881,24133,7.61,21.39,-116.47,21.53,2.18,0.718
"746",77.81952,-56.056915,24157,9.62,20.83,169.36,142.02,1.02,0.853
"747",77.903207,-1.855667,24190,9.52,20.92,-86.09,20.9,1.67,0.925
"748",78.199822,16.307066,24292,10.55,23.35,31.69,-262.46,1.86,1.23
"749",78.354333,3.687102,24336,7.82,21.36,-36.81,22.24,1.34,0.637
"750",78.357157,38.484498,24340,4.82,20.08,-18.66,-72.41,1.39,0.189
"751",78.743736,44.529015,24463,10.33,24.56,17.81,-694.28,14.81,1.06
"752",78.827091,-1.40904,24493,6.15,21.77,-35.52,8.78,0.91,0.401
"753",79.037376,16.942417,24558,10.5,21.55,-148.64,-161.3,2.38,1.09
"754",79.146123,-42.514401,24597,8.28,21.26,14.9,92.57,0.75,0.66
"755",79.251011,-31.276685,24629,7.47,20.13,6.17,160.28,0.74,0.475
"756",79.356681,26.080339,24655,10.4,24.03,-19.09,8.27,13.04,0.672
"757",79.364828,60.181677,24658,6.96,20.31,-9.75,-132.99,0.76,0.458
"758",79.417674,-13.519826,24679,5.48,20.69,-7.59,-48.49,0.78,0.932
"759",79.420744,7.353343,24681,7.31,22.22,-3.74,-148.69,1.05,0.661
"760",79.526439,67.182908,24720,10.8,22.57,111.49,-136.13,2.03,1.2
"761",80.158534,-39.754944,24947,7.39,21.91,38.93,12.8,0.63,0.51
"762",80.210921,-77.920316,24965,9.15,20.59,-100.36,278.66,0.8,0.794
"763",80.678005,13.229082,25127,9.15,20.54,15.31,-45.45,1.22,0.706
"764",80.762995,46.986783,25166,8.15,24.12,12.74,-84.71,1.17,0.78
"765",80.916117,64.12477,25222,7.29,22.66,162.29,-125.43,0.96,0.538
"766",81.184392,63.386464,25300,7.32,21.83,-125.65,-57.5,1.73,0.714
"767",81.479808,61.783095,25393,9.16,22.37,199.75,12.82,1.2,1.026
"768",81.499271,-19.695399,25397,5.78,23.24,3.43,-19.06,1.39,0.441
"769",81.531343,61.241494,25414,8.35,20.64,94.82,-256.28,1.08,0.7
"770",81.572972,28.60745,25428,1.65,24.89,23.28,-174.22,0.88,-0.13
"771",81.61926,-63.183183,25441,9.18,22.25,-5.42,82.01,0.86,0.879
"772",81.87511,18.845588,25523,9.58,21.24,56.36,-346.11,1.57,0.92
"773",81.940939,-28.800061,25559,10.12,23.99,-40.53,-176.75,5.1,1.203
"774",82.061347,-20.759441,25606,2.81,20.49,-5.03,-85.92,0.85,0.807
"775",82.246367,-17.429239,25670,8.27,21.35,-84.6,-74.53,1.09,0.657
"776",82.263657,-19.142959,25679,8.32,20.85,8.12,-80.09,1.06,0.702
"777",82.539499,-47.077655,25768,5.46,22.87,20.84,-131.94,0.57,0.615
"778",82.626786,-37.202649,25795,8.3,22.63,173.18,172.23,0.73,0.653
"779",82.749751,-10.081088,25840,6.95,23.98,160.27,-316.26,0.86,0.561
"780",82.754873,-28.528757,25843,8.18,20.22,-20.82,139.5,0.88,0.583
"781",82.870604,54.654684,25880,7.54,24.43,-142.5,-354,1.18,0.62
"782",83.140836,57.221071,25973,6.44,22.79,112.04,-224.63,0.81,0.587
"783",83.278887,20.035561,26018,8.81,21.71,-71,-296.53,2.45,0.9
"784",83.400684,-51.065666,26067,8.83,22.03,2.56,28.68,1.84,0.99
"785",83.861464,-33.269229,26245,6.74,20.99,-42.54,105.71,0.85,0.502
"786",83.914234,-81.61187,26269,7.12,20.12,-30.56,30.06,0.54,0.496
"787",84.27998,41.828257,26392,7.09,22.35,4.28,-32.27,1.2,0.569
"788",84.318779,-27.871362,26412,6.15,22.44,20.78,-67.08,0.73,0.322
"789",84.404519,6.112006,26444,7.64,21.01,93.4,-89.05,1.2,0.578
"790",84.435908,-28.68969,26460,5.28,23.54,-37.99,42.58,0.62,0.486
"791",84.721179,-7.212829,26563,4.77,21.24,-15,-49.55,2.05,0.139
"792",84.859327,-22.838675,26614,10.25,22.71,-23.17,-267.6,1.87,1.111
"793",84.879796,-3.564704,26624,5.99,24.16,-3.88,2.1,0.73,0.294
"794",84.934384,-5.050719,26641,8.91,20.28,42.47,297.46,1.25,0.647
"795",85.007207,6.060579,26664,8.67,23.32,54.7,-245.76,1.31,0.827
"796",85.072622,-19.227156,26688,7.7,20.61,-133.3,-195.88,0.89,0.417
"797",85.633246,61.31241,26890,9.64,22.02,290.89,-130.22,1.55,0.909
"798",85.743977,54.25726,26933,9.27,23.49,-146.05,-152.01,1.4,0.891
"799",85.887046,-76.767904,26985,8.76,22.59,103.27,229.69,0.71,0.7
"800",85.969979,-21.279737,27021,7.1,23.15,195.36,13.36,0.82,0.531
"801",86.193245,-65.735526,27100,4.34,22.48,-28.38,6.12,0.46,0.217
"802",86.251525,-2.591856,27114,10.76,22.07,5.14,-371,2.48,1.085
"803",86.305836,-59.923785,27134,9.28,20.19,-21.5,120.82,0.81,0.849
"804",86.374468,52.161071,27165,6.85,21.89,86.98,-178.32,0.88,0.637
"805",86.645467,1.168193,27253,5.95,23.57,-80.05,-141.79,0.92,0.773
"806",86.956369,-40.063817,27371,8.8,22,-8.5,113.31,0.79,0.71
"807",87.083577,-24.463851,27417,7.8,23.48,-30.68,-36.54,0.83,0.566
"808",87.153384,-39.932019,27441,8.89,22.53,28,66.59,0.83,0.857
"809",87.442485,32.973166,27528,8.46,24.57,16.02,12.15,1.37,0.721
"810",87.459226,-72.412515,27531,9.86,21.26,97.95,299.17,1.1,0.864
"811",88.24906,15.170896,27802,10.39,20.53,175.68,103.31,2.11,1.4
"812",88.31324,-36.263696,27823,8.59,21.06,-92.01,-42.71,0.84,0.696
"813",88.758163,-0.507972,27980,7.65,21.41,-102.89,-50.72,1.1,0.629
"814",89.154623,10.551743,28122,9.48,23.63,-16.57,10.15,3.2,0.722
"815",89.369635,-37.848218,28193,9.28,23.92,-111.65,77.09,0.95,0.965
"816",89.881819,54.284656,28358,3.72,23.22,86.31,-134.05,0.91,1.01
"817",89.956872,-48.239691,28393,8.65,23.24,-42.27,65.16,1.02,0.887
"818",90.089475,31.430066,28445,9.41,21.69,138.66,-299.12,1.73,0.93
"819",90.11316,-60.494326,28452,9.25,21.97,11.11,-80.27,0.87,0.817
"820",90.255669,32.225065,28502,9.69,20.33,29.06,-174.05,1.9,0.913
"821",90.595828,9.647277,28614,4.12,21.49,14.19,-37.44,0.82,0.17
"822",90.72989,32.635697,28644,6.23,20.02,81.47,-211.58,0.86,0.456
"823",91.030062,23.263341,28734,4.16,21.64,-2.6,-119.72,1.06,0.835
"824",91.242645,14.388435,28813,6.72,24.56,84.66,-188.03,0.85,0.508
"825",91.425067,-61.748579,28869,7.84,20.51,-52.32,11.75,0.68,0.595
"826",91.479649,26.554837,28884,9.42,23.97,-179.65,-375.57,1.45,0.888
"827",91.624381,-72.512663,28941,9.1,22.11,0.5,-384.46,0.81,0.9
"828",91.749054,-46.205637,28987,6.83,21.38,-90.93,-25.79,0.55,0.463
"829",91.996101,27.428229,29074,8.02,22.46,25.89,-94.32,1.12,0.626
"830",92.026735,-15.901237,29083,6.95,21.83,-37.74,-33.44,0.88,0.467
"831",92.485276,34.1353,29242,8.44,25,33.54,-260.18,1.16,0.79
"832",92.504463,17.934212,29248,8.48,22.18,210.11,-228.99,1.41,0.67
"833",92.709028,24.09296,29312,10.87,20.84,-69.74,-63.21,2.93,NA
"834",92.763046,-13.800814,29330,8.8,23.58,-17.03,-61.67,1.09,0.995
"835",93.058799,-65.53395,29444,8.6,23.42,23.02,167.56,6.63,0.54
"836",93.502703,38.841077,29582,10.37,20.95,2.67,-259.08,2.67,0.99
"837",93.701059,-19.728858,29644,8.7,20.54,-126.48,-239.22,1.08,0.835
"838",93.912555,36.14869,29725,6.86,20.7,-58.49,3.77,2.44,0.44
"839",94.178994,47.060346,29814,9.18,20.39,58.32,-493.14,1.3,0.769
"840",94.209698,44.705723,29824,9.05,24.87,-255.73,-333.27,1.15,0.79
"841",94.390591,35.149196,29882,6.68,20.83,70.31,39.99,0.9,0.451
"842",94.655552,67.728386,29974,8.41,21,-121.09,-31.86,1.39,0.78
"843",94.783573,-3.43899,30030,7.95,20.1,10.65,-42.47,0.99,0.587
"844",94.803806,-58.054312,30034,9.13,21.97,14.13,45.21,0.82,0.861
"845",94.905778,59.010965,30060,4.44,21.88,-3.51,24.43,0.95,0.032
"846",95.365423,17.294627,30220,9.09,24.89,10.55,-189.3,1.61,0.914
"847",95.405623,-18.166686,30232,7.73,22.64,-45.96,-98.94,0.94,0.619
"848",95.431399,-0.539128,30243,7.63,24.33,-3.61,-156.66,0.92,0.686
"849",95.482739,-78.717094,30258,8.98,21.14,-31.31,146.56,0.73,0.793
"850",96.128594,38.56917,30486,7.59,22.29,88.26,-91.9,1.05,0.629
"851",96.20908,4.871993,30513,7.03,20.58,-38.45,-37.71,0.94,0.508
"852",96.317893,-34.378441,30544,8.81,20.25,-66.95,-21.89,0.91,0.716
"853",96.781603,-37.895507,30706,6.48,20.09,-1.38,44.75,0.61,0.394
"854",96.8361,-33.114017,30729,8.41,22.18,-14.56,-69.99,0.8,0.708
"855",96.850428,-25.734598,30733,8.36,22.53,-4.37,76.85,2.38,0.84
"856",97.19046,38.962963,30860,7.89,20.43,-43.8,-53.45,0.98,0.74
"857",97.234926,26.967457,30880,6.57,21.82,80.73,-77.54,1.03,0.554
"858",97.265405,17.745227,30890,7.61,20.93,-123,-165.74,1.23,0.621
"859",97.417579,35.892256,30944,9.97,20.7,353.36,-381.96,1.7,0.971
"860",97.790113,11.255822,120003,9.1,20.03,1.84,-14.47,18.5,-0.039
"861",98.096371,-5.86882,31167,5.6,23.13,-0.87,-41.78,0.76,0.256
"862",98.147353,37.90294,31183,11.49,22.18,-175.78,-186.85,3.18,1.18
"863",98.154505,-29.582432,31187,8.97,23.52,-69.51,66.22,1.03,0.799
"864",98.54877,-10.956905,31332,9.54,21.8,-114.17,270.77,2.39,0.929
"865",98.838845,44.648707,31451,10.17,22.98,-68.99,-186.84,1.69,1.3
"866",98.889818,76.866355,31473,8.14,23.47,-38.24,-61.26,0.79,0.687
"867",98.975122,-36.088632,31509,6.36,24.83,-59.85,-73.04,0.56,0.486
"868",99.127279,72.009219,31575,7.79,20.03,-45.16,-245.8,0.79,0.7
"869",99.139091,13.997427,31581,9.42,20.36,-51.06,-324.21,1.69,0.879
"870",99.585329,60.240182,31732,9.55,20.09,92.76,-195.99,1.51,0.747
"871",99.79847,-26.571875,31821,8.44,20.56,-34.27,27.38,2.07,0.769
"872",99.833359,-49.292839,31833,11.48,21.21,105.92,294.17,2.99,NA
"873",100.09398,-82.380046,31931,10.35,20.94,-65.82,281.74,2.72,1.086
"874",100.204335,51.978326,31965,7.6,23.57,-0.34,-291.68,0.96,0.672
"875",100.292722,61.135497,32001,11.47,23.86,-77.18,-209.27,3.54,NA
"876",100.601362,17.645303,32104,5.2,23.41,6.97,-86.87,2.44,0.063
"877",100.691851,-22.44859,32144,6.26,20.45,-54.07,100.9,1.11,0.321
"878",101.005718,-42.714537,32251,8.53,20.04,-81.42,215.12,0.71,0.685
"879",101.058096,-0.9254,32270,11.61,23.79,-209.49,15.3,3.13,1.348
"880",101.228843,20.860654,32329,7.2,21.77,93.72,12.86,1.07,0.562
"881",101.370744,44.233387,32382,7.47,22.09,143.37,-189.41,0.86,0.614
"882",101.504512,-66.408194,32414,11.13,21.48,177.68,-72.87,5.64,NA
"883",102.051217,55.704195,32609,5.54,21.26,57.71,-104.75,1.32,NA
"884",102.079441,-1.318922,32617,5.75,24.95,-37.74,-34.33,0.75,0.292
"885",102.148979,-4.075906,32644,7.02,22.44,-48.94,-81.11,2.23,0.553
"886",102.224363,37.50515,32673,8.07,23.06,-112,-62.29,1.23,0.677
"887",102.338902,43.759112,32702,7.3,22.41,-35.12,-48.59,0.87,0.546
"888",102.409385,36.441458,32728,8.96,22.39,192.46,-139.36,1.39,0.657
"889",102.877152,40.867756,32916,8.1,24.55,34.96,-122.85,1.14,0.729
"890",102.917632,5.754711,32933,9.61,22.01,-235.89,-117.62,2.07,0.977
"891",102.93989,69.040752,32945,9.75,20.14,-16.95,-207.24,1.74,1.088
"892",103.008435,-33.91556,32970,7.21,21.16,-69.02,68.52,0.68,0.614
"893",103.737425,12.158102,33241,10.58,20.63,-77.27,-373.88,2.39,1.259
"894",104.143365,28.965727,33383,9.09,23.46,-24.81,-11.41,27.04,0.408
"895",104.155279,-59.183274,33390,12.35,22.34,-138.49,449.98,5.05,1.5
"896",104.323267,-35.507153,33451,6.23,23.15,-40.38,19.58,0.56,0.465
"897",104.443077,22.892552,33497,7.62,23.74,-141.52,-141.43,1.13,0.558
"898",104.697543,26.081079,33595,6.2,21.1,-162.14,94.1,0.9,0.52
"899",104.871909,-17.254689,33654,10.01,22.78,-263.9,181.07,1.76,1.054
"900",104.930819,-29.707812,33671,7.78,21.26,0.6,-124.13,0.74,0.533
"901",105.268792,-21.964658,33799,7.66,23.06,-11.09,54.25,0.96,0.534
"902",105.61894,79.164406,33932,8.31,20.88,-6.56,-80.72,0.85,0.627
"903",105.620647,-14.677044,33933,10.51,23.39,113.34,-298.22,4.48,1.186
"904",105.891413,39.675881,34025,9.58,21.3,-142.38,-107.76,2.8,1.023
"905",106.043504,5.212952,34095,9.08,22.46,-50.82,10.33,1.32,0.806
"906",106.558226,-47.587185,34269,10.54,21.26,134.6,-145.36,1.26,1.161
"907",106.570016,22.683489,34271,8.25,22.77,-89.12,-77.67,1.03,0.702
"908",107.001008,15.528596,34407,7.8,21.96,-51.42,-206.54,1.05,0.56
"909",107.049922,15.520848,34426,7.7,22.23,-56.97,-212.48,1.04,0.53
"910",107.176548,-70.497087,34473,5.68,22.16,17.17,104.08,4.14,0.436
"911",107.186941,-70.498932,34481,3.78,23.02,23.71,108.06,0.69,1.006
"912",107.270652,15.421586,34511,8,22.78,-158.51,-287.86,1.1,0.631
"913",107.341967,16.549506,34540,7.77,21.57,-133.05,-138.97,1.19,0.559
"914",107.527828,21.246985,34608,6.43,21.67,-174.67,-473.14,0.82,0.88
"915",107.539017,-18.685637,34617,6.23,20.08,11.68,-16.71,1.1,0.419
"916",107.804891,-58.016354,34698,10.2,23.63,-308.22,165.4,1.1,1.17
"917",107.811336,32.615019,34700,8.01,21.86,-110.82,-5.71,1.1,0.573
"918",107.83118,33.111863,34714,7.16,21.82,-111.55,-8,1.02,0.431
"919",108.017039,-30.821365,34782,6.1,21.02,-43.6,23.11,0.61,0.273
"920",108.073468,-67.782746,34805,7.33,21.62,198.51,-202.94,0.54,0.737
"921",108.204528,27.224823,34860,6.46,22.65,13.25,-97.78,2.03,0.502
"922",108.786629,15.929147,35071,11.49,21.84,211.8,-172.32,3.27,0.94
"923",108.976772,43.561856,35145,8.5,22.07,0.04,-66.09,1.32,0.744
"924",109.151785,1.878768,35209,7.34,24.32,60.05,-115.68,0.97,0.609
"925",109.4105,9.292085,35310,6.72,22.85,4.44,-114.02,1.79,0.565
"926",109.551336,-51.050468,35359,7.52,20.17,25.95,-152.15,0.6,0.556
"927",109.734574,-45.297264,35437,7.17,21.28,-237.8,112.01,0.58,0.519
"928",109.867425,-16.395244,35487,5.7,22.71,165.37,-136.41,0.8,0.346
"929",110.508528,68.274338,35706,10.11,21.75,41.14,122.83,1.91,1.14
"930",110.540402,-1.862725,35718,8.73,22.06,-369.14,256.15,1.14,0.774
"931",110.611311,8.902008,35750,9.37,22.4,184.88,-315.51,1.61,0.897
"932",110.769194,18.273412,35803,6.78,22.68,-36.66,-42,1.09,0.455
"933",110.868797,25.050531,35846,5.04,21.17,-66.59,-28.44,0.91,0.902
"934",110.948582,10.706042,35873,9.46,23.12,8.37,-7.58,8.74,0.969
"935",111.010939,67.353117,35900,10.31,22.16,35.91,-169.49,1.67,0.951
"936",111.039107,-58.491949,35910,6.58,20.61,-87.79,137.52,0.53,0.71
"937",111.238161,-38.351966,35985,9.48,20.44,-3.56,-119.3,1.25,0.888
"938",111.246991,46.099614,35989,9.16,20.44,-289.37,-310.08,1.46,0.814
"939",111.249969,-38.349699,35992,9.65,20.73,-3,-118.82,1.5,0.944
"940",111.325139,56.569158,36014,7.69,24.06,-56.05,-58.55,1.02,0.603
"941",111.515047,-15.665917,36081,6.88,23.59,-64.75,-103.65,0.9,0.62
"942",111.629848,60.545478,36129,8.64,24.63,-145.92,-476.26,1.12,0.845
"943",112.018141,30.322406,36272,8.96,21.41,-20.56,-154.23,1.33,0.894
"944",112.027617,76.121472,36277,10.53,21.32,193.56,-333.17,1.61,0.848
"945",112.049927,9.498196,36290,8.8,23.15,-68.61,-269.43,1.26,0.76
"946",112.06688,46.286096,36294,7.93,20.2,-26.6,-75.96,1.04,0.599
"947",112.107268,4.153188,36310,8.15,21.33,-148.47,-38.69,1.19,0.775
"948",112.139871,19.653043,36319,9.26,23.47,115.56,-248.57,1.64,0.77
"949",112.335172,28.118275,36393,5.07,20,-33.3,-52.91,0.97,0.12
"950",112.597471,19.813922,36481,7.07,24.21,58.5,-127.99,1.12,0.604
"951",112.609275,13.864956,36485,7.16,20.92,-43,-21.23,1.21,0.505
"952",112.620904,18.961283,36491,8.48,20,29.21,-436.67,1.66,0.538
"953",112.633361,13.844405,36497,7.95,20.02,-32.87,-30.46,0.98,0.586
"954",112.664901,27.908736,36509,7.11,21.42,-46.48,-42.15,1.05,0.465
"955",112.967103,-61.692189,36622,8.78,20.26,57.9,16.18,0.77,0.722
"956",113.298608,3.290379,36723,5.59,23.44,-15.73,42.84,0.77,0.321
"957",113.318323,-22.301519,36731,8.32,22.34,46.84,-247.05,1.22,0.671
"958",113.620403,-13.870176,36836,6.71,21.8,-35.1,94.51,0.86,0.488
"959",113.684949,-66.643508,36866,8.79,22.27,-37.84,230.54,0.77,0.853
"960",113.780892,48.680869,36893,6.97,20.29,4.14,46.62,0.94,0.354
"961",114.14461,5.862171,37031,5.89,22.92,-108.76,27.66,0.89,0.602
"962",114.553205,43.573281,37162,9.64,23.45,-116.33,-150.38,2.24,0.966
"963",114.559874,24.360441,37165,6.37,21.27,10.84,19.9,0.83,0.337
"964",114.746356,19.217209,37246,10.84,21.66,52.9,-197.64,2.57,1.596
"965",114.791379,34.584346,37265,4.89,20.62,-35.97,-118.03,0.96,0.413
"966",114.793072,29.908937,37267,10.92,20.47,-168.89,-201.67,2.17,1.277
"967",114.840033,50.528537,37283,6.89,21.54,-79.58,-61.14,0.89,0.473
"968",115.212927,19.589262,37412,9.95,24.02,-351.89,-158.16,1.58,1.14
"969",115.311802,-9.551131,37447,3.94,22.61,-74.8,-19.64,0.8,1.022
"970",115.455255,-72.606098,37504,3.93,24.36,33.38,15.29,0.48,1.033
"971",115.538661,-18.829617,37528,11.06,22.01,276.56,-229.39,2.3,1.252
"972",115.601753,42.939627,37551,10.25,24.42,-177.76,-90.92,2.31,1.061
"973",116.040359,-36.062505,37710,5.8,22.99,-79.39,85.83,0.51,0.32
"974",116.082271,-5.054944,37732,7.72,21.33,-31.63,192.75,1.11,0.612
"975",116.086048,-69.511007,37735,8.79,20.33,2.5,95.17,1.42,0.9
"976",116.111892,24.397993,37740,3.57,22.73,-22.45,-56.24,0.83,0.932
"977",116.196264,-33.731759,37781,8.39,21.34,-64.08,103.25,2.03,0.793
"978",116.885621,9.632559,38021,7.08,23.8,-42.57,152.51,1.03,0.576
"979",117.194372,36.671236,38126,10.02,24.16,-155.67,-155.25,2.01,1.15
"980",117.205414,-38.204068,38129,7.14,23.61,-125.36,-43.6,0.63,0.489
"981",117.223172,-24.973419,38134,7.93,20.14,152.49,-239.09,1.09,0.546
"982",117.328551,24.488725,38172,7.09,23.22,-124.09,-20.88,0.93,0.488
"983",117.472646,86.365276,38225,7.88,21.19,-68.7,-133.95,0.67,0.601
"984",117.498391,-34.495953,38236,10.93,23.8,-145.38,-19.21,1.51,1.686
"985",117.533899,-39.08079,38250,9.26,20.54,-79.37,153.61,0.97,0.815
"986",117.92499,9.386052,38374,8.58,20.06,-76.52,-188.73,1.27,0.726
"987",118.199411,-5.428257,38474,5.76,24.45,-21.36,-28.8,0.95,0.412
"988",118.699913,-49.83622,38646,9.36,20.74,-102.36,256.69,1.06,0.838
"989",118.992613,-9.797206,38747,8.37,20.69,21.01,-25.39,1.15,0.671
"990",119.302501,-14.591051,38862,8,21.75,-252.13,201.37,1,0.63
"991",120.336567,59.047398,39221,5.78,22.94,25.3,32.64,0.78,0.421
"992",120.522346,-12.804623,39298,8.06,23.24,-127.69,-223.46,1.05,0.721
"993",120.608631,4.152071,39325,7.61,23.79,64.4,-105.3,1.62,0.709
"994",120.795582,-54.014427,39391,8.68,20.9,-1.41,-86.53,0.82,0.728
"995",120.824507,37.370298,39400,8.73,20.4,-38.86,22.4,1.2,0.672
"996",120.869723,12.181301,39418,6.74,23.18,-126.25,-57.91,0.98,0.571
"997",120.920199,-24.476353,39436,11.28,22.23,-41.43,51.05,3.16,1.639
"998",121.007846,-35.27618,39470,10.9,23.03,9.39,-82.17,1.51,1.017
"999",121.178135,24.330237,39528,8.43,22.65,-34.16,37.02,1.17,0.727
"1000",121.786483,-36.381413,39720,7.3,21.26,-37.13,100.37,0.67,0.548
"1001",121.787886,7.383379,39721,9.7,24.85,1.37,-141.66,3.92,1.211
"1002",122.008332,-13.508098,39804,7.27,20.32,-25.5,-26.71,0.97,0.541
"1003",122.043929,71.924431,39822,8.18,21.15,-237.91,-448.36,0.93,0.621
"1004",122.045414,9.174085,39821,10.73,21.52,-240.51,111.07,2.87,1.616
"1005",122.206641,-76.63801,39887,8.86,20.52,100.73,-129.45,1.49,0.98
"1006",122.261736,-20.499658,39908,7.62,21.52,9.18,-97.38,0.89,0.555
"1007",122.547843,35.454987,40001,6.65,20.17,220.16,-236.55,0.97,0.538
"1008",122.613256,25.507334,40023,5.73,23.82,-71.82,-348.06,0.74,0.825
"1009",122.790352,-46.297394,40072,8.83,24.98,-124.72,-11.84,1,0.862
"1010",122.834897,47.58124,40089,11.29,24.3,-178.44,-37.57,3.95,1.38
"1011",122.84021,38.731314,40093,6.61,21.97,-107.58,-76.02,0.8,0.593
"1012",123.066541,-40.502782,40174,8.19,23.78,-146.62,127.3,0.76,0.619
"1013",123.236999,-40.539495,40227,9.39,20.98,193.97,-151.65,1.08,0.82
"1014",123.440679,63.103957,40298,8.42,24.51,142.98,113.4,1.04,0.676
"1015",123.783359,15.0399,40420,11.01,22.77,-45.31,-228.52,2.3,NA
"1016",123.880043,9.977802,40449,9.62,20.66,-33.78,-145.26,1.62,1.014
"1017",123.937994,-10.448455,40465,9.25,23.07,-63.36,-48.42,1.59,0.965
"1018",124.372284,-3.989615,40613,7.74,20.46,-145.07,-438.72,1.16,0.584
"1019",124.506939,-4.019039,40663,8.8,21.83,-200.35,-37.25,1.58,0.826
"1020",124.697306,-3.361485,40732,11.48,21.41,-232.59,35.97,4.02,1.207
"1021",125.054164,-0.909314,40858,6.18,24.5,39.29,-86.53,1.14,0.607
"1022",125.160585,-77.484477,40888,4.34,21.22,-129.09,40.78,0.47,1.161
"1023",125.33639,34.309969,40942,8.48,23.12,-116.45,-109.92,1.17,0.737
"1024",126.138581,-1.148408,41209,7.07,22.91,85.24,-188.61,0.95,0.589
"1025",126.189168,17.181752,41226,7.06,21.49,9.12,-126.18,0.95,0.539
"1026",126.297571,32.60914,41269,10.1,24.18,13.71,-674.83,1.83,1.021
"1027",126.308673,-7.170236,41274,7.35,20.2,-117.76,-9.56,0.9,0.952
"1028",126.320456,4.253548,41277,10.39,21.6,-54.64,-96.35,1.94,1.03
"1029",126.457817,17.046267,41319,6.11,22.24,-192.75,-152.48,0.92,0.448
"1030",126.465014,-16.379804,41322,10.24,20.49,-186.39,26.17,2.7,1.338
"1031",126.549915,-5.7515,41351,9.19,23.31,115.47,-151.33,1.72,0.851
"1032",126.739595,-0.341928,41425,9.95,21.11,-214.74,-36.33,1.95,1.01
"1033",126.753738,21.956859,41431,10.89,20.6,-1,22.71,2.59,1.38
"1034",126.896359,-5.148635,41479,7.17,23.89,-125.04,-79.9,1.01,0.646
"1035",127.037356,47.302191,41526,7.98,22.29,-11.19,-45.78,1.02,0.639
"1036",127.150041,1.24749,41573,7.4,22.26,-46.1,-16.73,1.07,0.525
"1037",127.215817,53.862205,41598,7.12,23.73,86.5,-59.77,0.8,0.565
"1038",127.361788,55.123308,41637,11.97,20.22,156.02,-328.11,7.67,1.237
