"","R.A.","Dec.","Mag","Vel","SigVel"
"615",194.32917,-31.80944,15.25,8289,97
"616",194.33292,-30.36472,15.8,16540,30
"617",194.33458,-31.18917,18.05,16575,31
"618",194.33708,-30.36056,0,17131,53
"619",194.33708,-30.35694,17.4,17065,46
"620",194.33875,-30.35917,0,15622,55
"621",194.33875,-28.50611,17.23,20096,25
"622",194.34125,-30.36361,16,16247,21
"623",194.34167,-31.39806,16.61,17815,61
"624",194.34167,-29.88722,17.4,3110,15
"625",194.34583,-32.31222,16.3,3303,101
"626",194.34792,-30.45528,18.54,16999,35
"627",194.34958,-30.3325,18.1,15602,33
"628",194.35125,-28.70444,18.28,19816,29
"629",194.35167,-30.38639,16.5,16754,40
"630",194.35167,-28.54056,18.37,16960,28
"631",194.35333,-29.06222,15.62,17863,129
"632",194.36208,-30.35806,18.41,16872,36
"633",194.36417,-30.59778,17.89,16721,29
"634",194.36667,-30.70417,15.58,12097,109
"635",194.36917,-29.00556,16.82,18745,15
"636",194.37,-28.205,14.31,4825,10
"637",194.37458,-27.87306,15.91,17497,139
"638",194.3775,-28.63583,18.65,20310,19
"639",194.3825,-31.35028,14.84,7486,40
"640",194.3875,-29.04167,18.25,22723,15
"641",194.39083,-31.35972,18.1,16623,41
"642",194.39125,-31.59917,16.3,2978,74
"643",194.39542,-30.45056,15.36,17241,64
"644",194.39542,-32.96056,16.3,22462,57
"645",194.39542,-28.31556,18.58,23010,46
"646",194.39583,-29.03056,17.25,17709,70
"647",194.40042,-28.6425,18.6,19674,43
"648",194.4125,-30.91611,17,16376,56
"649",194.41333,-28.46528,17.21,4998,95
"650",194.41417,-30.34472,18.17,16197,49
"651",194.415,-28.5225,18.53,20109,81
"652",194.41708,-31.20361,18.5,22935,57
"653",194.42125,-28.40639,19.32,19749,105
"654",194.42333,-27.97083,16.5,19934,302
"655",194.42458,-29.605,16.4,16806,110
"656",194.42583,-32.85056,15.3,22453,24
"657",194.42917,-29.76667,0,3085,25
"658",194.43,-28.59278,18.65,19602,32
"659",194.4325,-28.4175,19.27,20151,95
"660",194.43708,-29.76639,13.81,3055,22
"661",194.43833,-30.39722,0,17478,60
"662",194.4425,-31.29333,18.45,16704,33
"663",194.44417,-28.52833,19.01,20105,96
"664",194.44583,-28.54139,17.61,20279,32
"665",194.44667,-30.30306,0,16833,60
"666",194.44667,-28.51556,19.18,20626,89
"667",194.4475,-28.52222,18.58,20983,56
"668",194.45208,-28.42,0,20086,120
"669",194.45208,-28.5025,18.49,19960,43
"670",194.45333,-28.31556,18.78,19892,145
"671",194.45583,-28.5225,16.84,20142,31
"672",194.45625,-29.86389,16.7,16855,130
"673",194.45708,-28.58222,17.1,17123,57
"674",194.45875,-28.47056,16.84,19970,51
"675",194.45917,-30.46889,0,17523,90
"676",194.46333,-28.68306,19.11,16977,193
"677",194.46625,-28.48306,19.35,19623,97
"678",194.47083,-28.46028,18.21,19547,53
"679",194.47208,-30.25917,17.96,9496,90
"680",194.47208,-28.32722,18.39,20166,44
"681",194.47333,-28.42306,17.19,20094,91
"682",194.47417,-30.71083,16.6,17856,62
"683",194.47625,-30.26194,16,16004,60
"684",194.47792,-28.48,0,19728,43
"685",194.47792,-30.47611,16.5,17473,90
"686",194.47833,-28.47889,0,19722,36
"687",194.48083,-28.47778,0,19705,69
"688",194.48417,-30.67444,16,16226,59
"689",194.48417,-28.50583,18.76,14568,118
"690",194.48625,-28.46944,0,19818,32
"691",194.48667,-31.50944,16.7,17313,83
"692",194.4875,-28.32917,19.17,20562,132
"693",194.48833,-28.18861,16.3,22056,87
"694",194.49,-28.33444,18.11,20382,133
"695",194.49042,-30.32583,18.49,16952,84
"696",194.49125,-28.42389,17.55,17083,54
"697",194.49125,-28.28889,19.22,23843,87
"698",194.4925,-30.30833,0,16863,90
"699",194.49375,-30.13444,15.26,15159,130
"700",194.49917,-29.54556,17.88,31721,59
"701",194.50042,-33.30722,16.3,27992,21
"702",194.50167,-28.47111,18.63,17026,36
"703",194.50417,-28.29778,19.14,19919,17
"704",194.50875,-28.42861,19.31,22527,109
"705",194.50917,-30.2525,0,17373,120
"706",194.515,-28.33222,18.6,19909,51
"707",194.51583,-30.49083,16.2,14955,90
"708",194.5175,-28.4975,15.6,19827,45
"709",194.51792,-30.39722,0,16144,60
"710",194.51792,-28.54833,19.35,20942,115
"711",194.52375,-30.27444,15.43,16662,52
"712",194.52375,-28.28444,17.93,19736,22
"713",194.52583,-28.2975,18.48,19674,62
"714",194.53,-30.47,17.61,22754,12
"715",194.53042,-30.36806,0,16923,90
"716",194.53417,-28.21444,16.4,22781,152
"717",194.535,-29.42,15,25974,88
"718",194.53917,-28.47361,19.4,20370,83
"719",194.54458,-30.58722,15.1,4740,43
"720",194.55708,-28.48944,19.22,20396,200
"721",194.565,-28.2725,17.84,23416,61
"722",194.57625,-33.22833,15.73,2432,5
"723",194.58042,-28.5425,18.73,20094,104
"724",194.58333,-29.81889,17.8,16879,69
"725",194.58625,-28.50389,18.32,20731,43
"726",194.58708,-28.60417,19.22,20208,98
"727",194.58875,-30.27222,0,17163,90
"728",194.59667,-28.24722,18.9,22484,123
"729",194.60042,-28.49167,17.72,20444,36
"730",194.60375,-28.68194,18.46,19183,86
"731",194.61083,-28.27944,18.38,23148,68
"732",194.61167,-28.49556,15.43,20571,92
"733",194.62125,-28.62083,18.28,20379,48
"734",194.63042,-30.1125,15.9,16874,73
"735",194.63292,-31.57556,15.6,15801,77
"736",194.6425,-29.43694,17.78,25656,90
"737",194.64667,-33.0375,14.8,10498,45
"738",194.65208,-28.49528,19.09,32533,47
"739",194.65792,-28.69278,18.4,19344,44
"740",194.65917,-32.5825,15.4,4999,62
"741",194.66333,-29.50861,18.31,32048,171
"742",194.66542,-28.62444,17.05,21062,57
"743",194.66625,-28.25778,17.93,19528,116
"744",194.66667,-32.79111,0,61481,43
"745",194.66917,-28.47944,17.58,20928,13
"746",194.67208,-28.68861,19.04,31627,201
"747",194.67458,-32.12167,15,5217,4
"748",194.67667,-30.04889,16.3,17753,109
"749",194.67708,-32.40722,14.39,9237,64
"750",194.68125,-28.55306,17.45,20823,71
"751",194.68167,-28.40167,19.06,20619,57
"752",194.7,-33.37139,15.9,4898,15
"753",194.70708,-30.545,16.3,15450,86
"754",194.7225,-29.33056,18.66,32077,50
"755",194.72917,-28.6375,18.59,20706,155
"756",194.73917,-32.95944,0,10593,35
"757",194.74,-32.96222,16.69,10603,6
"758",194.75708,-28.55444,19.25,15830,79
"759",194.76375,-31.74694,15.59,15520,86
"760",194.77167,-32.1225,14.38,8442,60
"761",194.78333,-28.27278,16.7,16707,66
"762",194.80625,-31.97861,16.6,12052,81
"763",194.82833,-30.0825,16.2,14739,76
"764",194.83125,-29.61472,15.13,3025,29
"765",194.83167,-29.17833,15.34,2217,69
"766",194.84208,-29.16028,18.68,37148,106
"767",194.86333,-29.81694,17.25,14779,69
"768",194.87875,-28.07472,15.57,3214,140
"769",194.90417,-29.25833,15.5,3213,54
"770",194.91125,-30.45306,15.8,17170,152
"771",194.915,-28.79139,16.4,25271,62
"772",194.91667,-30.58417,16.1,4663,115
"773",194.92792,-33.37194,15.4,4711,11
"774",194.93208,-32.62139,15.36,22833,81
"775",194.94125,-29.60028,14.41,2798,10
"776",194.94542,-29.21111,18.62,33036,145
"777",194.95917,-30.54111,15.9,16274,59
"778",194.98833,-30.91083,16.6,9435,127
"779",195.00625,-33.39444,15.7,35370,22
"780",195.07542,-29.73472,17.56,17183,46
"781",195.0875,-31.95278,15.79,16317,61
"782",195.09875,-31.43833,14.44,3586,33
"783",195.10042,-32.01417,14.57,12359,81
"784",195.11,-32.3025,0,10912,120
"785",195.11417,-32.31556,15.7,10912,120
"786",195.12042,-31.13278,16.6,24756,49
"787",195.1275,-30.865,14.79,17057,93
"788",195.13583,-32.78583,0,4766,120
"789",195.1375,-31.59222,15.86,16787,95
"790",195.1375,-31.4075,16.7,3344,70
"791",195.14583,-28.89333,18.6,20412,14
"792",195.15958,-32.79917,14.25,4697,3
"793",195.17708,-29.855,17.54,18381,22
"794",195.185,-28.49528,16.6,2613,125
"795",195.18917,-32.72861,18.13,5101,150
"796",195.19333,-29.72639,17.45,32185,103
"797",195.20458,-33.35333,0,4977,108
"798",195.21208,-32.21028,16.3,11014,91
"799",195.2175,-30.83111,16.3,9313,79
"800",195.21875,-29.63528,17.8,28528,72
"801",195.225,-32.54083,18.43,29886,128
"802",195.23,-28.80083,18.12,16301,146
"803",195.23417,-28.35306,15.12,2485,53
"804",195.24917,-32.43694,0,5300,200
"805",195.25333,-32.44139,12.9,5109,7
"806",195.2625,-30.47111,15.94,2956,84
"807",195.27542,-31.435,15.97,3439,60
"808",195.28042,-29.90639,18.4,16529,78
"809",195.28417,-28.99944,18.17,19563,38
"810",195.285,-30.81417,14.52,9572,85
"811",195.31167,-29.15194,17.99,25461,84
"812",195.32,-32.96139,17.79,35313,32
"813",195.32583,-32.26722,14.52,4614,39
"814",195.335,-32.40306,14.61,9397,24
"815",195.33917,-28.57306,18.35,22666,111
"816",195.345,-30.935,13.72,4935,10
"817",195.34833,-28.825,17.94,20113,36
"818",195.3575,-32.52083,15.6,25416,45
"819",195.37208,-32.33333,15.4,4962,34
"820",195.37375,-31.10806,15.9,3764,57
"821",195.37792,-30.86833,14.24,5291,6
"822",195.3825,-31.92917,15.83,25297,64
"823",195.38375,-32.29111,13.33,4606,5
"824",195.39917,-30.13194,16,11212,211
"825",195.40083,-30.06583,14.07,2890,60
"826",195.40708,-28.60722,16.3,8499,74
"827",195.41792,-28.00194,16.6,21063,95
"828",195.42375,-30.91222,13.58,5333,23
"829",195.43583,-32.565,18.33,9108,206
"830",195.4475,-32.93306,18.09,16453,123
"831",195.48,-29.12056,18.78,20128,47
"832",195.48458,-29.40694,17.24,14821,66
"833",195.48667,-32.59111,17.2,9259,24
"834",195.49917,-31.05806,16,5432,96
"835",195.50708,-32.61306,15.49,10635,47
"836",195.51792,-32.77528,17.51,9141,133
"837",195.52917,-32.78722,14.33,9346,29
"838",195.53125,-33.12056,15,4995,10
"839",195.53375,-29.21694,16.37,3951,52
"840",195.53375,-32.53972,16.47,5140,12
"841",195.535,-33.05139,16.3,9383,108
"842",195.54458,-33.97528,16.4,4721,12
"843",195.54458,-32.92472,17.85,25623,30
"844",195.54917,-30.43889,14.74,3189,21
"845",195.55333,-32.76694,15.52,9460,112
"846",195.5725,-32.76222,14.89,4905,11
"847",195.5725,-32.37778,15.43,9802,10
"848",195.58583,-30.09944,16.6,15010,56
"849",195.60292,-32.94639,18.32,2978,111
"850",195.60958,-32.02722,15.46,14294,91
"851",195.61375,-32.54278,16.1,9434,77
"852",195.6425,-33.67639,15.5,36189,23
"853",195.64292,-32.985,19.03,8209,116
"854",195.65,-34.31722,15.24,7874,73
"855",195.685,-29.65056,16.7,14732,233
"856",195.68542,-32.67722,0,4865,35
"857",195.68542,-28.83694,18.05,26028,33
"858",195.69042,-32.67861,15.5,4865,35
"859",195.69083,-28.47472,18.28,15304,146
"860",195.70167,-28.75444,18.64,23276,106
"861",195.71792,-32.85583,16.2,4935,93
"862",195.7375,-28.17083,18.48,32293,65
"863",195.75208,-28.52722,15.6,3474,58
"864",195.755,-32.84083,14.36,4846,4
"865",195.755,-36.62778,15.86,3443,36
"866",195.75542,-28.70222,18.55,31959,34
"867",195.76208,-30.79306,13.72,3013,40
"868",195.77333,-28.89472,18.74,32412,56
"869",195.775,-28.14417,16,8549,59
"870",195.78333,-32.96806,18.25,9655,48
"871",195.79458,-31.51194,16.3,16914,78
"872",195.79667,-31.64,16.3,15886,6
"873",195.82,-35.49389,16.6,4819,51
"874",195.82583,-30.52111,13.67,2921,9
"875",195.83708,-32.23472,0,4914,19
"876",195.83833,-33.97861,15.53,23713,68
"877",195.84875,-32.23722,13.95,4852,10
"878",195.85375,-31.3225,14.62,4912,25
"879",195.87375,-29.82889,13.98,2912,8
"880",195.88208,-32.78139,15.1,4820,261
"881",195.88875,-32.86667,14.62,4816,10
"882",195.89625,-28.23389,18.62,20459,39
"883",195.93083,-28.24111,15.01,14523,82
"884",195.93167,-30.28694,15.6,3739,40
"885",195.93417,-28.06917,15.36,14633,127
"886",195.94167,-32.02389,16.5,14168,57
"887",195.95708,-31.47194,15.7,15712,99
"888",195.97583,-36.53694,14.32,10298,56
"889",195.99208,-31.48083,16,16593,136
"890",196.00208,-28.37444,18.6,31361,32
"891",196.0025,-30.36917,13.99,3622,8
"892",196.00708,-27.85806,16.09,3355,136
"893",196.035,-31.27611,15.88,3640,80
"894",196.045,-30.845,16.5,24386,108
"895",196.055,-29.52222,18.24,14562,34
"896",196.065,-36.46722,15.74,27469,33
"897",196.06625,-33.87556,15.8,21437,126
"898",196.06792,-30.51722,0,3186,15
"899",196.06875,-30.5675,16.4,19428,50
"900",196.07125,-30.52639,11.77,3117,8
"901",196.08375,-30.16361,14.78,3603,30
"902",196.085,-32.49056,0,9500,66
"903",196.08667,-35.22778,15.01,2582,5
"904",196.09125,-32.35472,15.13,9667,10
"905",196.09208,-37.51556,15.61,15818,101
"906",196.09417,-31.19528,14.42,15752,109
"907",196.09417,-28.70056,14.49,5664,11
"908",196.09625,-30.42444,14.9,3509,55
"909",196.09667,-28.74472,15.61,5434,16
"910",196.10667,-32.555,16.5,15201,117
"911",196.10833,-29.55111,0,15529,120
"912",196.11625,-29.565,15.93,15441,43
"913",196.12583,-32.25139,15.07,9486,40
"914",196.12625,-28.38944,14.32,5280,124
"915",196.13042,-31.34778,16.5,15564,81
"916",196.13125,-30.17056,13.83,3837,34
"917",196.13292,-29.65694,15.5,9298,38
"918",196.14792,-29.84278,17.82,25772,32
"919",196.165,-29.46389,15.4,3681,62
"920",196.17417,-30.15806,15.3,3545,89
"921",196.19667,-30.36028,16.6,3487,55
"922",196.19833,-28.37167,18.79,14685,13
"923",196.20833,-30.24417,13.72,3188,25
"924",196.20875,-30.74667,17.52,15698,35
"925",196.21083,-30.49056,14.31,3536,40
"926",196.21542,-32.09806,15.7,9502,75
"927",196.2175,-28.60389,18.61,14608,10
"928",196.23292,-32.10306,15.4,9124,90
"929",196.23958,-31.67083,15.8,16055,82
"930",196.245,-36.83833,15.84,17698,13
"931",196.25208,-29.60889,15.8,3528,51
"932",196.26833,-37.59583,0,15567,27
"933",196.26958,-29.18694,18.03,31066,40
"934",196.28292,-28.39611,14.55,9471,93
"935",196.28542,-32.19139,14.7,9478,40
"936",196.28667,-28.39583,17.13,9427,64
"937",196.295,-29.88639,18,17928,72
"938",196.32083,-30.86944,18.66,39399,47
"939",196.325,-28.86028,18.59,14998,10
"940",196.33417,-35.3375,12.62,2409,8
"941",196.33417,-36.08722,15.6,13168,98
"942",196.34458,-35.33417,0,2409,70
"943",196.34583,-30.10278,15.5,3296,62
"944",196.35875,-36.53139,14.9,37525,71
"945",196.35958,-28.97056,18.43,31290,46
"946",196.36625,-29.16972,17.53,30365,81
"947",196.38167,-37.63972,0,13970,14
"948",196.38208,-29.90028,18.07,20303,82
"949",196.3825,-36.03667,16.4,12996,43
"950",196.38333,-29.41667,17.81,19655,23
"951",196.38375,-31.51333,16.2,16313,97
"952",196.38458,-32.96056,15.34,4809,36
"953",196.38708,-28.41111,18.09,22919,60
"954",196.39583,-28.45917,14.48,3407,10
"955",196.39667,-31.04194,17.58,32296,81
"956",196.40292,-29.21,16.48,3530,47
"957",196.40375,-34.29944,15.86,25647,42
"958",196.41458,-37.60389,0,13641,29
"959",196.41875,-37.6125,0,15675,30
"960",196.42083,-31.96083,16.5,13293,55
"961",196.42542,-30.95306,17.5,29902,59
"962",196.43,-29.75472,15.9,3720,93
"963",196.43208,-31.5275,15.56,16416,82
"964",196.43208,-28.4175,17.01,1499,0
"965",196.44125,-29.14472,17.56,31561,31
"966",196.44333,-27.77111,16.5,16301,84
"967",196.44458,-28.42222,15.5,2299,94
"968",196.45583,-36.75028,14.39,10092,72
"969",196.45917,-30.60278,18.73,31889,66
"970",196.46042,-30.54111,18.71,39476,119
"971",196.47292,-28.64917,18.66,31314,71
"972",196.475,-28.33306,17.38,2266,35
"973",196.475,-29.56833,18.72,22248,37
"974",196.47667,-29.08167,15.8,14656,75
"975",196.47833,-32.05306,16.5,9350,86
"976",196.49208,-37.61222,0,51,41
"977",196.50125,-37.51028,16.1,14620,20
"978",196.50417,-37.61639,0,14693,18
"979",196.50458,-37.64889,0,13655,17
"980",196.50958,-37.60083,15.5,14899,97
"981",196.51125,-29.19667,17.06,15063,42
"982",196.51333,-36.00917,15.7,24066,96
"983",196.51833,-34.3175,14.8,14977,71
"984",196.52,-29.75444,13.2,3462,10
"985",196.52667,-29.5675,16.4,15801,77
"986",196.53042,-37.60111,15.7,14836,20
"987",196.53458,-31.71972,15.48,3395,44
"988",196.535,-30.03139,15.33,3129,17
"989",196.53583,-31.48556,15.09,15963,35
"990",196.54375,-37.58583,14.09,4938,47
"991",196.54542,-29.72694,14.8,3303,40
"992",196.55083,-29.55528,16,20188,95
"993",196.55125,-37.58611,0,16074,32
"994",196.55458,-30.16056,14.66,3253,103
"995",196.56,-37.60444,0,14957,21
"996",196.56625,-37.00556,15.65,14943,69
"997",196.58333,-37.59556,0,15125,26
"998",196.58333,-31.09528,17.24,3783,97
"999",196.58375,-29.56333,15.68,20080,71
"1000",196.59042,-34.63278,16.3,36536,50
"1001",196.595,-29.14417,16.5,14802,97
"1002",196.60208,-37.57028,0,37581,42
"1003",196.6025,-29.55056,18.6,20478,64
"1004",196.60333,-30.23972,17.17,15490,105
"1005",196.60333,-28.23694,17.93,38966,44
"1006",196.61042,-37.27056,0,33716,59
"1007",196.61208,-37.62972,0,14335,18
"1008",196.61292,-28.37472,18.37,32462,52
"1009",196.6175,-33.91722,0,13980,150
"1010",196.62,-33.93,16.5,13970,120
"1011",196.62125,-30.16889,15.6,15374,103
"1012",196.62958,-37.55417,0,14825,27
"1013",196.63167,-29.22556,16.3,15038,71
"1014",196.63292,-35.94028,15.78,14737,72
"1015",196.64333,-34.19389,15.62,25475,184
"1016",196.65833,-29.63944,17.18,19754,45
"1017",196.68125,-34.37333,16.6,19102,17
"1018",196.68167,-37.60917,0,15445,71
"1019",196.69333,-34.19972,16.4,29038,30
"1020",196.69458,-28.20389,15.3,23485,88
"1021",196.69667,-37.62528,0,14723,62
"1022",196.69792,-30.19556,17.74,3443,107
"1023",196.71292,-36.9825,15.92,15011,215
"1024",196.71417,-37.56639,15.8,15050,19
"1025",196.71708,-28.93472,17.48,21435,75
"1026",196.72083,-28.55778,13.12,2211,7
"1027",196.72833,-32.33472,16.7,14874,81
"1028",196.73167,-28.66389,17.38,31893,89
"1029",196.73292,-28.88722,18.67,26429,30
"1030",196.73375,-37.36917,15.65,14058,47
"1031",196.75,-37.48222,15.4,14122,17
"1032",196.75083,-28.30694,18.61,6330,60
"1033",196.75458,-30.23917,15.8,3852,85
"1034",196.76667,-29.13361,18.64,35006,122
"1035",196.77125,-32.29861,16.4,9315,60
"1036",196.77417,-30.43583,16,2925,51
"1037",196.77833,-28.82167,18.57,34453,33
"1038",196.78375,-33.86444,14.67,9010,15
"1039",196.78667,-33.86611,0,9260,60
"1040",196.78708,-31.67972,16.5,15873,161
"1041",196.78917,-28.22806,12.75,2265,8
"1042",196.78958,-33.86722,15.5,9091,15
"1043",196.79167,-32.19194,15.88,9342,17
"1044",196.79708,-31.69667,15.7,15493,62
"1045",196.8075,-28.21694,0,2265,15
"1046",196.80792,-30.58778,17.14,3320,10
"1047",196.81792,-37.55056,0,14483,18
"1048",196.82,-28.51389,17.33,22266,262
"1049",196.82042,-34.71333,16.6,38276,88
"1050",196.825,-34.32472,16.5,26202,73
"1051",196.8325,-37.4675,0,15153,29
"1052",196.83375,-36.12667,14.53,15099,75
"1053",196.83833,-30.62167,16,14926,73
"1054",196.85,-31.12417,18.41,36270,46
"1055",196.85667,-37.54111,0,14020,24
"1056",196.85792,-30.37278,18.11,22439,88
"1057",196.85875,-30.44167,16.2,15617,74
"1058",196.87333,-31.455,16.4,15368,79
"1059",196.875,-30.62194,16.6,15258,94
"1060",196.88708,-32.83833,14.24,15419,132
"1061",196.89292,-33.16333,15.9,10180,93
"1062",196.89917,-28.80028,18.52,31765,37
"1063",196.90292,-34.43278,15.97,18872,37
"1064",196.905,-30.23972,17.17,16919,107
"1065",196.90625,-35.63861,17,4197,0
"1066",196.92333,-30.88306,18.66,39162,42
"1067",196.92792,-33.55917,16.1,14073,8
"1068",196.93583,-37.58667,15.31,15024,60
"1069",196.94917,-34.33361,16.1,26249,23
"1070",196.95417,-34.55556,16.7,38790,54
"1071",196.965,-30.655,18.34,14210,45
"1072",196.96708,-30.62222,0,14256,98
"1073",196.96958,-30.37306,15.6,15450,86
"1074",196.97125,-29.27806,18.21,31960,87
"1075",196.97792,-31.77806,16,15906,50
"1076",196.98333,-29.61556,18.78,35135,27
"1077",196.99333,-28.48778,18.11,31823,30
"1078",196.99708,-34.94639,16.4,21645,105
"1079",197.00208,-37.37361,15.48,13228,117
"1080",197.00708,-29.70167,16.1,9381,108
"1081",197.02083,-32.1175,15.45,15372,33
"1082",197.02292,-32.14694,16.7,9766,40
"1083",197.02583,-33.27528,15.64,10171,150
"1084",197.03125,-34.32556,15.69,15174,163
"1085",197.04583,-36.20833,15.87,15763,139
"1086",197.04625,-28.57361,15.67,32243,105
"1087",197.05,-30.56444,18.58,16928,10
"1088",197.05375,-30.16778,15.53,15262,31
"1089",197.07792,-31.06778,15.73,4478,62
"1090",197.0925,-29.39472,18.7,30982,98
"1091",197.11292,-37.6175,16.18,4699,108
"1092",197.115,-34.49972,0,41984,37
"1093",197.11542,-34.42472,15.19,15067,78
"1094",197.14708,-32.14806,15.05,9516,46
"1095",197.16167,-34.39778,16.7,37437,27
"1096",197.16833,-28.59917,18.44,32380,54
"1097",197.17292,-34.57556,0,10339,36
"1098",197.17333,-34.57528,15,10461,7
"1099",197.20625,-29.31778,18.16,32544,66
"1100",197.23542,-34.44444,0,26991,67
"1101",197.24292,-34.20611,0,40254,38
"1102",197.24542,-37.52167,15.9,14312,81
"1103",197.24875,-34.36861,0,21012,70
"1104",197.24917,-34.36889,16.5,20750,72
"1105",197.25167,-34.49361,16.6,15339,59
"1106",197.25208,-32.125,14.93,9786,42
"1107",197.2525,-34.47056,0,26621,50
"1108",197.25792,-34.48056,0,15403,57
"1109",197.26042,-30.77639,17.21,11802,51
"1110",197.26167,-29.22583,15.11,4416,37
"1111",197.27542,-31.66583,16.7,9374,50
"1112",197.27708,-34.67556,16.5,29120,52
"1113",197.2825,-30.62972,18.11,9540,10
"1114",197.29208,-28.64167,13.51,1429,2
"1115",197.29375,-29.2025,16.3,14647,81
"1116",197.31458,-28.71333,18.14,32389,51
"1117",197.33208,-29.54861,17.6,2886,39
"1118",197.33375,-31.89222,14.81,3965,72
"1119",197.34042,-30.86528,14.6,13549,95
"1120",197.34125,-34.76028,15.21,13201,76
"1121",197.34583,-34.50194,15.8,23652,26
"1122",197.34792,-34.50194,0,23640,13
"1123",197.35042,-32.51722,15.9,8823,171
"1124",197.35375,-34.23361,16.7,16911,91
"1125",197.35458,-29.30139,17.44,14861,97
"1126",197.38917,-29.7225,17.34,14948,10
"1127",197.39375,-34.68306,15.91,18578,77
"1128",197.43208,-35.60917,15.4,28284,52
"1129",197.44,-29.21167,18,23714,46
"1130",197.4475,-30.87278,18.36,16908,21
"1131",197.44833,-32.73583,15.09,21832,130
"1132",197.45042,-28.36889,17.78,14304,102
"1133",197.455,-29.34278,18.62,39497,43
"1134",197.45917,-29.51694,18.05,14869,36
"1135",197.46125,-30.515,14.69,4568,40
"1136",197.46125,-34.14944,17,26830,60
"1137",197.47875,-34.35222,0,41337,41
"1138",197.47875,-34.35222,0,41005,45
"1139",197.47875,-29.41194,18.63,39219,54
"1140",197.47917,-30.01667,17.09,16639,77
"1141",197.4825,-37.13833,15.96,14350,61
"1142",197.48542,-30.66972,17.11,13409,117
"1143",197.50083,-30.12556,16.78,14681,129
"1144",197.50083,-30.44833,18.69,31188,53
"1145",197.52208,-31.9025,15.43,15013,75
"1146",197.54417,-31.19056,16.7,14769,92
"1147",197.54583,-28.32972,18.39,35627,73
"1148",197.56667,-32.87778,14.55,9510,109
"1149",197.5825,-28.64611,18.59,39393,95
"1150",197.58583,-29.02111,18.62,39458,185
"1151",197.5925,-27.97083,0,2129,20
"1152",197.5925,-34.61278,15.77,27522,60
"1153",197.595,-27.97583,15.24,2220,5
"1154",197.6075,-34.80417,16.7,27607,27
"1155",197.61,-34.16333,16,22715,37
"1156",197.61875,-30.81556,14.91,9646,45
"1157",197.62667,-30.63528,18.16,9782,28
"1158",197.62708,-34.25361,16.6,27186,64
"1159",197.6275,-34.25361,0,27186,64
"1160",197.65458,-37.30083,14.28,14555,42
"1161",197.65583,-29.02,18.38,32543,62
"1162",197.66875,-33.92556,15.1,25552,59
"1163",197.67583,-28.83889,18.18,4650,10
"1164",197.67667,-31.54444,15.1,9506,57
"1165",197.6775,-29.10972,18.29,30853,45
"1166",197.6775,-30.84083,18.3,35574,78
"1167",197.685,-29.99278,18.74,38941,31
"1168",197.70292,-34.42,0,41316,15
"1169",197.70292,-34.42,0,41052,19
"1170",197.70375,-33.96639,15.72,15113,95
"1171",197.70667,-31.31194,15.53,9349,80
"1172",197.70792,-29.96556,16.3,9580,69
"1173",197.71,-28.70694,18.62,36365,50
"1174",197.72625,-34.62028,16.9,29709,42
"1175",197.72792,-30.39194,18.62,22539,117
"1176",197.73667,-29.64222,18.63,3229,16
"1177",197.74792,-29.97139,18.76,38504,61
"1178",197.74875,-35.57056,16.3,14842,41
"1179",197.74875,-34.12306,16.6,36672,44
"1180",197.75833,-30.96278,18.02,19827,10
"1181",197.76417,-34.00778,15.63,11739,100
"1182",197.77125,-33.99889,0,12508,150
"1183",197.77708,-32.99222,15.87,43801,44
"1184",197.78,-33.08278,14.39,15899,84
"1185",197.78667,-28.00806,14.11,2115,2
"1186",197.80833,-36.67583,15.11,3363,89
"1187",197.81042,-34.09306,15.72,14837,25
"1188",197.82125,-33.6,16.5,10433,76
"1189",197.84083,-34.07944,0,29172,73
"1190",197.84167,-30.34833,17.88,39861,72
"1191",197.845,-28.34861,16.4,14221,130
"1192",197.85083,-29.005,16.4,559,108
"1193",197.85292,-32.3225,15.2,14942,34
"1194",197.87333,-28.785,18.52,31992,39
"1195",197.87792,-34.00583,15.8,29873,22
"1196",197.87833,-34.30417,16.3,26691,18
"1197",197.88167,-30.44222,14.18,9563,63
"1198",197.89,-34.48556,16.4,29529,36
"1199",197.89708,-29.80417,17.78,30573,79
"1200",197.90333,-33.74,17,10161,32
"1201",197.90833,-30.32,16.5,9705,109
"1202",197.91042,-31.92972,15.95,15192,54
"1203",197.9125,-34.09889,16.9,30033,30
"1204",197.91458,-34.36944,16.3,4158,23
"1205",197.92917,-30.5625,15.1,9858,61
"1206",197.93958,-29.61056,18.3,3529,88
"1207",197.95583,-34.30528,15.82,27235,66
"1208",197.97333,-30.26778,18.19,24274,47
"1209",197.98125,-36.06333,14.24,10491,54
"1210",197.99125,-34.17472,16.1,30831,45
"1211",197.99667,-30.09639,16.6,14873,103
"1212",198.005,-33.67167,15.3,10689,140
"1213",198.00917,-34.54306,0,64661,84
"1214",198.01542,-31.94944,16.6,4615,55
"1215",198.01917,-37.45972,15.59,13069,119
"1216",198.02917,-34.59583,14.92,3196,80
"1217",198.03583,-28.50111,17.08,6969,51
"1218",198.04542,-31.44917,15.9,14443,36
"1219",198.05667,-33.99389,16,23075,29
"1220",198.06625,-27.87833,16.17,9600,11
"1221",198.07583,-29.39944,15.7,21146,30
"1222",198.07583,-30.76583,17.02,35933,35
"1223",198.09333,-35.34333,15.83,23360,77
