"","u_g","g_r","r_i","i_z","Class"
"2221",1.168,0.434,0.142,0.026,2
"2222",1.113,0.424,0.134,0.074,2
"2223",1.088,0.383,0.1,0.039,2
"2224",1.583,0.595,0.19,0.13,2
"2225",1.379,0.522,0.163,0.066,2
"2226",1.097,0.468,0.196,-0.005,2
"2227",1.141,0.393,0.102,0.064,2
"2228",0.97,0.346,0.157,0.014,2
"2229",1.547,0.59,0.225,0.075,2
"2230",1.948,0.763,0.254,0.134,2
"2231",1.14,0.444,0.142,0.131,2
"2232",1.469,0.629,0.268,0.135,2
"2233",1.188,0.432,0.109,0.088,2
"2234",1.69,0.669,0.254,0.125,2
"2235",1.489,0.615,0.22,0.103,2
"2236",1.392,0.532,0.202,0.085,2
"2237",1.316,0.534,0.158,0.086,2
"2238",1.651,0.61,0.17,0.132,2
"2239",1.534,0.537,0.209,0.122,2
"2240",1.832,0.635,0.278,0.136,2
"2241",1.36,0.305,0.118,0.075,2
"2242",2.633,1.269,0.575,0.281,2
"2243",1.514,0.597,0.213,0.134,2
"2244",1.5,0.558,0.22,0.165,2
"2245",1.393,0.509,0.08,0.22,2
"2246",1.759,0.615,0.23,0.105,2
"2247",2.44,1.058,0.418,0.21,2
"2248",1.355,0.5,0.167,0.076,2
"2249",2.642,1.314,0.536,0.258,2
"2250",1.126,0.449,0.17,0.047,2
"2251",1.067,0.335,0.145,0.058,2
"2252",1.899,0.727,0.233,0.182,2
"2253",2.202,0.86,0.312,0.157,2
"2254",2.232,0.873,0.321,0.157,2
"2255",1.259,0.458,0.169,0.07,2
"2256",1.188,0.455,0.167,0.028,2
"2257",0.993,0.399,0.126,0.072,2
"2258",1.072,0.419,0.134,0.022,2
"2259",1.697,0.705,0.242,0.169,2
"2260",1.227,0.47,0.158,-0.002,2
"2261",1.359,0.516,0.171,0.057,2
"2262",1.257,0.535,0.184,0.094,2
"2263",2.001,0.763,0.288,0.132,2
"2264",1.746,0.708,0.251,0.156,2
"2265",1.29,0.43,0.128,0.063,2
"2266",1.742,0.252,0.125,0.142,2
"2267",1.226,0.439,0.105,0.106,2
"2268",2.63,1.287,0.793,0.501,2
"2269",1.15,0.416,0.157,0.002,2
"2270",1.143,0.417,0.156,0.029,2
"2271",1.415,0.527,0.172,0.088,2
"2272",2.711,1.298,0.691,0.334,2
"2273",1.38,0.621,0.244,0.09,2
"2274",2.458,1.144,0.434,0.228,2
"2275",1.853,0.878,0.277,0.141,2
"2276",2.428,1.096,0.034,0.595,2
"2277",1.011,0.334,0.16,-0.004,2
"2278",1.405,0.607,0.207,0.068,2
"2279",1.313,0.496,0.183,0.078,2
"2280",2.112,0.82,0.277,0.153,2
"2281",1.027,0.362,0.082,-0.007,2
"2282",2.603,1.19,0.447,0.233,2
"2283",1.454,0.627,0.214,0.055,2
"2284",1.586,0.656,0.041,0.218,2
"2285",1.183,0.336,0.131,0.063,2
"2286",1.696,0.675,0.251,0.187,2
"2287",2.23,0.995,0.393,0.258,2
"2288",1.633,0.609,0.253,0.103,2
"2289",1.403,0.514,0.199,0.057,2
"2290",1.142,0.334,0.171,0.028,2
"2291",2.572,1.209,0.485,0.25,2
"2292",1.16,0.513,0.188,0.111,2
"2293",2.338,1.187,0.473,0.288,2
"2294",1.049,0.345,0.132,0.021,2
"2295",2.067,0.895,0.332,0.155,2
"2296",0.83,0.3,0.095,0.003,2
"2297",2.219,0.936,0.349,0.204,2
"2298",1.698,0.683,0.284,0.115,2
"2299",1.172,0.493,0.172,0.063,2
"2300",1.861,0.702,0.201,0.105,2
"2301",1.595,0.643,0.251,0.18,2
"2302",1.163,0.106,0.008,0.01,2
"2303",2.004,0.852,0.276,0.169,2
"2304",1.116,0.122,0.009,-0.067,2
"2305",1.291,0.479,0.233,0.073,2
"2306",2.317,0.94,0.335,0.131,2
"2307",1.464,0.471,0.178,0.135,2
"2308",1.237,0.633,0.239,0.136,2
"2309",0.975,0.284,0.102,-0.01,2
"2310",1.081,0.422,0.098,-0.017,2
"2311",1.325,0.461,0.163,-0.01,2
"2312",1.171,0.385,0.175,0.004,2
"2313",0.939,0.292,0.083,0.041,2
"2314",1.642,0.577,0.246,0.061,2
"2315",1.019,0.285,0.092,0.009,2
"2316",2.41,1.074,0.406,0.202,2
"2317",1.524,0.619,0.206,0.077,2
"2318",1.132,0.378,0.107,0.015,2
"2319",1.065,0.382,0.143,0.065,2
"2320",0.969,0.349,0.141,0.025,2
"2321",1.862,0.726,0.216,0.129,2
"2322",1.507,0.577,0.222,0.053,2
"2323",0.883,0.313,0.13,-0.01,2
"2324",1.89,0.712,0.272,0.116,2
"2325",1.003,0.383,0.166,0.039,2
"2326",0.914,0.323,0.114,0.049,2
"2327",1.556,0.586,0.213,0.144,2
"2328",1.258,0.384,0.21,0.078,2
"2329",1.869,0.694,0.233,0.145,2
"2330",1.4,0.513,0.213,0.082,2
"2331",1.165,0.427,0.196,0.061,2
"2332",2.313,1.08,0.424,0.255,2
"2333",1.411,0.542,0.175,0.088,2
"2334",0.891,0.214,0.086,0.023,2
"2335",1.302,0.453,0.157,0.043,2
"2336",2.54,1.115,0.423,0.238,2
"2337",1.489,0.522,0.157,0.083,2
"2338",1.064,0.4,0.237,0.124,2
"2339",1.619,0.621,0.247,0.104,2
"2340",2.44,1.244,0.246,0.57,2
"2341",0.822,0.246,0.101,0.008,2
"2342",1.334,0.454,0.171,0.037,2
"2343",1.721,0.638,0.26,0.091,2
"2344",1.585,0.559,0.218,0.097,2
"2345",0.943,0.264,0.251,-0.09,2
"2346",1.152,0.386,0.126,0.045,2
"2347",1.09,0.453,0.11,0.035,2
"2348",2.539,1.13,0.466,0.267,2
"2349",1.474,0.569,0.214,0.121,2
"2350",2.396,1.145,0.463,0.287,2
"2351",1.891,0.748,0.289,0.134,2
"2352",2.164,0.875,0.307,0.162,2
"2353",1.336,0.589,0.238,0.101,2
"2354",1.395,0.52,0.193,0.029,2
"2355",2.66,1.179,0.463,0.223,2
"2356",2.141,0.899,0.345,0.178,2
"2357",0.977,-0.229,-0.194,-0.141,2
"2358",2.26,0.895,0.285,0.204,2
"2359",2.075,0.806,0.303,0.135,2
"2360",2.408,0.938,0.301,0.178,2
"2361",1.328,0.457,0.178,0.071,2
"2362",2.106,0.8,0.22,0.162,2
"2363",1.568,0.635,0.225,0.069,2
"2364",1.638,0.593,0.237,0.054,2
"2365",1.75,0.592,0.227,0.058,2
"2366",2.589,1.377,0.628,0.292,2
"2367",2.563,1.195,0.483,0.249,2
"2368",1.136,0.392,0.134,0.058,2
"2369",1.198,0.46,0.16,0.067,2
"2370",1.028,0.357,0.121,0.029,2
"2371",1.11,0.388,0.151,0.012,2
"2372",1.384,0.599,0.285,0.184,2
"2373",2.04,0.754,0.198,0.124,2
"2374",1.937,0.838,0.307,0.182,2
"2375",2.559,1.139,0.439,0.189,2
"2376",2.342,0.938,0.312,0.181,2
"2377",0.97,0.308,0.071,0.042,2
"2378",1.192,0.409,0.137,0.03,2
"2379",1.2,0.468,0.184,0.039,2
"2380",1.886,0.707,0.215,0.125,2
"2381",1.109,0.44,0.193,0.012,2
"2382",2.141,0.887,0.303,0.247,2
"2383",1.406,0.467,0.089,0.098,2
"2384",1.556,0.567,0.148,0.134,2
"2385",1.226,0.428,0.134,0.13,2
"2386",2.259,1.072,0.305,0.291,2
"2387",1.724,0.664,0.115,0.221,2
"2388",2.146,0.883,0.135,0.49,2
"2389",1,0.413,0.113,0.083,2
"2390",1.12,0.459,0.149,0.03,2
"2391",0.943,0.298,0.034,0.158,2
"2392",1.775,0.671,0.182,0.227,2
"2393",1.296,0.464,0.16,0.105,2
"2394",1.234,0.421,0.11,0.059,2
"2395",0.955,0.315,0.152,0.084,2
"2396",1.706,0.694,0.162,0.19,2
"2397",1.522,0.535,0.193,0.067,2
"2398",1.265,0.548,0.187,0.107,2
"2399",1.724,0.659,0.233,0.144,2
"2400",0.885,0.267,0.108,0.057,2
"2401",2.218,0.848,0.337,0.169,2
"2402",2.249,0.934,0.356,0.234,2
"2403",2.379,1.124,0.464,0.224,2
"2404",0.987,0.327,0.136,-0.025,2
"2405",2.463,1.023,0.401,0.18,2
"2406",2.563,1.115,0.443,0.229,2
"2407",1.681,0.621,0.252,0.129,2
"2408",1.547,0.596,0.207,0.086,2
"2409",1.782,0.684,0.263,0.121,2
"2410",1.043,0.392,0.144,0.071,2
"2411",2.107,0.966,0.368,0.219,2
"2412",1.706,0.634,0.23,0.113,2
"2413",1.493,0.477,0.179,0.018,2
"2414",1.263,0.525,0.102,0.08,2
"2415",2.497,1.096,0.372,0.262,2
"2416",1.251,0.426,0.143,0.105,2
"2417",1.164,0.463,0.172,0.074,2
"2418",1.314,0.477,0.152,0.087,2
"2419",1.408,0.515,0.188,0.08,2
"2420",2.719,1.381,0.868,0.411,2
"2421",1.33,0.466,0.188,0.079,2
"2422",1.209,0.401,0.177,0.055,2
"2423",0.996,0.324,0.146,0.04,2
"2424",1.693,0.682,0.265,0.133,2
"2425",1.33,0.509,0.199,0.073,2
"2426",1.016,0.391,0.209,-0.066,2
"2427",1.421,0.563,0.221,0.063,2
"2428",2.148,0.867,0.347,0.171,2
"2429",2.494,1.098,0.47,0.124,2
"2430",2.344,0.997,0.427,0.091,2
"2431",1.194,0.488,0.209,0.089,2
"2432",1.132,0.414,0.155,0.057,2
"2433",1.417,0.506,0.171,0.081,2
"2434",1.293,0.44,0.158,0.066,2
"2435",1.113,0.392,0.122,0.052,2
"2436",2.138,0.903,0.341,0.168,2
"2437",2.1,0.896,0.326,0.158,2
"2438",2.205,0.856,0.362,0.177,2
"2439",2.367,0.981,0.352,0.15,2
"2440",1.592,0.635,0.353,-0.046,2
"2441",2.489,1.092,0.423,0.192,2
"2442",1.14,0.22,0.022,-0.005,2
"2443",2.397,1.001,0.412,0.265,2
"2444",1.33,0.523,0.181,0.074,2
"2445",1.344,0.546,0.196,0.108,2
"2446",0.951,0.266,0.133,0.018,2
"2447",2.197,0.898,0.36,0.135,2
"2448",1.274,0.524,0.219,0.077,2
"2449",1.708,0.721,0.258,0.083,2
"2450",1.022,0.085,-0.016,-0.055,2
"2451",1.232,0.45,0.15,0.066,2
"2452",2.507,1.212,0.452,0.211,2
"2453",1.877,0.75,0.253,0.144,2
"2454",2.592,1.207,0.471,0.278,2
"2455",0.961,0.218,0.052,0.037,2
"2456",1.614,0.668,0.274,0.14,2
"2457",2.642,1.242,0.501,0.288,2
"2458",1.502,0.59,0.19,0.076,2
"2459",1.034,0.447,0.144,0.074,2
"2460",1.083,0.508,0.205,0.08,2
"2461",1.75,0.819,0.283,0.174,2
"2462",1.199,0.498,0.267,0.016,2
"2463",0.949,0.406,0.142,0.034,2
"2464",2.719,1.396,0.67,0.404,2
"2465",1.136,-0.137,-0.149,-0.046,2
"2466",1.012,0.493,0.18,-0.055,2
"2467",1.174,0.49,0.181,0.136,2
"2468",1.008,0.445,0.177,0.087,2
"2469",0.908,0.276,0.156,-0.067,2
"2470",1.522,0.641,0.3,0.038,2
"2471",2.18,0.858,0.327,0.159,2
"2472",1.043,0.059,-0.002,-0.069,2
"2473",1.473,0.582,0.213,0.088,2
"2474",2.792,1.3,0.57,0.311,2
"2475",2.632,1.22,0.489,0.329,2
"2476",1.319,0.439,0.143,0.052,2
"2477",2.632,1.277,0.518,0.299,2
"2478",0.95,0.331,0.13,-0.003,2
"2479",1.045,0.369,0.107,0.051,2
"2480",2.14,0.823,0.264,0.144,2
"2481",2.502,1.158,0.416,0.253,2
"2482",1.013,0.308,0.126,0.016,2
"2483",2.583,1.282,0.59,0.329,2
"2484",1.175,0.422,0.171,0.074,2
"2485",2.15,0.858,0.329,0.132,2
"2486",1.194,0.468,0.168,0.078,2
"2487",1.074,0.447,0.147,0.078,2
"2488",0.824,0.289,0.142,0.007,2
"2489",1.127,0.417,0.144,0.055,2
"2490",1.128,0.43,0.143,0.044,2
"2491",1.401,0.524,0.188,0.1,2
"2492",1.938,0.844,0.368,0.227,2
"2493",1.75,0.688,0.269,0.141,2
"2494",2.613,1.345,0.863,0.44,2
"2495",1.772,0.647,0.231,0.118,2
"2496",2.803,1.362,0.675,0.424,2
"2497",1.703,0.64,0.271,0.12,2
"2498",0.918,0.303,0.22,-0.022,2
"2499",1.003,0.34,0.16,0.024,2
"2500",1.027,0.399,0.185,0.065,2
"2501",1.115,0.446,0.222,0.059,2
"2502",1.091,0.372,0.171,0.039,2
"2503",1.19,0.419,0.116,0.056,2
"2504",2.602,1.328,0.613,0.335,2
"2505",1.386,0.532,0.237,0.1,2
"2506",1.465,0.57,0.201,0.072,2
"2507",2.315,1.101,0.39,0.23,2
"2508",1.021,0.243,0.287,0.008,2
"2509",0.861,0.3,0.08,0.002,2
"2510",2.103,0.9,0.268,0.242,2
"2511",1.882,0.76,0.255,0.096,2
"2512",1.45,0.544,0.18,0.046,2
"2513",2.3,0.928,0.303,0.209,2
"2514",1.316,0.461,0.175,0.083,2
"2515",1.575,0.65,0.27,0.153,2
"2516",1.047,0.474,0.178,0.048,2
"2517",2.444,1.109,0.506,0.234,2
"2518",1.146,0.197,0.037,-0.034,2
"2519",1.902,0.717,0.284,0.13,2
"2520",1.062,0.402,0.13,0.084,2
"2521",1.194,0.397,0.198,0.04,2
"2522",2.096,0.763,0.333,0.124,2
"2523",2.393,1.008,0.349,0.186,2
"2524",1.537,0.596,0.205,0.099,2
"2525",1.347,0.461,0.149,0.068,2
"2526",2.409,1.189,0.464,0.152,2
"2527",2.578,1.44,0.593,0.377,2
"2528",1.145,0.393,0.13,0.043,2
"2529",1.6,0.627,0.243,0.073,2
"2530",1.158,0.48,0.132,0.034,2
"2531",1.185,0.412,0.129,0.043,2
"2532",1.119,0.448,0.14,0.032,2
"2533",2.601,1.276,0.565,0.295,2
"2534",1.026,0.317,0.164,0.035,2
"2535",1.825,0.832,0.374,0.156,2
"2536",0.883,0.33,0.113,0.021,2
"2537",0.852,0.285,0.09,0.012,2
"2538",1.947,0.743,0.258,0.11,2
"2539",1.209,0.461,0.18,0.069,2
"2540",1.801,0.625,0.251,0.108,2
"2541",1.454,0.5,0.174,0.171,2
"2542",1.056,0.332,0.097,0.094,2
"2543",0.951,0.284,0.128,0.047,2
"2544",1.38,0.492,0.245,0.128,2
"2545",0.919,0.275,0.107,0.062,2
"2546",1.277,0.389,0.231,-0.049,2
"2547",2.026,0.782,0.326,0.16,2
"2548",1.907,0.657,0.249,0.111,2
"2549",1.346,0.454,0.11,0.024,2
"2550",1.039,0.317,0.037,0.033,2
"2551",1.345,0.481,0.122,0.062,2
"2552",1.632,0.67,0.324,0.13,2
"2553",1.381,0.461,0.164,0.04,2
"2554",1.454,0.555,0.186,0.024,2
"2555",1.487,0.608,0.244,0.143,2
"2556",2.508,1.408,0.892,0.387,2
"2557",2.166,0.846,0.383,0.157,2
"2558",1.364,0.57,0.232,0.114,2
"2559",1.399,0.519,0.183,0.054,2
"2560",1.006,0.288,0.07,-0.018,2
"2561",1.189,0.456,0.15,0.056,2
"2562",1.485,0.544,0.187,0.053,2
"2563",0.896,0.264,0.082,0.035,2
"2564",1.646,0.719,0.3,0.168,2
"2565",1.38,0.495,0.179,0.07,2
"2566",1.464,0.528,0.254,0.127,2
"2567",1.146,0.353,0.115,0.037,2
"2568",1.951,0.793,0.271,0.152,2
"2569",2.107,0.817,0.279,0.157,2
"2570",1.117,0.36,0.133,0.047,2
"2571",1.071,0.413,0.162,0.073,2
"2572",1.26,0.461,0.167,0.059,2
"2573",1.714,0.664,0.229,0.114,2
"2574",0.911,0.304,0.123,0,2
"2575",1.764,0.658,0.228,0.114,2
"2576",1.103,-0.102,-0.139,-0.097,2
"2577",1.257,0.466,0.187,0.036,2
"2578",1.606,0.643,0.234,0.109,2
"2579",1.991,0.77,0.285,0.158,2
"2580",1.704,0.653,0.245,0.153,2
"2581",0.974,0.253,0.102,0.001,2
"2582",0.928,0.209,0.061,0.005,2
"2583",1.327,0.456,0.209,0.089,2
"2584",1.957,0.778,0.208,0.138,2
"2585",1.751,0.679,0.222,0.088,2
"2586",1.231,0.483,0.167,0.066,2
"2587",0.989,0.388,0.175,0.072,2
"2588",2.404,0.949,0.346,0.193,2
"2589",1.579,0.585,0.239,0.159,2
"2590",1.574,0.615,0.212,0.096,2
"2591",1.272,0.434,0.192,0.043,2
"2592",1.117,0.387,0.17,0.017,2
"2593",1.006,0.192,0.065,-0.038,2
"2594",1.197,0.428,0.216,0.033,2
"2595",1.441,0.469,0.177,0.021,2
"2596",1.294,0.545,0.191,0.038,2
"2597",1.275,-0.154,-0.128,-0.132,2
"2598",1.891,0.746,0.256,0.118,2
"2599",1.346,0.484,0.124,0.029,2
"2600",1.378,0.525,0.202,0.055,2
"2601",2.073,0.731,0.297,0.114,2
"2602",1.12,0.5,0.136,0.021,2
"2603",1.165,0.44,0.171,-0.005,2
"2604",1.104,0.336,0.152,0.026,2
"2605",1.948,0.761,0.294,0.149,2
"2606",1.617,0.528,0.295,0.083,2
"2607",1.119,0.315,0.159,0.028,2
"2608",1.715,0.619,0.239,0.135,2
"2609",1.365,0.448,0.184,0.068,2
"2610",1.931,0.686,0.248,0.061,2
"2611",1.133,0.363,0.131,0.017,2
"2612",1.577,0.64,0.304,0.1,2
"2613",1.698,0.574,0.236,0.086,2
"2614",2.508,1.287,0.88,0.422,2
"2615",1.931,0.714,0.271,0.138,2
"2616",2.546,1.37,0.671,0.366,2
"2617",1.982,0.774,0.282,0.133,2
"2618",1.833,0.664,0.261,0.126,2
"2619",1.916,0.777,0.296,0.129,2
"2620",1.643,0.555,0.186,0.047,2
"2621",1.774,0.712,0.239,0.125,2
"2622",1.007,0.46,0.127,0.059,2
"2623",0.916,0.272,0.19,0.007,2
"2624",2.354,0.98,0.355,0.193,2
"2625",1.003,0.261,0.099,0.019,2
"2626",1.793,0.706,0.283,0.154,2
"2627",0.932,0.331,0.134,0.019,2
"2628",2.759,1.331,0.51,0.323,2
"2629",1.383,0.548,0.217,0.118,2
"2630",1.052,-0.026,0.484,0.047,2
"2631",1.609,0.453,0.532,0.135,2
"2632",1.353,0.526,0.37,-0.112,2
"2633",1.06,0.35,0.162,0.061,2
"2634",1.763,0.669,0.231,0.126,2
"2635",1.764,0.664,0.262,0.106,2
"2636",1.222,0.488,0.209,0.011,2
"2637",0.928,0.321,0.113,0.03,2
"2638",1.763,0.662,0.245,0.087,2
"2639",1.392,0.526,0.169,0.038,2
"2640",1.105,0.402,0.122,0.006,2
"2641",2.324,1.044,0.347,0.144,2
"2642",0.982,0.424,0.183,0.05,2
"2643",1.156,0.449,0.118,0.035,2
"2644",2.24,0.915,0.314,0.158,2
"2645",1.822,0.762,0.245,0.185,2
"2646",2.266,1.153,0.425,0.251,2
"2647",1.227,0.537,0.134,0.083,2
"2648",1.954,0.86,0.305,0.248,2
"2649",1.427,0.594,0.2,0.081,2
"2650",1.112,0.325,0.18,-0.019,2
"2651",1.264,-0.187,-0.149,-0.093,2
"2652",1.293,0.49,0.173,0.052,2
"2653",1.202,0.441,0.16,0.06,2
"2654",2.366,1.047,0.422,0.23,2
"2655",1.065,0.487,0.229,0.042,2
"2656",1.866,0.751,0.263,0.107,2
"2657",2.409,1.326,0.794,0.402,2
"2658",1.255,0.51,0.143,0.056,2
"2659",1.545,0.574,0.203,0.089,2
"2660",1.366,0.487,0.143,0.048,2
"2661",2.455,1.356,0.576,0.322,2
"2662",1.314,0.514,0.181,0.086,2
"2663",2.259,0.966,0.363,0.197,2
"2664",2.308,0.935,0.625,-0.131,2
"2665",1.135,0.425,0.203,0.066,2
"2666",1.908,0.699,0.247,0.053,2
"2667",2.545,1.2,0.417,0.235,2
"2668",1.925,0.74,0.26,0.145,2
"2669",1.265,0.539,0.159,0.087,2
"2670",1.33,0.486,0.159,0.068,2
"2671",0.679,-0.237,-0.246,-0.135,2
"2672",1.243,0.418,0.186,0.02,2
"2673",2.117,0.892,0.302,0.199,2
"2674",1.423,0.516,0.233,0.087,2
"2675",2.281,1.072,0.407,0.229,2
"2676",2.049,0.866,0.269,0.147,2
"2677",2.564,1.219,0.436,0.247,2
"2678",1.58,0.699,0.273,0.145,2
"2679",1.062,0.428,0.119,0.034,2
"2680",1.191,0.584,0.194,0.066,2
"2681",1.566,0.588,0.227,0.092,2
"2682",1.629,0.599,0.201,0.075,2
"2683",0.87,0.265,0.128,0,2
"2684",1.147,0.425,0.147,0.06,2
"2685",1.127,0.452,0.138,0.034,2
"2686",0.991,0.368,0.104,0.037,2
"2687",1.229,0.493,0.199,0.081,2
"2688",1.023,0.33,0.116,0.033,2
"2689",1.712,0.664,0.226,0.104,2
"2690",2.263,0.992,0.336,0.216,2
"2691",1.3,0.496,0.123,0.159,2
"2692",1.665,0.583,0.245,0.106,2
"2693",1.536,0.56,0.188,0.093,2
"2694",1.322,0.549,0.264,0.105,2
"2695",1.93,0.677,0.371,0.126,2
"2696",1.194,0.358,0.239,0.038,2
"2697",1.406,0.441,0.267,0.093,2
"2698",1.563,0.574,0.323,0.136,2
"2699",1.551,0.586,0.249,-0.062,2
"2700",1.322,0.514,0.28,-0.036,2
"2701",2.506,1.398,0.796,0.26,2
"2702",1.139,0.453,0.112,0.164,2
"2703",0.923,0.101,0.233,-0.049,2
"2704",1.031,0.241,0.285,0.044,2
"2705",1.209,0.334,0.331,-0.042,2
"2706",1.787,0.514,0.423,0.09,2
"2707",0.949,0.227,0.332,-0.006,2
"2708",1.999,0.671,0.493,0.08,2
"2709",1.201,0.369,0.122,0.14,2
"2710",2.701,1.089,0.399,0.285,2
"2711",1.425,0.403,0.172,0.114,2
"2712",1.542,0.502,0.24,0.126,2
"2713",1.203,0.415,0.163,0.027,2
"2714",1.315,0.49,0.15,0.086,2
"2715",1.147,0.46,0.157,0.076,2
"2716",1.457,0.568,0.214,0.056,2
"2717",1.366,0.576,0.248,0.099,2
"2718",1.313,0.446,0.175,0.01,2
"2719",1.288,0.475,0.168,0.105,2
"2720",1.058,0,-0.013,-0.039,2
"2721",2.339,0.89,0.335,0.199,2
"2722",2.378,0.968,0.341,0.172,2
"2723",1.184,0.417,0.139,0.025,2
"2724",1.029,0.16,0.002,-0.035,2
"2725",1.116,0.439,0.141,0.077,2
"2726",0.897,0.22,0.064,0.034,2
"2727",2.175,0.92,0.34,0.226,2
"2728",1.544,0.582,0.207,0.107,2
"2729",1.523,0.56,0.21,0.068,2
"2730",1.874,0.757,0.291,0.145,2
"2731",1.107,0.397,0.105,0.057,2
"2732",2.421,1.105,0.432,0.257,2
"2733",1.602,0.622,0.256,0.103,2
"2734",1.363,0.468,0.169,0.046,2
"2735",1.599,0.644,0.27,0.117,2
"2736",2.221,0.937,0.369,0.184,2
"2737",1.208,0.414,0.167,0.016,2
"2738",1.022,0.381,0.115,0.015,2
"2739",2.479,1.115,0.403,0.205,2
"2740",1.293,0.541,0.204,0.118,2
"2741",1.375,0.564,0.248,0.106,2
"2742",2.5,1.066,0.423,0.197,2
"2743",1.04,0.361,0.13,0.051,2
"2744",1.017,0.368,0.129,0.06,2
"2745",0.93,0.258,0.004,0.155,2
"2746",0.954,0.285,0.175,0.009,2
"2747",0.965,0.28,0.067,0.001,2
"2748",0.864,0.352,0.079,0.078,2
"2749",1.373,0.486,0.092,0.159,2
"2750",2.071,0.802,0.27,0.158,2
"2751",2.535,1.272,0.551,0.337,2
"2752",1.569,0.65,0.332,0.114,2
"2753",1.737,0.683,0.139,0.175,2
"2754",1.295,0.549,0.132,0.148,2
"2755",1.544,0.625,0.221,0.19,2
"2756",2.205,0.991,0.336,0.29,2
"2757",2.457,1.278,0.567,0.346,2
"2758",1.207,0.468,0.136,0.035,2
"2759",0.97,0.369,0.111,0.04,2
"2760",1.077,0.364,0.133,0.062,2
"2761",1.003,0.4,0.193,0.119,2
"2762",1.974,0.741,0.292,0.097,2
"2763",1.809,0.651,0.281,0.092,2
"2764",2.342,1.315,0.707,0.388,2
"2765",1.193,0.375,0.185,0.031,2
"2766",1.2,0.545,0.14,0.076,2
"2767",1.054,0.421,0.162,0.097,2
"2768",1.047,0.462,0.198,0.113,2
"2769",1.589,0.578,0.165,0.042,2
"2770",1.289,0.408,0.22,-0.035,2
"2771",1.7,0.613,0.206,0.126,2
"2772",1.137,0.492,0.19,0.061,2
"2773",0.974,0.37,0.127,0.005,2
"2774",1.102,0.394,0.135,0.033,2
"2775",2.04,0.745,0.301,0.129,2
"2776",1.31,0.537,0.184,0.075,2
"2777",0.889,0.24,0.079,0.016,2
"2778",2.423,1.072,0.398,0.232,2
"2779",1.625,0.647,0.244,0.107,2
"2780",1.101,0.381,0.138,0.058,2
"2781",1.159,0.259,0.119,-0.008,2
"2782",2.629,1.236,0.529,0.253,2
"2783",0.916,0.289,0.082,0.02,2
"2784",0.953,0.429,0.176,0.054,2
"2785",1.728,0.674,0.275,0.123,2
"2786",1.507,0.575,0.246,0.088,2
"2787",1.083,0.357,0.141,0.05,2
"2788",2.64,1.35,0.746,0.298,2
"2789",1.459,0.466,0.212,0.129,2
"2790",0.885,0.265,0.094,0.006,2
"2791",2.558,1.22,0.454,0.274,2
"2792",1.492,0.552,0.199,0.101,2
"2793",1.33,0.464,0.285,0.069,2
"2794",1.19,0.393,0.136,0.046,2
"2795",1.337,0.523,0.243,0.11,2
"2796",1.205,0.411,0.141,0.087,2
"2797",1.258,0.463,0.198,0.024,2
"2798",0.943,0.311,0.096,0.037,2
"2799",1.193,0.421,0.142,0.08,2
"2800",2.626,1.232,0.475,0.304,2
"2801",1.206,0.401,0.172,0.063,2
"2802",1.088,0.309,0.158,0.053,2
"2803",1.815,0.621,0.247,0.115,2
"2804",1.376,0.564,0.225,0.075,2
"2805",1.319,0.447,0.16,0.067,2
"2806",1.23,0.398,0.152,0.066,2
"2807",1.234,0.49,0.143,0.064,2
"2808",1.554,0.646,0.291,0.112,2
"2809",1.234,0.479,0.222,0.107,2
"2810",0.996,0.422,0.119,0.041,2
"2811",1.295,0.458,0.171,0.033,2
"2812",2.266,1.067,0.453,0.234,2
"2813",0.928,0.336,0.121,0.033,2
"2814",1.055,0.36,0.089,0.036,2
"2815",1.152,0.353,0.185,0.076,2
"2816",0.955,0.156,0.055,0.034,2
"2817",1.541,0.584,0.222,0.098,2
"2818",0.898,0.332,0.112,0.055,2
"2819",0.822,0.267,0.079,0.082,2
"2820",1.145,0.429,0.132,0.082,2
"2821",1.317,0.438,0.162,-0.013,2
"2822",1.758,0.658,0.14,0.052,2
"2823",2.521,1.256,0.424,0.334,2
"2824",1.099,0.414,0.082,0.099,2
"2825",1.516,0.711,0.198,0.228,2
"2826",2.576,1.103,0.505,0.168,2
"2827",2.554,1.361,0.468,0.332,2
"2828",1.889,0.567,0.427,0.218,2
"2829",1.484,0.523,0.251,0.246,2
"2830",1.427,0.441,0.316,0.118,2
"2831",2.416,1.06,0.69,0.276,2
"2832",2.181,0.891,0.51,0.3,2
"2833",1.517,0.465,0.339,0.091,2
"2834",0.868,0.184,0.211,0.032,2
"2835",1.182,0.344,0.165,0.099,2
"2836",1.431,0.473,0.248,0.079,2
"2837",1.487,0.5,0.238,0.1,2
"2838",2.513,1.345,0.711,0.376,2
"2839",1.356,0.443,0.239,0.04,2
"2840",2.084,0.769,0.25,0.127,2
"2841",1.093,0.334,0.133,0.008,2
"2842",1.845,0.67,0.262,0.122,2
"2843",1.655,0.634,0.268,0.117,2
"2844",1.166,0.397,0.13,0.045,2
"2845",1.213,0.436,0.153,0.065,2
"2846",1.634,0.731,0.302,0.149,2
"2847",1.683,0.601,0.199,0.086,2
"2848",1.114,0.396,0.149,0.048,2
"2849",0.951,0.213,0.074,-0.005,2
"2850",1.073,0.385,0.094,0.092,2
"2851",1.817,0.697,0.273,0.101,2
"2852",1.241,0.441,0.174,0.11,2
