"","fips","pop","unemp"
"1086",21191,7488,11.7
"1087",21193,11473,12.5
"1088",21195,26244,10.7
"1089",21197,5802,16.7
"1090",21199,27559,10
"1091",21201,971,9.6
"1092",21203,7482,12.8
"1093",21205,12453,8.6
"1094",21207,8425,10.8
"1095",21209,22548,9.1
"1096",21211,21589,9.6
"1097",21213,9673,11.8
"1098",21215,9002,10.2
"1099",21217,14079,10.2
"1100",21219,5370,12.6
"1101",21221,6676,16
"1102",21223,4407,10.7
"1103",21225,7741,10.8
"1104",21227,57770,9.2
"1105",21229,5558,12.7
"1106",21231,8757,13.6
"1107",21233,6533,8.8
"1108",21235,15489,11.4
"1109",21237,2308,13.9
"1110",21239,13341,8.3
"1111",22001,27248,7.1
"1112",22003,8944,10.1
"1113",22005,48919,6.7
"1114",22007,10535,8.8
"1115",22009,16480,8.1
"1116",22011,15015,8
"1117",22013,6271,10.5
"1118",22015,52449,6.4
"1119",22017,117946,7.9
"1120",22019,92165,7.2
"1121",22021,4785,10.7
"1122",22023,3525,5.6
"1123",22025,4366,10.3
"1124",22027,6728,10.3
"1125",22029,7899,11.3
"1126",22031,11378,9
"1127",22033,216456,6.8
"1128",22035,3074,14.2
"1129",22037,8094,8
"1130",22039,12754,8.6
"1131",22041,7989,11.3
"1132",22043,8946,8.2
"1133",22045,36155,7.6
"1134",22047,12518,10.4
"1135",22049,6773,7.8
"1136",22051,225260,6.5
"1137",22053,14978,6.4
"1138",22055,111155,5.9
"1139",22057,48568,4.9
"1140",22059,6612,7.3
"1141",22061,19697,7.8
"1142",22063,56076,7
"1143",22065,4744,9.3
"1144",22067,12122,15.1
"1145",22069,17544,8.4
"1146",22071,112898,10.7
"1147",22073,70282,7.6
"1148",22075,9110,6.2
"1149",22077,9562,7.9
"1150",22079,61110,6.9
"1151",22081,3462,9.6
"1152",22083,8980,10.7
"1153",22085,10032,8.1
"1154",22087,10298,10.5
"1155",22089,26674,6.5
"1156",22091,4292,11.8
"1157",22093,9345,10
"1158",22095,23029,8.4
"1159",22097,38544,8.3
"1160",22099,24111,7.5
"1161",22101,23831,8.6
"1162",22103,117315,5.2
"1163",22105,53606,8.1
"1164",22107,2091,13.5
"1165",22109,54583,5.2
"1166",22111,10520,12.2
"1167",22113,24972,7.2
"1168",22115,21534,6.7
"1169",22117,15795,9.6
"1170",22119,20462,9.1
"1171",22121,10689,7.4
"1172",22123,4488,17
"1173",22125,4783,8.2
"1174",22127,6796,9.1
"1175",23001,57551,8.4
"1176",23003,35157,9.3
"1177",23005,156856,6.5
"1178",23007,14029,11.2
"1179",23009,31504,6.8
"1180",23011,63143,7.3
"1181",23013,20400,7
"1182",23015,18267,6.3
"1183",23017,27553,10.9
"1184",23019,78274,8
"1185",23021,7465,11.6
"1186",23023,18416,6.7
"1187",23025,25041,10.7
"1188",23027,18904,7.8
"1189",23029,14433,10.4
"1190",23031,114062,7.4
"1191",24001,35360,7.5
"1192",24003,274347,6.5
"1193",24005,421367,7.7
"1194",24009,46453,5.9
"1195",24011,16088,8.8
"1196",24013,91735,6
"1197",24015,49117,8.6
"1198",24017,74014,5.9
"1199",24019,16641,10.9
"1200",24021,124672,5.9
"1201",24023,16351,6.9
"1202",24025,129382,7.1
"1203",24027,154940,5.4
"1204",24029,10656,7.1
"1205",24031,511897,5.3
"1206",24033,437693,7.3
"1207",24035,25517,6.6
"1208",24037,50172,5.6
"1209",24039,11167,9.5
"1210",24041,18662,6.8
"1211",24043,67925,9.4
"1212",24045,51856,7.7
"1213",24047,28500,7.5
"1214",24510,274763,10.6
"1215",25001,121685,8
"1216",25003,71746,8.4
"1217",25005,287158,11.8
"1218",25007,12099,5
"1219",25009,375753,10.1
"1220",25011,38662,8.7
"1221",25013,221960,10.5
"1222",25015,86427,7.3
"1223",25017,818003,8.1
"1224",25019,9372,5
"1225",25021,357332,8.5
"1226",25023,260676,9.7
"1227",25025,361350,9.3
"1228",25027,402864,10.1
"1229",26001,4384,16.7
"1230",26003,4249,12
"1231",26005,54344,13.2
"1232",26007,15067,13.9
"1233",26009,11977,14.7
"1234",26011,7883,15.8
"1235",26013,4498,24.3
"1236",26015,28725,10.5
"1237",26017,53598,12.3
"1238",26019,8817,12
"1239",26021,76954,13.5
"1240",26023,21821,14
"1241",26025,66597,12.4
"1242",26027,25498,11.4
"1243",26029,14041,13.9
"1244",26031,11698,8.6
"1245",26033,17395,11.6
"1246",26035,12955,16.8
"1247",26037,35872,9.4
"1248",26039,6254,13.7
"1249",26041,19650,11.5
"1250",26043,14116,12
"1251",26045,56590,10.3
"1252",26047,20046,12.2
"1253",26049,189658,15.8
"1254",26051,10518,16.5
"1255",26053,7372,13.3
"1256",26055,48825,12
"1257",26057,19018,13.7
"1258",26059,20911,17.2
"1259",26061,17029,10.2
"1260",26063,15650,14.8
"1261",26065,147911,11.6
"1262",26067,29152,13.4
"1263",26069,11101,16.4
"1264",26071,5669,11.7
"1265",26073,38654,8.5
"1266",26075,73828,14.9
"1267",26077,128413,11.2
"1268",26079,8756,14.3
"1269",26081,308580,11.7
"1270",26083,999,11.9
"1271",26085,3759,17.5
"1272",26087,42633,18.1
"1273",26089,11063,9
"1274",26091,47644,16.1
"1275",26093,89095,13.6
"1276",26095,2716,13.2
"1277",26097,6829,6.1
"1278",26099,409201,18.1
"1279",26101,11622,12.6
"1280",26103,35310,10.1
"1281",26105,14925,12.9
"1282",26107,19491,13
"1283",26109,13053,12.5
"1284",26111,42316,10.2
"1285",26113,6060,15
"1286",26115,74346,14.2
"1287",26117,25934,17.6
"1288",26119,4037,18.9
"1289",26121,87762,16
"1290",26123,21935,13.8
"1291",26125,597767,15.6
"1292",26127,14221,15.2
"1293",26129,9760,12.7
"1294",26131,3197,13.8
"1295",26133,9172,15.3
"1296",26135,4004,19.1
"1297",26137,11826,14.7
"1298",26139,128606,12.8
"1299",26141,6095,16
"1300",26143,10136,14.6
"1301",26145,90445,12.9
"1302",26147,81112,19
"1303",26149,30613,13.9
"1304",26151,20324,17.8
"1305",26153,3845,12.7
"1306",26155,34166,15.2
"1307",26157,26908,16.3
"1308",26159,38536,13.2
"1309",26161,175570,9.3
"1310",26163,870622,18.3
"1311",26165,14078,18.3
"1312",27001,7823,8.1
"1313",27003,191660,7.9
"1314",27005,16725,6.4
"1315",27007,21478,7.2
"1316",27009,22807,7
"1317",27011,2801,4.5
"1318",27013,37095,6.3
"1319",27015,15157,5.5
"1320",27017,17256,7.3
"1321",27019,49997,7
"1322",27021,15084,7.9
"1323",27023,7201,6.1
"1324",27025,27428,8.4
"1325",27027,32917,3.6
"1326",27029,4475,9.1
"1327",27031,3364,4.7
"1328",27033,6216,5.2
"1329",27035,34982,7.4
"1330",27037,230969,6.9
"1331",27039,11248,6.1
"1332",27041,21188,5.6
"1333",27043,8090,7.6
"1334",27045,10967,7
"1335",27047,17032,7.6
"1336",27049,25856,6.7
"1337",27051,3052,6.8
"1338",27053,661513,7.3
"1339",27055,11206,7.1
"1340",27057,9969,7.3
"1341",27059,21681,8.3
"1342",27061,22615,9.2
"1343",27063,6817,4.7
"1344",27065,7792,10.3
"1345",27067,24439,5.5
"1346",27069,2561,5.2
"1347",27071,6679,7.3
"1348",27073,4174,5.4
"1349",27075,6512,7.5
"1350",27077,2238,6.9
"1351",27079,14527,8.6
"1352",27081,3374,4.5
"1353",27083,14913,4.9
"1354",27085,22838,8
"1355",27087,2419,6
"1356",27089,5289,6.2
"1357",27091,11972,6.9
"1358",27093,13157,7.8
"1359",27095,12473,10.5
"1360",27097,18097,9
"1361",27099,21094,5.5
"1362",27101,5650,3.9
"1363",27103,19623,6.1
"1364",27105,11229,4.5
"1365",27107,3597,5.1
"1366",27109,81537,5.5
"1367",27111,30263,6.3
"1368",27113,9085,5.6
"1369",27115,14609,9.1
"1370",27117,5986,5.3
"1371",27119,16936,4.4
"1372",27121,6126,6.4
"1373",27123,273259,7.4
"1374",27125,2392,6.7
"1375",27127,8039,6.1
"1376",27129,9258,6.4
"1377",27131,33976,7.5
"1378",27133,5002,5.1
"1379",27135,9791,5
"1380",27137,104807,8.2
"1381",27139,73408,6.8
"1382",27141,49112,8.1
"1383",27143,9089,6.5
"1384",27145,82932,6.8
"1385",27147,21907,7.7
"1386",27149,5605,4.3
"1387",27151,5256,6.6
"1388",27153,12187,7.5
"1389",27155,1608,6.2
"1390",27157,12575,7.1
"1391",27159,6853,8.8
"1392",27161,11079,7
"1393",27163,128439,6.8
"1394",27165,5398,7.5
"1395",27167,3417,4.7
"1396",27169,30729,7
"1397",27171,66627,8.2
"1398",27173,6161,5.1
"1399",28001,13605,8
"1400",28003,15192,11.3
"1401",28005,5214,8.6
"1402",28007,7272,11.8
"1403",28009,2876,12.6
"1404",28011,14719,9
"1405",28013,5698,9.7
"1406",28015,4868,9.8
"1407",28017,6974,13.2
"1408",28019,3345,11.3
"1409",28021,3527,15
"1410",28023,7192,10
"1411",28025,7560,17.8
"1412",28027,9752,11.1
"1413",28029,11772,9.9
"1414",28031,8653,7.7
"1415",28033,73506,7.2
"1416",28035,34755,7.7
"1417",28037,3141,9
"1418",28039,8974,10
"1419",28041,4805,9.9
"1420",28043,8938,11
"1421",28045,17542,7.5
"1422",28047,82484,7.2
"1423",28049,113726,7.9
"1424",28051,7442,16.6
"1425",28053,4357,10.2
"1426",28055,673,9.2
"1427",28057,10109,9.6
"1428",28059,58490,8
"1429",28061,7180,10.2
"1430",28063,2619,15.5
"1431",28065,5068,10.6
"1432",28067,29197,7.1
"1433",28069,4162,10.3
"1434",28071,22477,6.9
"1435",28073,22303,6.6
"1436",28075,33643,8.7
"1437",28077,5330,10.2
"1438",28079,8026,8.7
"1439",28081,38415,9.8
"1440",28083,13524,11.6
"1441",28085,13913,8.8
"1442",28087,25354,10.2
"1443",28089,43430,6.3
"1444",28091,10579,10.1
"1445",28093,14846,11.2
"1446",28095,15759,13.7
"1447",28097,4632,12.7
"1448",28099,12618,8.4
"1449",28101,9189,7.9
"1450",28103,3836,17.6
"1451",28105,20655,8
"1452",28107,14835,11.9
"1453",28109,20985,8.3
"1454",28111,4864,10.4
"1455",28113,15747,9.8
"1456",28115,13253,8.7
"1457",28117,11293,11.5
"1458",28119,3600,11.1
"1459",28121,69894,5.6
"1460",28123,13735,5.9
"1461",28125,2408,9
"1462",28127,11203,8.2
"1463",28129,6323,8.2
"1464",28131,7328,7.2
"1465",28133,9950,11.8
"1466",28135,5946,9.9
"1467",28137,11469,10.3
"1468",28139,9009,12.5
"1469",28141,8091,10.1
"1470",28143,4298,13
"1471",28145,12446,8.8
"1472",28147,6203,10.3
"1473",28149,22435,9.1
"1474",28151,23228,11.3
"1475",28153,8366,9.4
"1476",28155,3666,13.5
"1477",28157,3776,10.1
"1478",28159,8506,15.1
"1479",28161,5510,12.9
"1480",28163,9703,10.5
"1481",29001,13034,6.5
"1482",29003,10210,7.6
"1483",29005,3044,7.9
"1484",29007,12079,9.2
"1485",29009,17426,8.1
"1486",29011,4884,11.7
"1487",29013,7910,10.8
"1488",29015,7988,9.3
"1489",29017,5958,8.8
"1490",29019,85931,6.2
"1491",29021,48613,8.7
"1492",29023,20654,8
"1493",29025,4289,8.6
"1494",29027,22356,8
"1495",29029,22793,7.9
"1496",29031,40115,6.9
"1497",29033,4809,9.8
"1498",29035,3058,8.7
"1499",29037,50099,9.7
"1500",29039,6151,8.6
"1501",29041,3810,10.5
"1502",29043,39469,8
"1503",29045,3535,11.3
"1504",29047,115484,8.6
"1505",29049,10243,8.7
"1506",29051,39123,6.7
"1507",29053,9150,8.4
"1508",29055,11885,10.7
"1509",29057,3453,10.1
"1510",29059,7444,9.4
"1511",29061,3813,8.7
"1512",29063,5293,9.3
"1513",29065,6282,9.4
"1514",29067,5813,9.8
"1515",29069,13772,11.1
"1516",29071,52448,11.5
"1517",29073,7706,10.8
"1518",29075,3349,6.8
"1519",29077,140881,8.3
"1520",29079,5345,6.9
"1521",29081,4442,7.8
"1522",29083,10537,9.6
"1523",29085,3302,12.3
"1524",29087,2680,7.1
"1525",29089,5121,8.3
"1526",29091,19049,9.2
"1527",29093,5470,8.7
"1528",29095,337484,10.9
"1529",29097,56708,8.4
"1530",29099,115110,10.6
"1531",29101,26284,8
"1532",29103,2223,5.9
"1533",29105,16954,11
"1534",29107,16266,9
"1535",29109,19171,7.8
"1536",29111,5427,8.3
"1537",29113,26244,11.3
"1538",29115,6274,10.3
"1539",29117,6960,7.8
"1540",29119,11283,7
"1541",29121,7656,7.9
"1542",29123,6126,9.8
"1543",29125,4662,8.7
"1544",29127,14496,8.9
"1545",29129,1744,7.9
"1546",29131,13014,10.6
"1547",29133,5713,9.7
"1548",29135,7331,7.8
"1549",29137,4234,11
"1550",29139,5863,10.3
"1551",29141,9125,11.3
"1552",29143,8667,8.9
"1553",29145,27712,7.9
"1554",29147,12607,5.9
"1555",29149,4425,9
"1556",29151,7375,9.9
"1557",29153,4398,7.6
"1558",29155,8057,12.1
"1559",29157,10373,7.2
"1560",29159,21028,8.1
"1561",29161,21501,7.1
"1562",29163,9089,8.3
"1563",29165,48192,8
"1564",29167,14257,8.9
"1565",29169,20242,6.8
"1566",29171,2338,7.4
"1567",29173,5592,8
"1568",29175,12966,9.4
"1569",29177,11242,8.3
"1570",29179,2558,12.7
"1571",29181,6274,9.5
"1572",29183,189246,8.7
"1573",29185,4165,10.3
"1574",29186,10104,9.3
"1575",29187,29937,10.9
"1576",29189,517445,9.6
"1577",29195,11454,7.9
"1578",29197,2100,7.8
"1579",29199,2535,12.2
"1580",29201,19235,9.2
"1581",29203,3557,9.6
"1582",29205,3183,8.1
"1583",29207,14342,9
"1584",29209,16678,9
"1585",29211,3367,6.4
"1586",29213,27656,8.6
"1587",29215,10822,8.8
"1588",29217,9111,7.9
"1589",29219,16093,11.2
"1590",29221,9947,13.7
"1591",29223,5466,9.5
"1592",29225,16918,9
"1593",29227,1097,8.4
"1594",29229,7974,9.6
"1595",29510,154075,11.1
"1596",30001,4929,4.4
"1597",30003,4889,10.2
"1598",30005,2819,5
"1599",30007,2458,6.2
"1600",30009,5198,4.8
"1601",30011,666,3.9
"1602",30013,38028,5.2
"1603",30015,2354,4.2
"1604",30017,5628,4.6
"1605",30019,763,4.2
"1606",30021,4291,4.8
"1607",30023,3777,6.5
"1608",30025,1771,3.7
"1609",30027,5623,4.7
"1610",30029,48179,8.8
"1611",30031,52152,5.5
"1612",30033,565,3.4
"1613",30035,5992,7.2
"1614",30037,529,4.7
"1615",30039,1274,8.2
"1616",30041,7971,5.1
"1617",30043,6147,5.8
"1618",30045,1004,4.6
"1619",30047,11372,8.3
"1620",30049,34440,4.3
"1621",30051,666,4.7
"1622",30053,7980,11.1
"1623",30055,898,3.2
"1624",30057,4504,4.8
"1625",30059,808,7.8
"1626",30061,1871,8.6
"1627",30063,56093,5.6
"1628",30065,2032,7.5
"1629",30067,9237,6.1
"1630",30069,224,4.5
"1631",30071,2116,4.8
"1632",30073,2393,6
"1633",30075,858,4
"1634",30077,2697,7.3
"1635",30079,515,3.1
"1636",30081,18556,7.5
"1637",30083,5426,4.6
"1638",30085,3757,7.5
"1639",30087,3898,7.3
"1640",30089,4845,11.2
"1641",30091,1734,4.3
"1642",30093,17544,5.5
"1643",30095,4327,5.2
"1644",30097,2814,3.1
"1645",30099,2996,4
"1646",30101,2521,4.1
"1647",30103,372,5.1
"1648",30105,3426,4.6
"1649",30107,969,4.3
"1650",30109,537,4.1
"1651",30111,79216,4.7
"1652",31001,17584,5.6
"1653",31003,3616,3.6
"1654",31005,248,4.4
"1655",31007,400,3.5
"1656",31009,232,5.2
"1657",31011,3124,3.9
"1658",31013,5763,7.1
"1659",31015,1094,3.6
"1660",31017,1820,3.1
"1661",31019,27375,3.5
"1662",31021,3880,5.7
"1663",31023,4678,3.9
"1664",31025,13895,4.6
"1665",31027,4653,3.2
"1666",31029,1998,3
"1667",31031,3311,2.5
"1668",31033,5156,4.1
"1669",31035,3101,4.3
"1670",31037,5391,4
"1671",31039,4819,3.5
"1672",31041,6005,3.1
"1673",31043,11051,5.5
"1674",31045,4620,4.4
"1675",31047,11950,4.8
"1676",31049,1030,3.8
"1677",31051,3315,3.7
"1678",31053,19494,4.9
"1679",31055,271367,5
"1680",31057,1040,4
"1681",31059,3144,4.4
"1682",31061,1771,3.7
"1683",31063,1641,3
"1684",31065,2440,4.1
"1685",31067,12091,5.9
"1686",31069,952,4.4
"1687",31071,1026,2.5
"1688",31073,998,3.8
"1689",31075,381,3.1
"1690",31077,1270,3.3
"1691",31079,30795,4.4
"1692",31081,5676,3.4
"1693",31083,1781,3.6
"1694",31085,502,4.2
"1695",31087,1478,6.6
"1696",31089,5933,3.2
"1697",31091,377,4
"1698",31093,3667,3.8
"1699",31095,4234,4.6
"1700",31097,2880,3.9
"1701",31099,3730,3.8
"1702",31101,4511,3.9
"1703",31103,390,4.4
"1704",31105,1864,4.3
"1705",31107,4566,3.6
"1706",31109,158339,4.2
"1707",31111,21687,4
"1708",31113,470,4.3
"1709",31115,348,3.2
"1710",31117,301,4
"1711",31119,18207,4.2
"1712",31121,4129,4
"1713",31123,2773,4.1
"1714",31125,1996,3.6
"1715",31127,3149,5.4
"1716",31129,2262,4.7
"1717",31131,8737,5
"1718",31133,1576,4.1
"1719",31135,1655,3.1
"1720",31137,5033,3.8
"1721",31139,3809,3.6
"1722",31141,17292,4.4
"1723",31143,2920,4.2
"1724",31145,5932,4.2
"1725",31147,4090,5.7
"1726",31149,829,3.1
"1727",31151,8091,4
"1728",31153,77295,4.7
"1729",31155,10989,4.5
"1730",31157,19408,4.8
"1731",31159,8905,3.7
"1732",31161,3104,3.5
"1733",31163,1893,3
"1734",31165,689,3.8
"1735",31167,3424,3.6
"1736",31169,2710,4.3
"1737",31171,373,3.8
"1738",31173,3143,13.8
"1739",31175,2510,2.9
"1740",31177,11287,4.1
"1741",31179,4759,3.8
"1742",31181,1783,4.2
"1743",31183,434,3.2
"1744",31185,6982,5.7
"1745",32001,14018,9.9
"1746",32003,1011257,13.9
"1747",32005,24215,12.6
"1748",32007,29065,6.8
"1749",32009,445,8.3
"1750",32011,905,9.3
"1751",32013,8306,8.6
"1752",32015,3784,7.2
"1753",32017,1961,9.4
"1754",32019,25651,16.3
"1755",32021,2382,10.5
"1756",32023,18880,16.1
"1757",32027,2688,10.6
"1758",32029,2470,14.8
"1759",32031,226155,13.1
"1760",32033,5089,8.4
"1761",32510,29987,12.8
"1762",33001,32774,7
"1763",33003,25720,5.4
"1764",33005,40950,6.5
"1765",33007,16126,7.8
"1766",33009,47984,5.6
"1767",33011,227184,7.5
"1768",33013,80663,6.3
"1769",33015,171495,7.5
"1770",33017,68884,6.6
"1771",33019,22344,6.5
"1772",34001,138020,12.2
"1773",34003,475125,8.4
"1774",34005,236906,9.1
"1775",34007,264427,10.9
"1776",34009,61178,8.5
"1777",34011,71393,12.6
"1778",34013,370905,11.1
"1779",34015,154203,10
"1780",34017,298009,11.6
"1781",34019,72434,6.9
"1782",34021,198960,8.1
"1783",34023,426063,9.2
"1784",34025,334318,8.7
"1785",34027,274592,7.6
"1786",34029,259423,9.6
"1787",34031,242174,11.7
"1788",34033,30972,10.1
"1789",34035,180514,7.9
"1790",34037,85025,8.5
"1791",34039,272351,9.8
"1792",34041,58792,8.8
"1793",35001,313431,7.5
"1794",35003,1718,8.1
"1795",35005,28556,6.8
"1796",35006,12618,6.3
"1797",35007,6602,8
"1798",35009,21481,4.4
"1799",35011,887,4.3
"1800",35013,89298,6.9
"1801",35015,29449,6
"1802",35017,12624,12.3
"1803",35019,1738,7.5
"1804",35021,443,4.5
"1805",35023,3059,7.6
"1806",35025,31054,8.3
"1807",35027,11399,5.1
"1808",35028,9569,2.9
"1809",35029,14182,13.4
"1810",35031,26763,8.6
"1811",35033,2175,13.1
"1812",35035,25973,6.8
"1813",35037,4198,5.9
"1814",35039,20905,7.2
"1815",35041,9721,4.4
"1816",35043,54655,9
"1817",35045,58226,8.3
"1818",35047,13583,7.8
"1819",35049,77421,6.5
"1820",35051,6359,4.8
"1821",35053,9735,5
"1822",35055,17787,8.7
"1823",35057,7132,8.8
"1824",35059,2261,5.5
"1825",35061,31153,8.5
"1826",36001,157295,7.1
"1827",36003,23983,7.9
"1828",36005,539740,13.3
"1829",36007,97601,8.5
"1830",36009,41318,8.5
"1831",36011,41720,8
"1832",36013,67678,7.8
"1833",36015,41190,8.9
"1834",36017,24359,8.7
"1835",36019,40523,9
"1836",36021,31232,7.7
"1837",36023,23878,8.5
"1838",36025,22006,8.4
"1839",36027,146435,8.2
"1840",36029,469837,8.3
"1841",36031,18239,7.8
"1842",36033,22757,7.8
"1843",36035,28235,9.1
"1844",36037,33625,7.2
"1845",36039,23556,8.4
"1846",36041,2858,5.6
"1847",36043,30686,7.6
"1848",36045,48872,7.8
"1849",36047,1131829,11
"1850",36049,11967,7.6
"1851",36051,32268,7.5
"1852",36053,36097,7.4
"1853",36055,378331,8.3
"1854",36057,24818,8.8
"1855",36059,691471,7.2
"1856",36061,947541,9.2
"1857",36063,112269,8.8
"1858",36065,109238,7.3
"1859",36067,236184,7.9
"1860",36069,56207,6.7
"1861",36071,179520,8.2
"1862",36073,19445,8.2
"1863",36075,60330,9.3
"1864",36077,31207,6.8
"1865",36079,55920,7
"1866",36081,1135634,9.1
"1867",36083,82616,7.7
"1868",36085,246216,8.9
"1869",36087,154567,7.4
"1870",36089,50000,8.9
"1871",36091,117759,6.4
"1872",36093,75209,7.8
"1873",36095,15367,7.6
"1874",36097,10389,7.4
"1875",36099,16972,7.3
"1876",36101,45838,9.5
"1877",36103,785447,7.5
"1878",36105,35340,8.6
"1879",36107,26135,7.9
"1880",36109,56594,5.6
"1881",36111,90661,8.1
"1882",36113,35283,7.2
"1883",36115,31644,7.4
"1884",36117,47825,7.8
"1885",36119,492511,7.4
"1886",36121,21320,7.8
"1887",36123,13048,6
"1888",37001,70747,11.8
"1889",37003,17831,13.6
"1890",37005,4595,10.9
"1891",37007,10505,14.8
"1892",37009,12836,10
"1893",37011,9183,7.9
"1894",37013,21142,11.2
"1895",37015,8942,10.5
"1896",37017,15260,12
"1897",37019,48662,10.5
"1898",37021,119030,8.2
"1899",37023,39152,14.1
"1900",37025,83520,11.4
"1901",37027,37577,15.2
"1902",37029,4543,7.1
"1903",37031,33512,7.6
"1904",37033,10902,12.4
"1905",37035,74554,13.6
"1906",37037,33243,8
"1907",37039,10231,14.2
"1908",37041,6463,11.9
"1909",37043,4690,10.8
"1910",37045,49655,14.3
"1911",37047,24359,12.5
"1912",37049,43040,10
"1913",37051,131923,9.1
"1914",37053,12465,5
"1915",37055,21930,6.8
"1916",37057,77969,12.5
"1917",37059,21173,12.1
"1918",37061,24531,8.7
"1919",37063,139654,8
"1920",37065,24882,16.3
"1921",37067,174187,9.5
"1922",37069,27656,9.7
"1923",37071,99545,13.3
"1924",37073,4806,7.1
"1925",37075,4213,13.4
"1926",37077,25848,10.2
"1927",37079,9262,10.2
"1928",37081,243789,11
"1929",37083,23951,13.1
"1930",37085,48067,10.9
"1931",37087,27098,8.5
"1932",37089,48154,8.6
"1933",37091,9887,9.4
"1934",37093,19367,8.3
"1935",37095,2706,5.9
"1936",37097,80839,12.1
"1937",37099,21462,7.8
"1938",37101,77236,9.5
"1939",37103,4841,10.9
"1940",37105,26404,13.5
"1941",37107,27453,11.4
"1942",37109,39725,13.2
"1943",37111,20944,14.1
"1944",37113,16824,9.2
"1945",37115,9808,9.3
"1946",37117,12168,10.6
"1947",37119,458873,11
"1948",37121,7130,11
"1949",37123,11121,13.3
"1950",37125,36951,9.5
"1951",37127,46270,11.9
"1952",37129,105317,9.1
"1953",37131,8731,10.7
"1954",37133,60843,8.3
"1955",37135,68621,6.3
"1956",37137,5584,10.1
"1957",37139,18191,9.1
"1958",37141,24154,10.8
"1959",37143,5367,10.3
"1960",37145,19294,10.8
"1961",37147,79840,10
"1962",37149,9609,8.2
"1963",37151,73170,11
"1964",37153,20346,13.2
"1965",37155,56822,11.5
"1966",37157,43581,11.7
"1967",37159,71709,12.8
"1968",37161,31022,14.3
"1969",37163,32452,8.3
"1970",37165,14087,16.5
"1971",37167,30685,11.9
"1972",37169,24069,10.1
"1973",37171,34310,11.8
"1974",37173,7054,9.1
"1975",37175,13621,8.5
"1976",37177,2343,8.8
"1977",37179,91724,10
"1978",37181,19867,13
"1979",37183,451224,8.3
"1980",37185,7931,12.7
"1981",37187,6347,11.7
"1982",37189,23813,6.9
"1983",37191,52193,8.8
"1984",37193,30205,12.9
"1985",37195,40691,11.9
"1986",37197,19134,9.3
"1987",37199,7856,10.9
"1988",38001,1229,2.7
"1989",38003,6806,3.4
"1990",38005,2516,5.3
"1991",38007,522,1.3
"1992",38009,3638,2.9
"1993",38011,1672,2.7
"1994",38013,1088,2.2
"1995",38015,45734,2.8
"1996",38017,86393,3.7
"1997",38019,1988,2.5
"1998",38021,2709,4.1
"1999",38023,830,3.4
"2000",38025,1768,3.6
"2001",38027,1084,3.8
"2002",38029,1592,5.1
"2003",38031,1835,2.8
"2004",38033,787,2.5
"2005",38035,37413,3.5
"2006",38037,1112,3.2
"2007",38039,1199,3.6
"2008",38041,1086,2.7
"2009",38043,1229,3.4
"2010",38045,2073,4.3
"2011",38047,848,2.7
"2012",38049,2799,2.9
"2013",38051,1311,3.1
"2014",38053,3330,2.2
"2015",38055,4558,3.4
"2016",38057,4649,3.3
"2017",38059,14455,3
"2018",38061,2979,4.4
"2019",38063,1885,2.9
"2020",38065,1058,3.1
"2021",38067,3790,5.1
"2022",38069,1868,4
"2023",38071,5541,3.2
"2024",38073,3065,6
"2025",38075,1358,3.3
"2026",38077,8178,4.3
"2027",38079,4591,9.7
"2028",38081,2244,6.5
"2029",38083,648,3.7
"2030",38085,1308,4.3
"2031",38087,734,1.2
"2032",38089,14572,2.8
"2033",38091,1305,2.1
"2034",38093,11101,3.2
"2035",38095,1024,2.6
"2036",38097,3953,3.5
"2037",38099,5407,4.5
"2038",38101,30717,2.8
"2039",38103,1965,3.8
"2040",38105,16424,2
"2041",39001,12897,13.8
"2042",39003,50398,10.2
"2043",39005,27255,11.4
"2044",39007,48948,12.6
"2045",39009,27258,8.6
"2046",39011,26448,10.1
"2047",39013,33319,9.2
"2048",39015,21629,11.9
"2049",39017,186030,9.1
"2050",39019,14076,13.2
"2051",39021,20892,11.4
"2052",39023,70195,9.9
"2053",39025,103843,9.4
"2054",39027,22899,13.9
"2055",39029,53829,12.5
"2056",39031,17499,12.3
"2057",39033,22374,13.2
"2058",39035,630112,8.5
"2059",39037,28297,9.9
"2060",39039,21201,11.7
"2061",39041,89128,6.7
"2062",39043,44843,9.5
"2063",39045,74855,8.2
"2064",39047,16816,11.7
"2065",39049,618522,8.2
"2066",39051,22631,12.1
"2067",39053,14256,9.5
"2068",39055,49336,6.5
"2069",39057,77047,9.4
"2070",39059,19510,10.8
"2071",39061,426368,8.9
"2072",39063,41362,9.1
"2073",39065,15328,11.2
"2074",39067,7387,10.6
"2075",39069,15811,10.9
"2076",39071,21393,15.3
"2077",39073,14131,10.4
"2078",39075,19159,6.3
"2079",39077,29688,12.8
"2080",39079,15104,10.5
"2081",39081,32826,12.7
"2082",39083,30939,8.7
"2083",39085,129307,7.9
"2084",39087,29259,8.4
"2085",39089,83266,8.9
"2086",39091,26256,11.2
"2087",39093,154730,9.1
"2088",39095,215005,11.3
"2089",39097,19942,8.5
"2090",39099,112705,11.8
"2091",39101,32776,10.2
"2092",39103,92391,7.5
"2093",39105,9041,15.2
"2094",39107,25337,7.8
"2095",39109,54314,11
"2096",39111,5635,11.5
"2097",39113,264405,11
"2098",39115,5592,14.6
"2099",39117,18050,10
"2100",39119,39268,11.9
"2101",39121,5947,14
"2102",39123,20618,10.7
